cbsa,lat,lon
10180,32.452022,-99.718743
10300,41.896022,-84.074356
10380,18.391555,-67.097202
10420,41.146639,-81.35011
10540,44.488898,-122.537208
10580,42.78792,-73.942348
10620,35.310449,-80.254374
10700,34.309564,-86.321668
10740,35.123496,-106.458392
10760,32.863308,-85.799618
10860,27.359741,-98.157214
10900,40.789339,-75.398158
10940,43.292326,-84.60469
11020,40.498683,-78.309597
11100,35.247999,-101.90867
11180,42.036128,-93.698008
11200,42.339459,-72.663694
11220,42.900891,-74.435357
11360,35.36866,-78.871665
11380,32.312258,-102.640206
11420,41.643467,-85.002405
11460,42.252217,-83.843423
11540,44.290603,-88.372326
11580,27.190581,-81.806253
11640,18.439224,-66.759981
11680,37.234507,-96.837247
11700,35.61634,-82.570683
11740,40.843273,-82.270127
11860,39.532544,-95.313397
11900,39.332755,-82.045885
11940,35.451963,-84.682714
11980,32.211633,-95.853418
12020,33.943984,-83.213897
12060,33.732402,-84.392848
12100,39.286186,-74.738311
12140,41.39676,-85.002697
12180,43.008546,-76.574587
12220,32.492206,-85.527127
12380,43.666249,-92.759514
12460,30.880643,-84.58389
12580,39.304361,-76.549501
12660,43.428001,-89.943318
12700,41.706123,-70.164823
12740,44.274969,-72.609444
12780,36.704403,-95.906253
12860,43.00091,-78.192778
12940,30.515242,-91.126926
12980,42.24299,-85.012385
13020,43.699711,-83.978701
13060,28.77476,-96.001532
13100,40.255234,-96.683453
13180,43.429628,-88.701939
13260,38.839815,-86.48782
13340,40.387553,-83.766343
13660,43.635295,-85.332751
13820,33.462372,-86.814338
13940,43.216357,-112.399206
14010,40.494559,-88.844539
14020,39.241736,-86.671754
14100,41.045517,-76.40426
14220,30.852144,-90.046253
14260,43.006648,-116.141909
14300,33.591161,-96.104988
14420,35.837047,-101.362746
14460,42.517606,-71.021993
14500,40.094966,-105.397702
14540,37.046804,-86.397398
14710,42.995304,-72.721877
14740,47.639595,-122.649634
14780,30.215075,-96.410272
14820,35.210103,-82.816666
14860,41.252442,-73.393266
14940,41.622623,-113.060252
15020,31.535216,-90.453566
15060,42.466439,-124.210929
15180,26.102923,-97.478958
15340,40.848524,-82.924783
15380,43.044371,-78.777335
15460,40.863823,-91.069976
15500,36.043954,-79.400573
15540,44.689115,-73.041175
15660,34.509667,-84.873862
15700,38.429196,-76.047433
15740,40.056665,-81.497875
15860,38.45517,-105.424958
15900,40.46524,-90.202269
15940,40.711051,-81.261468
15980,26.563273,-81.984182
16020,37.325936,-89.762639
16060,37.786096,-89.381212
16180,39.15306,-119.747368
16300,42.086289,-91.631095
16340,33.996015,-85.188338
16380,40.535333,-84.632059
16460,38.648236,-88.920362
16500,46.580071,-122.377444
16540,39.926772,-77.724521
16580,40.234489,-88.298623
16620,38.283213,-81.492557
16740,35.166342,-80.797285
16860,35.049361,-85.361158
16980,41.75878,-87.841887
17060,39.323895,-83.059538
