zillow_region_id,zillow_region_name,cbsa_code,census_cbsa_title,bls_area_code,bls_area_title,match_method,geographic_vintage,match_status,review_reason
394297,"Aberdeen, SD",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394298,"Aberdeen, WA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394300,"Ada, OK",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394302,"Adrian, MI",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394305,"Alamogordo, NM",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394308,"Albany, NY",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394309,"Albemarle, NC",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394310,"Albert Lea, MN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394311,"Albertville, AL",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394315,"Alexandria, MN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394316,"Alice, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394318,"Allentown, PA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394319,"Alma, MI",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394320,"Alpena, MI",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394322,"Altus, OK",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394324,"Americus, GA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394326,"Amsterdam, NY",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394330,"Andrews, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394331,"Angola, IN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394333,"Anniston, AL",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394335,"Arcadia, FL",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394336,"Ardmore, OK",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394337,"Arkadelphia, AR",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394339,"Ashland, OH",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394340,"Ashtabula, OH",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394341,"Astoria, OR",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394342,"Atchison, KS",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394346,"Athens, GA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394343,"Athens, OH",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394344,"Athens, TN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394345,"Athens, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394347,"Atlanta, GA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394348,"Atlantic City, NJ",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394351,"Auburn, AL",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394349,"Auburn, IN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394350,"Auburn, NY",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394352,"Augusta, GA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394353,"Augusta, ME",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394354,"Austin, MN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394355,"Austin, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394356,"Bainbridge, GA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394357,"Bakersfield, CA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394358,"Baltimore, MD",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394360,"Baraboo, WI",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
753865,"Bardstown, KY",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394362,"Barre, VT",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394363,"Bartlesville, OK",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394365,"Batavia, NY",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394366,"Batesville, AR",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394370,"Bay City, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394371,"Beatrice, NE",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394372,"Beaumont, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394373,"Beaver Dam, WI",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394375,"Bedford, IN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394376,"Beeville, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394377,"Bellefontaine, OH",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394379,"Bemidji, MN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394381,"Bennettsville, SC",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394382,"Bennington, VT",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394383,"Berlin, NH",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394384,"Big Rapids, MI",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394385,"Big Spring, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
753866,"Big Stone Gap, VA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394391,"Blackfoot, ID",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394392,"Blacksburg, VA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394395,"Bloomsburg, PA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394396,"Bluefield, WV",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394397,"Blytheville, AR",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394398,"Bogalusa, LA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394402,"Boone, NC",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394403,"Borger, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394404,"Boston, MA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394409,"Bradford, PA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394410,"Brainerd, MN",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394411,"Branson, MO",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
753871,"Breckenridge, CO",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394412,"Bremerton, WA",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394413,"Brenham, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394414,"Brevard, NC",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394415,"Bridgeport, CT",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394417,"Brookhaven, MS",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394418,"Brookings, OR",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394419,"Brookings, SD",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
394421,"Brownsville, TX",,,,,name_normalized_exact,2023 Census/OMB delineation,manual_review,no exact normalized official CBSA title match
