cbsa_code,zhvi_earliest,zhvi_latest,zhvi_internal_missing_months,zhvi_longest_contiguous,permits_nsa_earliest,permits_nsa_latest,permits_nsa_internal_missing_months,permits_nsa_longest_contiguous,permits_sa_earliest,permits_sa_latest,permits_sa_internal_missing_months,permits_sa_longest_contiguous,employment_official_sa_earliest,employment_official_sa_latest,employment_official_sa_internal_missing_months,employment_official_sa_longest_contiguous,employment_local_x13_sa_earliest,employment_local_x13_sa_latest,employment_local_x13_sa_internal_missing_months,employment_local_x13_sa_longest_contiguous
00080,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
00440,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
00560,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
00720,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
00875,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01120,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01125,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01145,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01150,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01160,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01200,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01600,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01640,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01680,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01920,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
01930,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
02080,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
02160,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
02281,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
02600,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
02640,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
02680,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
02800,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
