series_id,x13_spec_id,status,returncode,stderr,stdout,n_observed,segment_start,segment_end,spec_path
00080,,segment_too_short,,,,48,2000-01,2003-12,
00440,,segment_too_short,,,,48,2000-01,2003-12,
00560,,segment_too_short,,,,48,2000-01,2003-12,
00720,,segment_too_short,,,,48,2000-01,2003-12,
00875,,segment_too_short,,,,48,2000-01,2003-12,
01120,,segment_too_short,,,,48,2000-01,2003-12,
01125,,segment_too_short,,,,48,2000-01,2003-12,
01145,,segment_too_short,,,,48,2000-01,2003-12,
01150,,segment_too_short,,,,48,2000-01,2003-12,
01160,,segment_too_short,,,,48,2000-01,2003-12,
01200,,segment_too_short,,,,48,2000-01,2003-12,
01600,,segment_too_short,,,,48,2000-01,2003-12,
01640,,segment_too_short,,,,48,2000-01,2003-12,
01680,,segment_too_short,,,,48,2000-01,2003-12,
01920,,segment_too_short,,,,48,2000-01,2003-12,
01930,,segment_too_short,,,,48,2000-01,2003-12,
02080,,segment_too_short,,,,48,2000-01,2003-12,
02160,,segment_too_short,,,,48,2000-01,2003-12,
02281,,segment_too_short,,,,48,2000-01,2003-12,
02600,,segment_too_short,,,,48,2000-01,2003-12,
02640,,segment_too_short,,,,48,2000-01,2003-12,
02680,,segment_too_short,,,,48,2000-01,2003-12,
02800,,segment_too_short,,,,48,2000-01,2003-12,
02920,,segment_too_short,,,,48,2000-01,2003-12,
02960,,segment_too_short,,,,48,2000-01,2003-12,
03060,,segment_too_short,,,,48,2000-01,2003-12,
03180,,segment_too_short,,,,48,2000-01,2003-12,
03200,,segment_too_short,,,,48,2000-01,2003-12,
03360,,segment_too_short,,,,48,2000-01,2003-12,
03640,,segment_too_short,,,,48,2000-01,2003-12,
03740,,segment_too_short,,,,48,2000-01,2003-12,
03800,,segment_too_short,,,,48,2000-01,2003-12,
04160,,segment_too_short,,,,48,2000-01,2003-12,
04480,,segment_too_short,,,,48,2000-01,2003-12,
04560,,segment_too_short,,,,48,2000-01,2003-12,
04760,,segment_too_short,,,,48,2000-01,2003-12,
05000,,segment_too_short,,,,48,2000-01,2003-12,
05015,,segment_too_short,,,,48,2000-01,2003-12,
05080,,segment_too_short,,,,48,2000-01,2003-12,
05190,,segment_too_short,,,,48,2000-01,2003-12,
05350,,segment_too_short,,,,48,2000-01,2003-12,
05380,,segment_too_short,,,,48,2000-01,2003-12,
05400,,segment_too_short,,,,48,2000-01,2003-12,
05480,,segment_too_short,,,,48,2000-01,2003-12,
05600,,segment_too_short,,,,48,2000-01,2003-12,
05640,,segment_too_short,,,,48,2000-01,2003-12,
05660,,segment_too_short,,,,48,2000-01,2003-12,
05775,,segment_too_short,,,,48,2000-01,2003-12,
05910,,segment_too_short,,,,48,2000-01,2003-12,
05945,,segment_too_short,,,,48,2000-01,2003-12,
06160,,segment_too_short,,,,48,2000-01,2003-12,
06440,,segment_too_short,,,,48,2000-01,2003-12,
06450,,segment_too_short,,,,48,2000-01,2003-12,
06600,,segment_too_short,,,,48,2000-01,2003-12,
06780,,segment_too_short,,,,48,2000-01,2003-12,
06920,,segment_too_short,,,,48,2000-01,2003-12,
07080,,segment_too_short,,,,48,2000-01,2003-12,
07360,,segment_too_short,,,,48,2000-01,2003-12,
07400,,segment_too_short,,,,48,2000-01,2003-12,
07485,,segment_too_short,,,,48,2000-01,2003-12,
07500,,segment_too_short,,,,48,2000-01,2003-12,
07600,,segment_too_short,,,,48,2000-01,2003-12,
08040,,segment_too_short,,,,48,2000-01,2003-12,
08200,,segment_too_short,,,,48,2000-01,2003-12,
08480,,segment_too_short,,,,48,2000-01,2003-12,
08720,,segment_too_short,,,,48,2000-01,2003-12,
08735,,segment_too_short,,,,48,2000-01,2003-12,
08760,,segment_too_short,,,,48,2000-01,2003-12,
08840,,segment_too_short,,,,48,2000-01,2003-12,
08880,,segment_too_short,,,,48,2000-01,2003-12,
09160,,segment_too_short,,,,48,2000-01,2003-12,
09240,,segment_too_short,,,,48,2000-01,2003-12,
09270,,segment_too_short,,,,48,2000-01,2003-12,
09999,,segment_too_short,,,,48,2000-01,2003-12,
10180,permits_10180_200401_202606,ok,0,,,270,2004-01-01,2026-06-01,D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\tools\x13\work\permits_10180_200401_202606.spc
10420,permits_10420_200401_202606,ok,0,,,270,2004-01-01,2026-06-01,D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\tools\x13\work\permits_10420_200401_202606.spc
10500,permits_10500_200401_202606,ok,0,,,270,2004-01-01,2026-06-01,D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\tools\x13\work\permits_10500_200401_202606.spc
10540,permits_10540_201401_202606,ok,0,,,150,2014-01-01,2026-06-01,D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\tools\x13\work\permits_10540_201401_202606.spc
10580,permits_10580_200401_202606,ok,0,,,270,2004-01-01,2026-06-01,D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\tools\x13\work\permits_10580_200401_202606.spc
10740,permits_10740_200401_202606,ok,0,,,270,2004-01-01,2026-06-01,D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\tools\x13\work\permits_10740_200401_202606.spc
10780,permits_10780_200401_202606,ok,0,,,270,2004-01-01,2026-06-01,D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\tools\x13\work\permits_10780_200401_202606.spc
