zillow_region_id,zillow_region_name,state_name,region_type,normalized_title,cbsa_code,official_title,classification,classification_reason,deterministic_rule
394297,"Aberdeen, SD",SD,msa,aberdeen sd,10100,"Aberdeen, SD",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394298,"Aberdeen, WA",WA,msa,aberdeen wa,10140,"Aberdeen, WA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394299,"Abilene, TX",TX,msa,abilene tx,10180,"Abilene, TX",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394300,"Ada, OK",OK,msa,ada ok,10220,"Ada, OK",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394302,"Adrian, MI",MI,msa,adrian mi,10300,"Adrian, MI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394304,"Akron, OH",OH,msa,akron oh,10420,"Akron, OH",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394305,"Alamogordo, NM",NM,msa,alamogordo nm,10460,"Alamogordo, NM",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394306,"Albany, GA",GA,msa,albany ga,10500,"Albany, GA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394308,"Albany, NY",NY,msa,albany ny,,,unresolved,no deterministic exact-code or exact-title match,
394307,"Albany, OR",OR,msa,albany or,10540,"Albany, OR",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394309,"Albemarle, NC",NC,msa,albemarle nc,10620,"Albemarle, NC",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394310,"Albert Lea, MN",MN,msa,albert lea mn,10660,"Albert Lea, MN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394311,"Albertville, AL",AL,msa,albertville al,10700,"Albertville, AL",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394312,"Albuquerque, NM",NM,msa,albuquerque nm,10740,"Albuquerque, NM",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394314,"Alexandria, LA",LA,msa,alexandria la,10780,"Alexandria, LA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394315,"Alexandria, MN",MN,msa,alexandria mn,10820,"Alexandria, MN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394316,"Alice, TX",TX,msa,alice tx,10860,"Alice, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394318,"Allentown, PA",PA,msa,allentown pa,,,unresolved,no deterministic exact-code or exact-title match,
394319,"Alma, MI",MI,msa,alma mi,10940,"Alma, MI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394320,"Alpena, MI",MI,msa,alpena mi,10980,"Alpena, MI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394321,"Altoona, PA",PA,msa,altoona pa,11020,"Altoona, PA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394322,"Altus, OK",OK,msa,altus ok,11060,"Altus, OK",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394323,"Amarillo, TX",TX,msa,amarillo tx,11100,"Amarillo, TX",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394324,"Americus, GA",GA,msa,americus ga,11140,"Americus, GA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394325,"Ames, IA",IA,msa,ames ia,11180,"Ames, IA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394326,"Amsterdam, NY",NY,msa,amsterdam ny,11220,"Amsterdam, NY",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394327,"Anchorage, AK",AK,msa,anchorage ak,11260,"Anchorage, AK",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394330,"Andrews, TX",TX,msa,andrews tx,11380,"Andrews, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394331,"Angola, IN",IN,msa,angola in,11420,"Angola, IN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394332,"Ann Arbor, MI",MI,msa,ann arbor mi,11460,"Ann Arbor, MI",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394333,"Anniston, AL",AL,msa,anniston al,,,unresolved,no deterministic exact-code or exact-title match,
394334,"Appleton, WI",WI,msa,appleton wi,11540,"Appleton, WI",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394335,"Arcadia, FL",FL,msa,arcadia fl,11580,"Arcadia, FL",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394336,"Ardmore, OK",OK,msa,ardmore ok,11620,"Ardmore, OK",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394337,"Arkadelphia, AR",AR,msa,arkadelphia ar,11660,"Arkadelphia, AR",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394338,"Asheville, NC",NC,msa,asheville nc,11700,"Asheville, NC",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394339,"Ashland, OH",OH,msa,ashland oh,11740,"Ashland, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394340,"Ashtabula, OH",OH,msa,ashtabula oh,,,unresolved,no deterministic exact-code or exact-title match,
394341,"Astoria, OR",OR,msa,astoria or,11820,"Astoria, OR",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394342,"Atchison, KS",KS,msa,atchison ks,11860,"Atchison, KS",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394346,"Athens, GA",GA,msa,athens ga,,,unresolved,no deterministic exact-code or exact-title match,
394343,"Athens, OH",OH,msa,athens oh,11900,"Athens, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394344,"Athens, TN",TN,msa,athens tn,11940,"Athens, TN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394345,"Athens, TX",TX,msa,athens tx,11980,"Athens, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394347,"Atlanta, GA",GA,msa,atlanta ga,,,unresolved,no deterministic exact-code or exact-title match,
394348,"Atlantic City, NJ",NJ,msa,atlantic city nj,12100,"Atlantic City, NJ",historical_or_retired_cbsa,observed in BPS/BLS but not current 2023 CBSA title,legacy_source_title_exact
394351,"Auburn, AL",AL,msa,auburn al,,,unresolved,no deterministic exact-code or exact-title match,
394349,"Auburn, IN",IN,msa,auburn in,12140,"Auburn, IN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394350,"Auburn, NY",NY,msa,auburn ny,12180,"Auburn, NY",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394352,"Augusta, GA",GA,msa,augusta ga,,,unresolved,no deterministic exact-code or exact-title match,
394353,"Augusta, ME",ME,msa,augusta me,,,unresolved,no deterministic exact-code or exact-title match,
394354,"Austin, MN",MN,msa,austin mn,12380,"Austin, MN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394355,"Austin, TX",TX,msa,austin tx,,,unresolved,no deterministic exact-code or exact-title match,
394356,"Bainbridge, GA",GA,msa,bainbridge ga,12460,"Bainbridge, GA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394357,"Bakersfield, CA",CA,msa,bakersfield ca,12540,"Bakersfield, CA",historical_or_retired_cbsa,observed in BPS/BLS but not current 2023 CBSA title,legacy_source_title_exact
394358,"Baltimore, MD",MD,msa,baltimore md,,,unresolved,no deterministic exact-code or exact-title match,
394359,"Bangor, ME",ME,msa,bangor me,12620,"Bangor, ME",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394360,"Baraboo, WI",WI,msa,baraboo wi,12660,"Baraboo, WI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
753865,"Bardstown, KY",KY,msa,bardstown ky,,,unresolved,no deterministic exact-code or exact-title match,
394361,"Barnstable Town, MA",MA,msa,barnstable town ma,12700,"Barnstable Town, MA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394362,"Barre, VT",VT,msa,barre vt,12740,"Barre, VT",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394363,"Bartlesville, OK",OK,msa,bartlesville ok,12780,"Bartlesville, OK",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394365,"Batavia, NY",NY,msa,batavia ny,12860,"Batavia, NY",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394366,"Batesville, AR",AR,msa,batesville ar,12900,"Batesville, AR",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394367,"Baton Rouge, LA",LA,msa,baton rouge la,12940,"Baton Rouge, LA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394368,"Battle Creek, MI",MI,msa,battle creek mi,12980,"Battle Creek, MI",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394369,"Bay City, MI",MI,msa,bay city mi,13020,"Bay City, MI",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394370,"Bay City, TX",TX,msa,bay city tx,13060,"Bay City, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394371,"Beatrice, NE",NE,msa,beatrice ne,13100,"Beatrice, NE",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394372,"Beaumont, TX",TX,msa,beaumont tx,,,unresolved,no deterministic exact-code or exact-title match,
394373,"Beaver Dam, WI",WI,msa,beaver dam wi,13180,"Beaver Dam, WI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394374,"Beckley, WV",WV,msa,beckley wv,13220,"Beckley, WV",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394375,"Bedford, IN",IN,msa,bedford in,13260,"Bedford, IN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394376,"Beeville, TX",TX,msa,beeville tx,13300,"Beeville, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394377,"Bellefontaine, OH",OH,msa,bellefontaine oh,13340,"Bellefontaine, OH",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394378,"Bellingham, WA",WA,msa,bellingham wa,13380,"Bellingham, WA",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394379,"Bemidji, MN",MN,msa,bemidji mn,13420,"Bemidji, MN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394380,"Bend, OR",OR,msa,bend or,13460,"Bend, OR",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394381,"Bennettsville, SC",SC,msa,bennettsville sc,,,unresolved,no deterministic exact-code or exact-title match,
394382,"Bennington, VT",VT,msa,bennington vt,13540,"Bennington, VT",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394383,"Berlin, NH",NH,msa,berlin nh,,,unresolved,no deterministic exact-code or exact-title match,
394384,"Big Rapids, MI",MI,msa,big rapids mi,13660,"Big Rapids, MI",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394385,"Big Spring, TX",TX,msa,big spring tx,13700,"Big Spring, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
753866,"Big Stone Gap, VA",VA,msa,big stone gap va,,,unresolved,no deterministic exact-code or exact-title match,
394386,"Billings, MT",MT,msa,billings mt,13740,"Billings, MT",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394387,"Binghamton, NY",NY,msa,binghamton ny,13780,"Binghamton, NY",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394388,"Birmingham, AL",AL,msa,birmingham al,13820,"Birmingham, AL",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394390,"Bismarck, ND",ND,msa,bismarck nd,13900,"Bismarck, ND",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394391,"Blackfoot, ID",ID,msa,blackfoot id,13940,"Blackfoot, ID",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394392,"Blacksburg, VA",VA,msa,blacksburg va,,,unresolved,no deterministic exact-code or exact-title match,
753869,"Bloomington, IL",IL,msa,bloomington il,14010,"Bloomington, IL",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394393,"Bloomington, IN",IN,msa,bloomington in,14020,"Bloomington, IN",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394395,"Bloomsburg, PA",PA,msa,bloomsburg pa,,,unresolved,no deterministic exact-code or exact-title match,
394396,"Bluefield, WV",VA,msa,bluefield wv,,,unresolved,no deterministic exact-code or exact-title match,
394397,"Blytheville, AR",AR,msa,blytheville ar,14180,"Blytheville, AR",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394398,"Bogalusa, LA",LA,msa,bogalusa la,14220,"Bogalusa, LA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394399,"Boise City, ID",ID,msa,boise city id,14260,"Boise City, ID",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394402,"Boone, NC",NC,msa,boone nc,14380,"Boone, NC",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394403,"Borger, TX",TX,msa,borger tx,14420,"Borger, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394404,"Boston, MA",MA,msa,boston ma,14460,"Boston, MA",metropolitan_division,exact normalized Census metropolitan division title match,division_title_exact
394405,"Boulder, CO",CO,msa,boulder co,14500,"Boulder, CO",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394406,"Bowling Green, KY",KY,msa,bowling green ky,14540,"Bowling Green, KY",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394407,"Bozeman, MT",MT,msa,bozeman mt,14580,"Bozeman, MT",current_metropolitan_cbsa,exact normalized Census CBSA title match,normalized_title_exact
394409,"Bradford, PA",PA,msa,bradford pa,14620,"Bradford, PA",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394410,"Brainerd, MN",MN,msa,brainerd mn,14660,"Brainerd, MN",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394411,"Branson, MO",MO,msa,branson mo,14700,"Branson, MO",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
753871,"Breckenridge, CO",CO,msa,breckenridge co,14720,"Breckenridge, CO",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394412,"Bremerton, WA",WA,msa,bremerton wa,,,unresolved,no deterministic exact-code or exact-title match,
394413,"Brenham, TX",TX,msa,brenham tx,14780,"Brenham, TX",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394414,"Brevard, NC",NC,msa,brevard nc,14820,"Brevard, NC",current_micropolitan_cbsa,exact normalized Census micropolitan title match,normalized_title_exact
394415,"Bridgeport, CT",CT,msa,bridgeport ct,,,unresolved,no deterministic exact-code or exact-title match,
