cbsa_code,cbsa_name,metro_micro_type,county_fips,county_name,state_name
10180,"Abilene, TX",Metropolitan Statistical Area,48059,Callahan County,Texas
10180,"Abilene, TX",Metropolitan Statistical Area,48253,Jones County,Texas
10180,"Abilene, TX",Metropolitan Statistical Area,48441,Taylor County,Texas
10380,"Aguadilla, PR",Metropolitan Statistical Area,72003,Aguada Municipio,Puerto Rico
10380,"Aguadilla, PR",Metropolitan Statistical Area,72005,Aguadilla Municipio,Puerto Rico
10380,"Aguadilla, PR",Metropolitan Statistical Area,72011,Añasco Municipio,Puerto Rico
10380,"Aguadilla, PR",Metropolitan Statistical Area,72071,Isabela Municipio,Puerto Rico
10380,"Aguadilla, PR",Metropolitan Statistical Area,72099,Moca Municipio,Puerto Rico
10380,"Aguadilla, PR",Metropolitan Statistical Area,72117,Rincón Municipio,Puerto Rico
10380,"Aguadilla, PR",Metropolitan Statistical Area,72131,San Sebastián Municipio,Puerto Rico
10420,"Akron, OH",Metropolitan Statistical Area,39133,Portage County,Ohio
10420,"Akron, OH",Metropolitan Statistical Area,39153,Summit County,Ohio
10500,"Albany, GA",Metropolitan Statistical Area,13095,Dougherty County,Georgia
10500,"Albany, GA",Metropolitan Statistical Area,13177,Lee County,Georgia
10500,"Albany, GA",Metropolitan Statistical Area,13273,Terrell County,Georgia
10500,"Albany, GA",Metropolitan Statistical Area,13321,Worth County,Georgia
10540,"Albany, OR",Metropolitan Statistical Area,41043,Linn County,Oregon
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,36001,Albany County,New York
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,36083,Rensselaer County,New York
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,36091,Saratoga County,New York
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,36093,Schenectady County,New York
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,36095,Schoharie County,New York
10740,"Albuquerque, NM",Metropolitan Statistical Area,35001,Bernalillo County,New Mexico
10740,"Albuquerque, NM",Metropolitan Statistical Area,35043,Sandoval County,New Mexico
10740,"Albuquerque, NM",Metropolitan Statistical Area,35057,Torrance County,New Mexico
10740,"Albuquerque, NM",Metropolitan Statistical Area,35061,Valencia County,New Mexico
10780,"Alexandria, LA",Metropolitan Statistical Area,22043,Grant Parish,Louisiana
10780,"Alexandria, LA",Metropolitan Statistical Area,22079,Rapides Parish,Louisiana
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,34041,Warren County,New Jersey
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,42025,Carbon County,Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,42077,Lehigh County,Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,42095,Northampton County,Pennsylvania
11020,"Altoona, PA",Metropolitan Statistical Area,42013,Blair County,Pennsylvania
11100,"Amarillo, TX",Metropolitan Statistical Area,48011,Armstrong County,Texas
11100,"Amarillo, TX",Metropolitan Statistical Area,48065,Carson County,Texas
11100,"Amarillo, TX",Metropolitan Statistical Area,48359,Oldham County,Texas
11100,"Amarillo, TX",Metropolitan Statistical Area,48375,Potter County,Texas
11100,"Amarillo, TX",Metropolitan Statistical Area,48381,Randall County,Texas
11180,"Ames, IA",Metropolitan Statistical Area,19015,Boone County,Iowa
11180,"Ames, IA",Metropolitan Statistical Area,19169,Story County,Iowa
11200,"Amherst Town-Northampton, MA",Metropolitan Statistical Area,25015,Hampshire County,Massachusetts
11260,"Anchorage, AK",Metropolitan Statistical Area,02020,Anchorage Municipality,Alaska
11260,"Anchorage, AK",Metropolitan Statistical Area,02170,Matanuska-Susitna Borough,Alaska
11460,"Ann Arbor, MI",Metropolitan Statistical Area,26161,Washtenaw County,Michigan
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,01015,Calhoun County,Alabama
11540,"Appleton, WI",Metropolitan Statistical Area,55015,Calumet County,Wisconsin
11540,"Appleton, WI",Metropolitan Statistical Area,55087,Outagamie County,Wisconsin
11640,"Arecibo, PR",Metropolitan Statistical Area,72013,Arecibo Municipio,Puerto Rico
11640,"Arecibo, PR",Metropolitan Statistical Area,72027,Camuy Municipio,Puerto Rico
11640,"Arecibo, PR",Metropolitan Statistical Area,72065,Hatillo Municipio,Puerto Rico
11640,"Arecibo, PR",Metropolitan Statistical Area,72115,Quebradillas Municipio,Puerto Rico
11700,"Asheville, NC",Metropolitan Statistical Area,37021,Buncombe County,North Carolina
11700,"Asheville, NC",Metropolitan Statistical Area,37089,Henderson County,North Carolina
11700,"Asheville, NC",Metropolitan Statistical Area,37115,Madison County,North Carolina
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,13059,Clarke County,Georgia
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,13195,Madison County,Georgia
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,13219,Oconee County,Georgia
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,13221,Oglethorpe County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13013,Barrow County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13035,Butts County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13045,Carroll County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13063,Clayton County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13077,Coweta County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13085,Dawson County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13089,DeKalb County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13097,Douglas County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13113,Fayette County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13117,Forsyth County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13121,Fulton County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13135,Gwinnett County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13149,Heard County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13151,Henry County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13159,Jasper County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13187,Lumpkin County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13199,Meriwether County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13211,Morgan County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13217,Newton County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13227,Pickens County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13231,Pike County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13247,Rockdale County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13255,Spalding County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13297,Walton County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13015,Bartow County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13057,Cherokee County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13067,Cobb County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13143,Haralson County,Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,13223,Paulding County,Georgia
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,34001,Atlantic County,New Jersey
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,34009,Cape May County,New Jersey
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,01081,Lee County,Alabama
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,01087,Macon County,Alabama
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13033,Burke County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13073,Columbia County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13181,Lincoln County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13189,McDuffie County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13245,Richmond County,Georgia
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,45003,Aiken County,South Carolina
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,45037,Edgefield County,South Carolina
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48021,Bastrop County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48055,Caldwell County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48209,Hays County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,48453,Travis County,Texas
