cbsa_code,msa_title,date,zhvi_all_homes_sa,permits_units_sa,employment_thousands_sa,bls_preliminary_flag,zhvi_source_vintage,permits_source_vintage,employment_source_vintage
10180,"Abilene, TX",2016-02-01,131277.6929737327,75.1978468419169,67.9,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-03-01,131712.0765843388,202105.0,67.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-04-01,132153.96275937548,43.5266194510156,67.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-05-01,132681.21927997042,202106.0,67.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-06-01,133391.49608228853,276.939680167651,67.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-07-01,133922.24925539468,202107.0,67.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-08-01,134519.7788164362,14.8084431971825,67.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-09-01,135163.27201878143,202108.0,67.9,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-10-01,135709.81225035095,60.5357349029726,67.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-11-01,136032.73213787968,202109.0,67.9,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2016-12-01,136106.23883804065,70.8555080749241,68.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-01-01,136225.47158116728,202110.0,68.3,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-02-01,136243.98680849097,47.4413446868387,68.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-03-01,136263.7106638681,202111.0,68.3,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-04-01,136287.70960411464,64.0553085880341,68.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-05-01,136311.2433671594,202112.0,68.6,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-06-01,136374.72186052802,36.2626463351257,68.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-07-01,136480.68849932516,202201.0,68.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-08-01,137026.4997366237,58.3251721685135,68.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-09-01,138027.468197163,202202.0,68.6,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-10-01,139062.2603973771,50.5648865817378,68.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-11-01,139777.66370668387,202203.0,69.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2017-12-01,140230.05739814148,67.0666196314333,69.3,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
