cbsa_code,msa_title,date,zhvi_all_homes_sa,permits_units_sa,employment_thousands_sa,bls_preliminary_flag,zhvi_source_vintage,permits_source_vintage,employment_source_vintage
10180,"Abilene, TX",2009-01-01,114024.08204617444,201710.0,67.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-02-01,113942.6143864849,25.0627776776019,66.9,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-03-01,114004.10164754005,201711.0,66.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-04-01,113992.90244913353,31.0618617871598,66.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-05-01,114071.52291314733,201712.0,65.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-06-01,113981.1420248736,39.5067021269794,65.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-07-01,113956.60022209531,201801.0,66.0,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-08-01,113920.72530728953,40.7154197476165,65.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-09-01,113617.6715940842,201802.0,65.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-10-01,113156.95635121867,35.8607681327308,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-11-01,112584.13432368787,201803.0,65.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2009-12-01,112455.5240931202,23.856291728744,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-01-01,112626.3672357705,201804.0,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-02-01,112921.71689331713,27.0851625464999,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-03-01,113169.29782318945,201805.0,65.6,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-04-01,113213.05621874501,29.4324661683154,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-05-01,113241.2706360538,201806.0,65.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-06-01,113227.97731991201,18.9497587781585,65.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-07-01,113237.93070335244,201807.0,65.3,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-08-01,113265.99595252493,24.1901726256826,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-09-01,112992.82759727753,201808.0,65.2,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-10-01,112630.54661537321,27.5604415229573,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-11-01,112029.47626789182,201809.0,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2010-12-01,111658.16958985203,31.5885287922794,65.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-01-01,111138.78368984959,201810.0,65.6,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-02-01,110779.36632604268,36.0299952891744,65.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-03-01,110325.42535589752,201811.0,65.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-04-01,110042.39172333857,30.6667971082125,65.6,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-05-01,109712.0364864792,201812.0,65.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-06-01,109455.89499433355,32.6589022372177,65.6,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-07-01,109275.16135172012,201901.0,65.8,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-08-01,108740.10725123216,30.1612983992647,65.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-09-01,108352.70080904402,201902.0,65.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-10-01,107975.80126230145,39.7959165491355,65.9,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-11-01,108156.88111826118,201903.0,65.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2011-12-01,108445.07164066801,16.0705073263695,65.9,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-01-01,108801.59357909253,201904.0,65.9,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-02-01,109282.13224254803,23.6111645486616,66.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-03-01,109602.71907713382,201905.0,66.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-04-01,110027.64086508285,22.4108485498128,65.7,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-05-01,110421.65433334924,201906.0,65.6,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-06-01,110847.33363999687,6.3000457454505,65.4,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-07-01,111197.86626228919,201907.0,66.0,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-08-01,111644.23456677546,26.9710789670884,66.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-09-01,112295.32595709455,201908.0,66.1,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-10-01,112657.22518542974,33.1473230127554,66.3,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-11-01,112365.47428971967,201909.0,66.3,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
10180,"Abilene, TX",2012-12-01,111847.56741750106,29.4208049542723,66.5,0,current Zillow Research download,Census BPS monthly file,current BLS SM bulk download
