zillow_region_id,zillow_region_name,cbsa_code,census_cbsa_title,bls_area_code,bls_area_title,match_method,geographic_vintage,match_status,review_reason
394299,"Abilene, TX",10180,"Abilene, TX",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394304,"Akron, OH",10420,"Akron, OH",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394306,"Albany, GA",10500,"Albany, GA",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394307,"Albany, OR",10540,"Albany, OR",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394312,"Albuquerque, NM",10740,"Albuquerque, NM",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394314,"Alexandria, LA",10780,"Alexandria, LA",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394321,"Altoona, PA",11020,"Altoona, PA",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394323,"Amarillo, TX",11100,"Amarillo, TX",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394325,"Ames, IA",11180,"Ames, IA",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394327,"Anchorage, AK",11260,"Anchorage, AK",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394332,"Ann Arbor, MI",11460,"Ann Arbor, MI",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394334,"Appleton, WI",11540,"Appleton, WI",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394338,"Asheville, NC",11700,"Asheville, NC",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394359,"Bangor, ME",12620,"Bangor, ME",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394361,"Barnstable Town, MA",12700,"Barnstable Town, MA",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394367,"Baton Rouge, LA",12940,"Baton Rouge, LA",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394368,"Battle Creek, MI",12980,"Battle Creek, MI",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394369,"Bay City, MI",13020,"Bay City, MI",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394374,"Beckley, WV",13220,"Beckley, WV",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394378,"Bellingham, WA",13380,"Bellingham, WA",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394380,"Bend, OR",13460,"Bend, OR",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394386,"Billings, MT",13740,"Billings, MT",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394387,"Binghamton, NY",13780,"Binghamton, NY",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394388,"Birmingham, AL",13820,"Birmingham, AL",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394390,"Bismarck, ND",13900,"Bismarck, ND",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
753869,"Bloomington, IL",14010,"Bloomington, IL",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394393,"Bloomington, IN",14020,"Bloomington, IN",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394399,"Boise City, ID",14260,"Boise City, ID",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394405,"Boulder, CO",14500,"Boulder, CO",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394406,"Bowling Green, KY",14540,"Bowling Green, KY",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
394407,"Bozeman, MT",14580,"Bozeman, MT",,,name_normalized_exact,2023 Census/OMB delineation,accepted,
