Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202404,101,10180,2,Abilene  TX ,43,43,11923,4,8,1242,0,0,0,0,0,0,43,43,11923,4,8,1242,0,0,0,0,0,0
202404,101,45020,5,Sweetwater  TX ,2,2,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,104,10580,2,Albany-Schenectady-Troy  NY ,92,92,33913,3,6,926,0,0,0,2,10,989,57,57,20875,3,6,926,0,0,0,0,0,0
202404,104,11220,5,Amsterdam  NY ,4,4,899,0,0,0,0,0,0,0,0,0,1,1,350,0,0,0,0,0,0,0,0,0
202404,104,24020,2,Glens Falls  NY ,18,18,8542,2,4,674,0,0,0,0,0,0,16,16,7947,2,4,674,0,0,0,0,0,0
202404,104,24100,5,Gloversville  NY ,9,9,2367,0,0,0,0,0,0,1,5,1333,5,5,1180,0,0,0,0,0,0,0,0,0
202404,104,26460,5,Hudson  NY ,11,11,5406,0,0,0,0,0,0,0,0,0,4,4,1188,0,0,0,0,0,0,0,0,0
202404,105,10740,2,Albuquerque  NM ,194,194,53526,0,0,0,0,0,0,0,0,0,167,167,45512,0,0,0,0,0,0,0,0,0
202404,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,105,31060,5,Los Alamos  NM ,3,3,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,105,42140,2,Santa Fe  NM ,9,9,2456,0,0,0,0,0,0,0,0,0,9,9,2456,0,0,0,0,0,0,0,0,0
202404,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,85,85,22847,7,14,2648,0,0,0,2,14,2937,54,54,15233,7,14,2648,0,0,0,0,0,0
202404,106,20700,5,East Stroudsburg  PA ,29,29,10614,0,0,0,0,0,0,0,0,0,19,19,7310,0,0,0,0,0,0,0,0,0
202404,107,11020,2,Altoona  PA ,7,7,2076,0,0,0,1,4,381,0,0,0,2,2,806,0,0,0,0,0,0,0,0,0
202404,107,26500,5,Huntingdon  PA ,2,2,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,108,11100,2,Amarillo  TX ,50,50,14285,0,0,0,0,0,0,0,0,0,47,47,13517,0,0,0,0,0,0,0,0,0
202404,108,14420,5,Borger  TX ,1,1,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,118,11540,2,Appleton  WI ,66,66,25183,2,4,752,0,0,0,0,0,0,60,60,23159,2,4,752,0,0,0,0,0,0
202404,118,36780,2,Oshkosh-Neenah  WI ,35,35,11703,1,2,250,0,0,0,2,16,2140,33,33,11016,1,2,250,0,0,0,2,16,2140
202404,120,11700,2,Asheville  NC ,220,220,89518,0,0,0,0,0,0,8,226,41395,87,87,42228,0,0,0,0,0,0,6,213,38948
202404,120,14820,5,Brevard  NC ,20,20,11817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,120,48200,5,Waynesville  NC ,61,61,18261,0,0,0,0,0,0,0,0,0,61,61,18261,0,0,0,0,0,0,0,0,0
202404,122,12020,2,Athens-Clarke County  GA ,89,89,28413,0,0,0,0,0,0,1,14,497,46,46,16161,0,0,0,0,0,0,1,14,497
202404,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,2448,2448,692241,15,30,7073,6,23,3485,136,1723,220768,2186,2186,628087,15,30,7073,5,20,2896,131,1623,204174
202404,122,15660,5,Calhoun  GA ,22,22,5026,0,0,0,0,0,0,0,0,0,10,10,1621,0,0,0,0,0,0,0,0,0
202404,122,16340,5,Cedartown  GA ,7,7,2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,122,18460,5,Cornelia  GA ,19,19,6127,0,0,0,0,0,0,0,0,0,15,15,5651,0,0,0,0,0,0,0,0,0
202404,122,23580,2,Gainesville  GA ,124,124,26706,0,0,0,1,3,234,1,5,403,55,55,11133,0,0,0,0,0,0,0,0,0
202404,122,27600,5,Jefferson  GA ,205,205,61780,0,0,0,1,3,512,1,5,1068,171,171,52311,0,0,0,0,0,0,0,0,0
202404,122,29300,5,LaGrange  GA-AL ,53,53,17484,0,0,0,0,0,0,0,0,0,47,47,16200,0,0,0,0,0,0,0,0,0
202404,122,40660,2,Rome  GA ,29,29,6183,0,0,0,0,0,0,0,0,0,29,29,6183,0,0,0,0,0,0,0,0,0
202404,122,45580,5,Thomaston  GA ,12,12,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202404,132,12940,2,Baton Rouge  LA ,310,310,76314,0,0,0,0,0,0,1,20,2045,37,37,7991,0,0,0,0,0,0,0,0,0
202404,132,25220,2,Hammond  LA ,74,74,13155,0,0,0,0,0,0,1,37,3522,0,0,0,0,0,0,0,0,0,0,0,0
202404,142,13820,2,Birmingham  AL ,250,250,82053,1,2,1182,0,0,0,2,25,3959,177,177,59599,0,0,0,0,0,0,0,0,0
202404,142,18980,5,Cullman  AL ,15,15,3969,0,0,0,0,0,0,0,0,0,13,13,3502,0,0,0,0,0,0,0,0,0
202404,142,45180,5,Talladega-Sylacauga  AL ,13,13,3382,0,0,0,0,0,0,0,0,0,13,13,3382,0,0,0,0,0,0,0,0,0
202404,144,13260,5,Bedford  IN ,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
