Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200304,0040,9999,,Abilene  TX MSA ,13,13,1904,1,2,130,0,0,0,0,0,0,13,13,1904,1,2,130,0,0,0,0,0,0
200304,0120,9999,,Albany  GA MSA ,49,49,6199,3,6,567,0,0,0,6,30,1546,18,18,2656,3,6,567,0,0,0,6,30,1546
200304,0160,9999,,Albany-Schenectady-Troy  NY MSA ,154,154,29260,0,0,0,0,0,0,3,24,1464,139,139,27160,0,0,0,0,0,0,2,16,1000
200304,0200,9999,,Albuquerque  NM MSA ,553,553,59387,0,0,0,4,14,626,6,87,3572,11,11,1699,0,0,0,0,0,0,0,0,0
200304,0220,9999,,Alexandria  LA MSA ,43,43,5696,0,0,0,0,0,0,1,8,485,43,43,5696,0,0,0,0,0,0,1,8,485
200304,0240,9999,,Allentown-Bethlehem-Easton  PA MSA ,176,176,27257,0,0,0,1,3,231,0,0,0,143,143,22141,0,0,0,0,0,0,0,0,0
200304,0280,9999,,Altoona  PA MSA ,6,6,1341,0,0,0,0,0,0,0,0,0,6,6,1341,0,0,0,0,0,0,0,0,0
200304,0320,9999,,Amarillo  TX MSA ,71,71,10384,1,2,92,0,0,0,0,0,0,71,71,10384,1,2,92,0,0,0,0,0,0
200304,0380,9999,,Anchorage  AK MSA ,92,92,19417,56,112,15497,7,27,3315,0,0,0,92,92,19417,56,112,15497,7,27,3315,0,0,0
200304,0450,9999,,Anniston  AL MSA ,10,10,1311,0,0,0,0,0,0,0,0,0,7,7,1119,0,0,0,0,0,0,0,0,0
200304,0460,9999,,Appleton-Oshkosh-Neenah  WI MSA ,192,192,31262,7,14,1311,2,7,430,10,123,5076,124,124,20171,2,4,500,0,0,0,7,87,3398
200304,0480,9999,,Asheville  NC MSA ,125,125,19794,0,0,0,0,0,0,0,0,0,125,125,19794,0,0,0,0,0,0,0,0,0
200304,0500,9999,,Athens  GA MSA ,159,159,18205,0,0,0,0,0,0,4,72,4213,146,146,16563,0,0,0,0,0,0,4,72,4213
200304,0520,9999,,Atlanta  GA MSA ,4655,4655,681545,20,40,2386,6,24,1586,23,1022,64981,4333,4333,639079,20,40,2386,6,24,1586,23,1022,64981
200304,0580,9999,,Auburn-Opelika  AL MSA ,39,39,6019,4,8,444,1,4,276,4,44,2286,7,7,1155,0,0,0,0,0,0,0,0,0
200304,0600,9999,,Augusta-Aiken  GA-SC MSA ,240,240,32998,0,0,0,0,0,0,0,0,0,205,205,29139,0,0,0,0,0,0,0,0,0
200304,0640,9999,,Austin-San Marcos  TX MSA ,700,700,87973,11,22,1480,0,0,0,0,0,0,633,633,75353,11,22,1480,0,0,0,0,0,0
200304,0680,9999,,Bakersfield  CA MSA ,450,450,65169,1,2,107,1,4,173,0,0,0,449,449,65055,1,2,107,1,4,173,0,0,0
200304,0730,9999,,Bangor  ME MSA ,47,47,6771,3,6,420,1,4,120,0,0,0,46,46,6621,2,4,260,1,4,120,0,0,0
200304,0740,9999,,Barnstable-Yarmouth  MA MSA ,54,54,11669,0,0,0,0,0,0,0,0,0,35,35,7278,0,0,0,0,0,0,0,0,0
200304,0760,9999,,Baton Rouge  LA MSA ,171,171,16834,0,0,0,0,0,0,2,10,900,170,170,16718,0,0,0,0,0,0,2,10,900
200304,0840,9999,,Beaumont-Port Arthur  TX MSA ,72,72,8939,0,0,0,0,0,0,5,208,12722,72,72,8939,0,0,0,0,0,0,5,208,12722
200304,0860,9999,,Bellingham  WA MSA ,128,128,20858,2,4,458,4,13,954,2,25,1244,95,95,15410,0,0,0,2,6,336,0,0,0
200304,0870,9999,,Benton Harbor  MI MSA ,13,13,2589,0,0,0,0,0,0,0,0,0,3,3,295,0,0,0,0,0,0,0,0,0
200304,0880,9999,,Billings  MT MSA ,75,75,12027,0,0,0,0,0,0,0,0,0,75,75,12027,0,0,0,0,0,0,0,0,0
200304,0920,9999,,Biloxi-Gulfport-Pascagoula  MS MSA ,199,199,21535,0,0,0,0,0,0,15,226,29347,179,179,18951,0,0,0,0,0,0,15,226,29347
200304,0960,9999,,Binghamton  NY MSA ,3,3,948,0,0,0,0,0,0,0,0,0,3,3,948,0,0,0,0,0,0,0,0,0
200304,1000,9999,,Birmingham  AL MSA ,425,425,66456,0,0,0,0,0,0,0,0,0,291,291,49224,0,0,0,0,0,0,0,0,0
200304,1010,9999,,Bismarck  ND MSA ,84,84,14490,0,0,0,1,4,530,1,12,457,81,81,14107,0,0,0,1,4,530,1,12,457
200304,1020,9999,,Bloomington  IN MSA ,62,62,9057,11,22,1979,0,0,0,1,14,778,0,0,0,0,0,0,0,0,0,0,0,0
200304,1040,9999,,Bloomington-Normal  IL MSA ,110,110,11952,0,0,0,0,0,0,4,47,990,102,102,10457,0,0,0,0,0,0,4,47,990
