Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201005,102,18700, ,Corvallis  OR ,2,2,332,0,0,0,0,0,0,0,0,0,2,2,332,0,0,0,0,0,0,0,0,0
201005,104,10580, ,Albany-Schenectady-Troy  NY ,61,61,16493,0,0,0,0,0,0,1,5,274,53,53,15009,0,0,0,0,0,0,0,0,0
201005,104,24020, ,Glens Falls  NY ,17,17,2031,0,0,0,0,0,0,0,0,0,8,8,1500,0,0,0,0,0,0,0,0,0
201005,112,11180, ,Ames  IA ,6,6,1343,0,0,0,0,0,0,0,0,0,5,5,1120,0,0,0,0,0,0,0,0,0
201005,118,11540, ,Appleton  WI ,21,21,3907,1,2,163,0,0,0,0,0,0,17,17,3459,0,0,0,0,0,0,0,0,0
201005,118,36780, ,Oshkosh-Neenah  WI ,19,19,4441,0,0,0,2,8,496,1,60,4959,19,19,4441,0,0,0,2,8,496,1,60,4959
201005,120,11700, ,Asheville  NC ,102,102,23700,1,2,368,0,0,0,0,0,0,90,90,21185,1,2,368,0,0,0,0,0,0
201005,122,12060,C,Atlanta-Sandy Springs-Marietta  GA ,481,481,84543,0,0,0,2,6,7435,4,22,3247,444,444,76770,0,0,0,2,6,7435,4,22,3247
201005,122,23580, ,Gainesville  GA ,16,16,1878,0,0,0,0,0,0,0,0,0,16,16,1878,0,0,0,0,0,0,0,0,0
201005,126,12420,C,Austin-Round Rock-San Marcos  TX ,538,538,90563,0,0,0,0,0,0,7,133,49009,447,447,75337,0,0,0,0,0,0,5,115,48007
201005,132,12940, ,Baton Rouge  LA ,255,255,38561,0,0,0,0,0,0,1,5,407,175,175,26041,0,0,0,0,0,0,0,0,0
201005,140,13460,C,Bend  OR ,21,21,6274,0,0,0,0,0,0,1,6,480,21,21,6274,0,0,0,0,0,0,1,6,480
201005,142,13820,C,Birmingham-Hoover  AL ,105,105,19034,0,0,0,1,3,315,0,0,0,52,52,8657,0,0,0,0,0,0,0,0,0
201005,148,14460,C,Boston-Cambridge-Quincy  MA-NH ,329,329,80665,6,12,1309,2,8,1176,9,55,5604,217,217,53740,5,10,1092,2,8,1176,2,11,1240
201005,148,31700, ,Manchester-Nashua  NH ,41,41,7401,1,2,143,1,3,272,0,0,0,37,37,6402,1,2,143,1,3,272,0,0,0
201005,148,39300, ,Providence-New Bedford-Fall River  RI-MA ,98,98,14344,0,0,0,2,6,627,0,0,0,68,68,8981,0,0,0,0,0,0,0,0,0
201005,148,49340, ,Worcester  MA ,52,52,10201,3,6,1060,0,0,0,1,13,785,34,34,6921,2,4,710,0,0,0,0,0,0
201005,154,15180, ,Brownsville-Harlingen  TX ,79,79,7428,1,2,55,1,3,164,0,0,0,79,79,7428,1,2,55,1,3,164,0,0,0
201005,160,15380, ,Buffalo-Niagara Falls  NY ,74,74,16077,0,0,0,0,0,0,1,7,762,72,72,15757,0,0,0,0,0,0,0,0,0
201005,164,16020, ,Cape Girardeau-Jackson  MO-IL ,9,9,1183,0,0,0,0,0,0,0,0,0,9,9,1183,0,0,0,0,0,0,0,0,0
201005,172,16740,C,Charlotte-Gastonia-Rock Hill  NC-SC ,393,393,76825,0,0,0,0,0,0,11,127,6397,291,291,51758,0,0,0,0,0,0,10,121,5930
201005,174,16860, ,Chattanooga  TN-GA ,75,75,11122,0,0,0,0,0,0,1,5,464,56,56,8442,0,0,0,0,0,0,0,0,0
201005,174,17420, ,Cleveland  TN ,9,9,1504,0,0,0,2,8,288,0,0,0,9,9,1504,0,0,0,2,8,288,0,0,0
201005,176,16980,C,Chicago-Joliet-Naperville  IL-IN-WI ,455,455,101688,8,16,1626,9,30,3870,10,423,225225,365,365,80194,4,8,877,8,27,3690,7,400,223097
201005,176,28100, ,Kankakee-Bradley  IL ,1,1,315,1,2,244,0,0,0,0,0,0,1,1,315,1,2,244,0,0,0,0,0,0
201005,176,33140, ,Michigan City-La Porte  IN ,9,9,1723,0,0,0,0,0,0,0,0,0,9,9,1723,0,0,0,0,0,0,0,0,0
201005,178,17140,C,Cincinnati-Middletown  OH-KY-IN ,285,285,50087,2,4,300,1,4,300,3,20,991,229,229,39837,1,2,150,1,4,300,1,10,90
201005,184,10420, ,Akron  OH ,31,31,5202,0,0,0,0,0,0,1,5,177,25,25,4604,0,0,0,0,0,0,0,0,0
201005,184,17460,C,Cleveland-Elyria-Mentor  OH ,157,157,32053,0,0,0,2,7,1167,1,5,300,104,104,22496,0,0,0,1,4,790,1,5,300
201005,192,17900,C,Columbia  SC ,216,216,32903,0,0,0,0,0,0,2,41,3255,62,62,9410,0,0,0,0,0,0,0,0,0
201005,194,12220,C,Auburn-Opelika  AL ,31,31,6456,0,0,0,0,0,0,3,48,5108,31,31,6456,0,0,0,0,0,0,3,48,5108
201005,194,17980, ,Columbus  GA-AL ,64,64,10481,0,0,0,1,3,136,15,315,19568,44,44,8363,0,0,0,0,0,0,14,308,19037
201005,198,18140,C,Columbus  OH ,285,285,61233,2,4,794,4,12,1298,1,5,417,257,257,55661,2,4,794,3,9,1092,0,0,0
201005,204,18580, ,Corpus Christi  TX ,80,80,9244,0,0,0,0,0,0,0,0,0,77,77,8891,0,0,0,0,0,0,0,0,0
201005,206,19100,C,Dallas-Fort Worth-Arlington  TX ,1209,1209,306999,2,4,541,1,3,216,4,48,4039,1059,1059,274006,2,4,541,0,0,0,2,12,1515
201005,206,43300, ,Sherman-Denison  TX ,1,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
