field,value
Sample start,2010-01-01
Sample end,2026-05-01
Number of MSAs,169
Number of level months,197
Usable dynamic observations,33124
Number of folds,10
Fixed ranks,"[1, 1, 1, 2]"
Outcome transformation,log(zhvi_all_homes_sa)
Control transformations,"lag_asinh_permits, lag_log_employment"
Lag order,one monthly lag
BLS preliminary observations,0 (validated by production run)
Seed,2024
Riesz maximum iterations,2000
Riesz tolerance,1e-05
Riesz ridge,1e-06
Cached-scale setting,False
Production runtime,177.215
