candidate_id,date,variable,p10,p25,median,p75,p90,n
at_least_240m,2006-07-01,ZHVI all-homes SA,111325.6149888068,124006.30701480675,161908.15250192696,225421.89531917288,320474.20508441445,123
at_least_240m,2006-08-01,ZHVI all-homes SA,111759.1165437017,124451.24015634895,159974.81396560158,226058.35194221977,319818.780875991,123
at_least_240m,2006-09-01,ZHVI all-homes SA,112136.52974103476,124977.53309298816,160465.1497746521,227343.35692999372,319367.90613304905,123
at_least_240m,2006-10-01,ZHVI all-homes SA,112573.84462062866,125778.95512433261,161013.30913373773,228663.17941979214,318605.96385852975,123
at_least_240m,2006-11-01,ZHVI all-homes SA,112887.52101057228,126526.72982063117,161313.08582648868,230194.30751202372,317376.24126902793,123
at_least_240m,2006-12-01,ZHVI all-homes SA,113254.67920463836,127129.94278346734,161569.60971109435,230610.50059813185,316210.01949082856,123
at_least_240m,2007-01-01,ZHVI all-homes SA,113593.564107743,127575.40960798354,162166.40976546647,231085.99840713688,315891.131879061,123
at_least_240m,2007-02-01,ZHVI all-homes SA,113935.0580576099,128016.58376413977,162383.8319179454,231936.68577587977,316308.10108420416,123
at_least_240m,2007-03-01,ZHVI all-homes SA,114228.02456559741,128553.78708692334,162916.1259058103,232311.80964893382,314633.9334131786,123
at_least_240m,2007-04-01,ZHVI all-homes SA,114565.62575421762,128787.84419442216,163152.18364250186,232590.51420154073,312428.23060467275,123
at_least_240m,2007-05-01,ZHVI all-homes SA,114980.30642297062,129016.85055054718,163907.88086183605,232932.601439304,310052.3839394942,123
at_least_240m,2007-06-01,ZHVI all-homes SA,115426.95580869884,129286.53394258441,164443.93333490606,233156.65044326955,307416.46109844313,123
at_least_240m,2007-07-01,ZHVI all-homes SA,115441.62046611658,129533.52656137888,164569.02345281714,233270.3876502262,304580.7779967402,123
at_least_240m,2007-08-01,ZHVI all-homes SA,114992.57329710081,129832.9742901322,164946.92606481665,232844.12893070496,303810.1198261121,123
at_least_240m,2007-09-01,ZHVI all-homes SA,114531.88896290131,130041.04565253318,165112.99456883167,232334.26358839349,303563.92785497056,123
at_least_240m,2007-10-01,ZHVI all-homes SA,114513.79664164633,130274.48108329887,165526.63502916772,232737.93731560925,303266.09401600703,123
at_least_240m,2007-11-01,ZHVI all-homes SA,115332.83289624343,130432.92826677879,165440.5916496676,230495.66612286263,296469.4981125034,123
at_least_240m,2007-12-01,ZHVI all-homes SA,115813.64409578576,130488.80143294245,164356.35276007446,228870.834147899,291352.2697279997,123
at_least_240m,2008-01-01,ZHVI all-homes SA,115639.71039334804,130315.007788774,163627.99508459133,227169.37364943608,288331.9504796967,123
at_least_240m,2008-02-01,ZHVI all-homes SA,115421.1921179606,130274.85542859609,161906.80421927897,225486.25815751695,285654.0994948779,123
at_least_240m,2008-03-01,ZHVI all-homes SA,115430.78810390507,130641.89227961219,161838.6034639251,223967.96112690197,280429.0402990509,123
at_least_240m,2008-04-01,ZHVI all-homes SA,115185.8240694743,130852.16756333655,161919.31094131243,221941.08397295768,277536.7884171997,123
at_least_240m,2008-05-01,ZHVI all-homes SA,114996.0178990261,130880.95548160962,164946.74009347867,221805.59763142362,275449.67377878254,123
at_least_240m,2008-06-01,ZHVI all-homes SA,114672.82711495417,130730.11488309751,165393.33509285492,217812.5574285551,273625.2312264755,123
at_least_240m,2008-07-01,ZHVI all-homes SA,114511.90741291294,130554.87130224884,163990.30996040071,215357.36723091267,271646.6247862265,123
at_least_240m,2008-08-01,ZHVI all-homes SA,114662.71777722356,130522.9858262896,162920.21731851992,214617.11495359844,269007.6957220463,123
at_least_240m,2008-09-01,ZHVI all-homes SA,114388.80368188248,130415.83312075381,161221.00143531,209496.07082764394,266107.2200539086,123
at_least_240m,2008-10-01,ZHVI all-homes SA,114118.40226079288,129878.20954612097,160919.58544378518,206499.2143012676,263839.6021623664,123
at_least_240m,2008-11-01,ZHVI all-homes SA,113887.5781144425,129208.73911704612,161424.192738804,204623.28982845665,261523.1845827496,123
at_least_240m,2008-12-01,ZHVI all-homes SA,113936.85555220043,128770.97787887833,156816.79218202896,201462.08578420128,259322.00802870578,123
at_least_240m,2009-01-01,ZHVI all-homes SA,113713.10603887895,128623.17415323074,155560.23363371225,198355.29371520813,256971.9631644401,123
at_least_240m,2009-02-01,ZHVI all-homes SA,113367.95199633612,128555.97153553946,154985.51580552966,196694.78539989382,253299.9144477151,123
at_least_240m,2009-03-01,ZHVI all-homes SA,112529.22136120654,128496.24095887443,154742.04571943215,194959.99178833497,251037.23507926092,123
at_least_240m,2009-04-01,ZHVI all-homes SA,112249.69562524045,127472.98038686147,154525.85136333448,194430.52342028724,247686.89792251738,123
at_least_240m,2009-05-01,ZHVI all-homes SA,112115.5468854697,126372.88240540531,154184.57091185552,194030.66552140738,243059.8903644665,123
at_least_240m,2009-06-01,ZHVI all-homes SA,112106.66047724197,126645.99790359582,154025.65394420564,193248.94989467907,239002.61601782715,123
at_least_240m,2009-07-01,ZHVI all-homes SA,112016.55721025025,126648.96361179007,153428.9698411885,192412.64970929312,237354.9174071325,123
at_least_240m,2009-08-01,ZHVI all-homes SA,112049.33655015138,124915.62054763289,152681.49259503026,191709.6798235023,237413.8735860482,123
at_least_240m,2009-09-01,ZHVI all-homes SA,111774.3895762334,123874.71064839151,151506.89870724312,190435.3960212312,236457.37129624892,123
at_least_240m,2009-10-01,ZHVI all-homes SA,111424.87287992146,123808.93043716118,150435.27429466514,189340.17182384056,234269.37107930452,123
at_least_240m,2009-11-01,ZHVI all-homes SA,111265.06158478907,124084.06178683325,151069.788414323,188452.92802321987,231979.1771291584,123
at_least_240m,2009-12-01,ZHVI all-homes SA,111115.86287725599,124294.50437946201,150911.35891111314,187221.6739228699,230330.54876650055,123
at_least_240m,2010-01-01,ZHVI all-homes SA,111443.73859827078,124828.13289704993,150875.05065397083,186500.01110090243,228928.90547387645,123
at_least_240m,2010-02-01,ZHVI all-homes SA,111758.11221315827,125366.8240933067,150969.04829420245,186121.49149394213,228318.52050530765,123
at_least_240m,2010-03-01,ZHVI all-homes SA,112048.46741702058,125846.16311660584,151224.34246226595,186130.52948947367,227905.0688707939,123
at_least_240m,2010-04-01,ZHVI all-homes SA,110771.71242295334,125417.05677045113,151463.7824230713,185997.64948066376,227786.4981111066,123
at_least_240m,2010-05-01,ZHVI all-homes SA,109896.01747213384,125666.2323016804,151709.45944453214,186160.10563003266,227515.9407148821,123
at_least_240m,2010-06-01,ZHVI all-homes SA,109725.23413008652,125450.4016611971,151675.25175505423,186383.70115474082,225599.73708368698,123
at_least_240m,2010-07-01,ZHVI all-homes SA,109516.02965139081,125439.31046844437,151482.31208324543,186419.90315401653,224501.11286238706,123
at_least_240m,2010-08-01,ZHVI all-homes SA,109278.21512820388,125114.96731666438,151534.51704230584,186232.27206286398,222809.53885335271,123
at_least_240m,2010-09-01,ZHVI all-homes SA,108852.26289697715,124945.2880889923,151534.63701111954,186025.6457960818,220731.02156277304,123
at_least_240m,2010-10-01,ZHVI all-homes SA,108355.70424161683,124392.7213026657,150744.22628070108,186078.6803601728,219082.36317038722,123
at_least_240m,2010-11-01,ZHVI all-homes SA,108349.16207905737,123715.01862768627,148513.70807570426,184425.31287050078,220230.45877993322,123
at_least_240m,2010-12-01,ZHVI all-homes SA,108038.85189950487,123195.22471592741,146636.3466799563,182271.78257063677,220088.44793187984,123
at_least_240m,2011-01-01,ZHVI all-homes SA,107942.36932581101,122257.58740949386,146317.23451829664,181224.2020981582,218832.12615821377,123
at_least_240m,2011-02-01,ZHVI all-homes SA,106803.53928776341,121387.04420786709,146007.29559533964,180349.1710495822,216206.2115536172,123
at_least_240m,2011-03-01,ZHVI all-homes SA,106301.26502081621,120856.92320572444,144322.87403950494,180624.43689052836,213581.34498569352,123
at_least_240m,2011-04-01,ZHVI all-homes SA,105822.4038868443,120641.1293584716,143616.8655772627,180135.6527445815,211950.11379688897,123
at_least_240m,2011-05-01,ZHVI all-homes SA,105600.69722055225,120432.90800053507,142853.88920670815,178358.417254325,211253.96851777082,123
at_least_240m,2011-06-01,ZHVI all-homes SA,105058.5885270691,119824.92258269254,142189.46827289407,176652.70543599676,210046.3328406159,123
at_least_240m,2011-07-01,ZHVI all-homes SA,104549.687436776,119204.13281343054,141588.0647724387,175764.81915850856,210342.88481245987,123
at_least_240m,2011-08-01,ZHVI all-homes SA,104038.97703746636,118754.4589574872,140966.296868747,174805.79198315323,209233.07809134282,123
at_least_240m,2011-09-01,ZHVI all-homes SA,103128.26089017939,118306.74641663831,140388.32688150747,174538.32848857786,206601.0409299558,123
at_least_240m,2011-10-01,ZHVI all-homes SA,102969.62404143596,118342.84841823336,139763.0608724442,174431.6774565189,205502.1838619961,123
at_least_240m,2011-11-01,ZHVI all-homes SA,102753.55939371657,118416.53018285127,139138.23092485644,173922.7866845195,205179.4306347235,123
at_least_240m,2011-12-01,ZHVI all-homes SA,102361.18696346815,118121.19829343245,139546.31283284922,173227.21254467283,204304.50599525712,123
at_least_240m,2012-01-01,ZHVI all-homes SA,101896.5549115541,118221.17299213496,139578.16697839912,173113.0951110451,204186.8945183212,123
at_least_240m,2012-02-01,ZHVI all-homes SA,101844.99083005878,118510.10413820414,139639.04345586456,173421.05369861334,204605.84535579223,123
at_least_240m,2012-03-01,ZHVI all-homes SA,101960.51993963502,118056.90261683697,138707.9195943091,173633.3157373914,205529.41734795627,123
at_least_240m,2012-04-01,ZHVI all-homes SA,102258.68812081308,118455.90967166299,139753.78644310342,173373.01957524446,205349.5213346164,123
at_least_240m,2012-05-01,ZHVI all-homes SA,103651.48248590725,119455.36447974922,140200.08726637418,172921.5551692418,205661.6246438396,123
at_least_240m,2012-06-01,ZHVI all-homes SA,104535.28145404649,119842.44843274415,140373.6482493528,172544.04590447707,206163.3849267183,123
at_least_240m,2012-07-01,ZHVI all-homes SA,105385.85954768873,120152.08444514609,141141.1042098538,172594.64501775726,206406.48558793496,123
at_least_240m,2012-08-01,ZHVI all-homes SA,104940.14974503368,120070.929782511,142519.77415985792,172573.2035543201,206565.8055331066,123
at_least_240m,2012-09-01,ZHVI all-homes SA,104638.78135687622,120453.726717788,143246.8909060288,172277.60674519092,207102.73347932834,123
at_least_240m,2012-10-01,ZHVI all-homes SA,104175.01956557564,120971.46113621251,143510.26943933484,171847.859310945,208133.19436993345,123
at_least_240m,2012-11-01,ZHVI all-homes SA,104814.58260424205,121684.19663290386,144129.677919881,173071.2402839283,209584.8098925544,123
at_least_240m,2012-12-01,ZHVI all-homes SA,104898.15614696224,122098.78250509573,144294.80039214817,174475.78277312175,211963.57835902783,123
at_least_240m,2013-01-01,ZHVI all-homes SA,104837.24259242162,121897.10450417968,143982.14183980835,176304.22640486824,212218.78588164132,123
at_least_240m,2013-02-01,ZHVI all-homes SA,104898.19671156496,121680.00859194787,144772.75284985904,177687.99022133782,212834.128268821,123
at_least_240m,2013-03-01,ZHVI all-homes SA,105307.41821023198,121815.66033562337,145228.9776935419,178764.65693761603,213234.58549009633,123
at_least_240m,2013-04-01,ZHVI all-homes SA,105345.44029405256,122089.25463459067,145870.63654787742,180035.596832423,213598.62115809618,123
at_least_240m,2013-05-01,ZHVI all-homes SA,105112.61402890165,122775.87258978281,146835.77829894595,180533.1296746168,213842.88430925508,123
