candidate_id,date,variable,p10,p25,median,p75,p90,n
pareto_10_200505_254m_111n,2005-05-01,employment thousands SA,51.0,62.05,110.8,182.65,353.9,111
pareto_10_200505_254m_111n,2005-06-01,employment thousands SA,51.1,62.25,110.7,183.0,355.3,111
pareto_10_200505_254m_111n,2005-07-01,employment thousands SA,51.8,62.4,111.1,183.8,358.6,111
pareto_10_200505_254m_111n,2005-08-01,employment thousands SA,51.5,62.45,111.5,184.3,359.2,111
pareto_10_200505_254m_111n,2005-09-01,employment thousands SA,51.8,62.75,111.4,185.2,361.3,111
pareto_10_200505_254m_111n,2005-10-01,employment thousands SA,51.3,62.4,111.4,186.3,362.3,111
pareto_10_200505_254m_111n,2005-11-01,employment thousands SA,51.6,62.7,111.4,186.3,362.6,111
pareto_10_200505_254m_111n,2005-12-01,employment thousands SA,52.0,62.650000000000006,111.7,186.6,363.0,111
pareto_10_200505_254m_111n,2006-01-01,employment thousands SA,52.5,62.8,112.4,186.95,360.7,111
pareto_10_200505_254m_111n,2006-02-01,employment thousands SA,52.5,63.05,112.8,188.1,359.5,111
pareto_10_200505_254m_111n,2006-03-01,employment thousands SA,52.8,63.2,112.6,188.45,361.9,111
pareto_10_200505_254m_111n,2006-04-01,employment thousands SA,52.8,63.349999999999994,113.1,188.55,361.7,111
pareto_10_200505_254m_111n,2006-05-01,employment thousands SA,52.5,63.349999999999994,112.7,188.9,361.8,111
pareto_10_200505_254m_111n,2006-06-01,employment thousands SA,53.2,63.6,112.9,190.0,364.5,111
pareto_10_200505_254m_111n,2006-07-01,employment thousands SA,52.7,63.6,112.3,189.9,358.5,111
pareto_10_200505_254m_111n,2006-08-01,employment thousands SA,52.4,63.6,112.2,190.05,363.1,111
pareto_10_200505_254m_111n,2006-09-01,employment thousands SA,52.4,63.3,112.7,190.45,363.4,111
pareto_10_200505_254m_111n,2006-10-01,employment thousands SA,52.6,63.5,113.0,191.1,362.2,111
pareto_10_200505_254m_111n,2006-11-01,employment thousands SA,52.6,63.6,113.6,191.45,361.7,111
pareto_10_200505_254m_111n,2006-12-01,employment thousands SA,52.9,63.5,114.0,191.6,362.1,111
pareto_10_200505_254m_111n,2007-01-01,employment thousands SA,52.8,63.7,114.0,192.0,362.3,111
pareto_10_200505_254m_111n,2007-02-01,employment thousands SA,52.4,63.65,113.6,192.10000000000002,362.2,111
pareto_10_200505_254m_111n,2007-03-01,employment thousands SA,52.6,63.55,113.9,192.3,363.0,111
pareto_10_200505_254m_111n,2007-04-01,employment thousands SA,52.4,63.55,113.3,192.05,362.3,111
pareto_10_200505_254m_111n,2007-05-01,employment thousands SA,52.2,63.65,113.8,192.85,362.8,111
pareto_10_200505_254m_111n,2007-06-01,employment thousands SA,52.5,63.65,114.2,193.0,364.1,111
pareto_10_200505_254m_111n,2007-07-01,employment thousands SA,52.4,63.35,114.0,192.35,365.5,111
pareto_10_200505_254m_111n,2007-08-01,employment thousands SA,52.6,63.5,113.5,191.75,364.1,111
pareto_10_200505_254m_111n,2007-09-01,employment thousands SA,53.0,63.55,114.1,191.89999999999998,364.5,111
pareto_10_200505_254m_111n,2007-10-01,employment thousands SA,52.4,63.65,114.3,193.0,362.7,111
pareto_10_200505_254m_111n,2007-11-01,employment thousands SA,52.5,63.8,114.3,193.05,362.8,111
pareto_10_200505_254m_111n,2007-12-01,employment thousands SA,52.4,63.95,114.0,193.25,363.2,111
pareto_10_200505_254m_111n,2008-01-01,employment thousands SA,53.0,63.85,114.5,193.4,364.2,111
pareto_10_200505_254m_111n,2008-02-01,employment thousands SA,52.8,64.0,114.6,193.8,364.5,111
pareto_10_200505_254m_111n,2008-03-01,employment thousands SA,52.6,63.85,114.7,193.85000000000002,364.0,111
pareto_10_200505_254m_111n,2008-04-01,employment thousands SA,52.1,63.6,114.8,193.95,365.2,111
pareto_10_200505_254m_111n,2008-05-01,employment thousands SA,52.5,63.6,114.8,193.7,366.2,111
pareto_10_200505_254m_111n,2008-06-01,employment thousands SA,52.7,63.35,114.7,193.3,365.1,111
pareto_10_200505_254m_111n,2008-07-01,employment thousands SA,52.5,63.5,114.7,192.8,366.1,111
pareto_10_200505_254m_111n,2008-08-01,employment thousands SA,52.3,63.25,114.1,192.75,366.6,111
pareto_10_200505_254m_111n,2008-09-01,employment thousands SA,52.2,63.0,113.9,193.05,365.6,111
pareto_10_200505_254m_111n,2008-10-01,employment thousands SA,52.0,62.75,113.7,193.14999999999998,365.3,111
pareto_10_200505_254m_111n,2008-11-01,employment thousands SA,51.7,62.45,113.3,192.3,364.2,111
pareto_10_200505_254m_111n,2008-12-01,employment thousands SA,51.7,61.7,113.3,191.45,362.9,111
pareto_10_200505_254m_111n,2009-01-01,employment thousands SA,51.2,61.15,112.2,189.75,361.1,111
pareto_10_200505_254m_111n,2009-02-01,employment thousands SA,51.7,61.15,112.1,188.64999999999998,360.2,111
pareto_10_200505_254m_111n,2009-03-01,employment thousands SA,50.6,61.0,111.7,187.25,358.4,111
pareto_10_200505_254m_111n,2009-04-01,employment thousands SA,50.9,60.4,110.8,185.1,356.4,111
pareto_10_200505_254m_111n,2009-05-01,employment thousands SA,51.2,60.5,110.8,184.2,356.0,111
pareto_10_200505_254m_111n,2009-06-01,employment thousands SA,49.6,60.15,110.1,183.55,355.3,111
pareto_10_200505_254m_111n,2009-07-01,employment thousands SA,50.6,60.150000000000006,109.2,183.5,353.7,111
pareto_10_200505_254m_111n,2009-08-01,employment thousands SA,50.1,60.099999999999994,108.6,183.6,353.9,111
pareto_10_200505_254m_111n,2009-09-01,employment thousands SA,50.2,59.95,108.6,183.45,354.1,111
pareto_10_200505_254m_111n,2009-10-01,employment thousands SA,50.2,59.7,108.7,183.55,355.1,111
pareto_10_200505_254m_111n,2009-11-01,employment thousands SA,49.7,59.7,108.5,183.45,356.1,111
pareto_10_200505_254m_111n,2009-12-01,employment thousands SA,49.3,59.6,108.4,183.45,355.5,111
pareto_10_200505_254m_111n,2010-01-01,employment thousands SA,49.6,59.4,108.8,184.35,355.2,111
pareto_10_200505_254m_111n,2010-02-01,employment thousands SA,49.6,59.349999999999994,109.1,184.25,353.9,111
pareto_10_200505_254m_111n,2010-03-01,employment thousands SA,49.9,59.65,109.0,184.85,354.5,111
pareto_10_200505_254m_111n,2010-04-01,employment thousands SA,49.9,59.85,109.2,184.65,357.5,111
pareto_10_200505_254m_111n,2010-05-01,employment thousands SA,50.6,59.95,109.0,185.6,359.1,111
pareto_10_200505_254m_111n,2010-06-01,employment thousands SA,49.8,59.95,108.6,185.75,358.4,111
pareto_10_200505_254m_111n,2010-07-01,employment thousands SA,49.9,60.05,108.3,185.95,358.1,111
pareto_10_200505_254m_111n,2010-08-01,employment thousands SA,49.7,60.05,108.4,186.4,359.3,111
pareto_10_200505_254m_111n,2010-09-01,employment thousands SA,49.9,60.0,108.5,185.64999999999998,359.2,111
pareto_10_200505_254m_111n,2010-10-01,employment thousands SA,50.0,59.95,108.8,185.85,359.9,111
pareto_10_200505_254m_111n,2010-11-01,employment thousands SA,49.8,59.75,108.6,185.25,360.7,111
pareto_10_200505_254m_111n,2010-12-01,employment thousands SA,49.8,59.8,108.4,185.55,359.8,111
pareto_10_200505_254m_111n,2011-01-01,employment thousands SA,49.8,59.95,108.5,185.3,361.6,111
pareto_10_200505_254m_111n,2011-02-01,employment thousands SA,49.9,59.95,108.1,185.25,360.1,111
pareto_10_200505_254m_111n,2011-03-01,employment thousands SA,49.7,59.95,108.6,185.3,361.3,111
pareto_10_200505_254m_111n,2011-04-01,employment thousands SA,49.9,59.95,108.5,185.39999999999998,361.2,111
pareto_10_200505_254m_111n,2011-05-01,employment thousands SA,50.1,59.75,108.7,185.55,361.8,111
pareto_10_200505_254m_111n,2011-06-01,employment thousands SA,50.1,59.75,108.5,186.35000000000002,360.3,111
pareto_10_200505_254m_111n,2011-07-01,employment thousands SA,50.5,59.95,108.9,186.3,363.7,111
pareto_10_200505_254m_111n,2011-08-01,employment thousands SA,50.9,59.9,109.2,186.3,362.7,111
pareto_10_200505_254m_111n,2011-09-01,employment thousands SA,50.2,59.6,110.5,186.75,364.1,111
pareto_10_200505_254m_111n,2011-10-01,employment thousands SA,50.3,59.7,109.8,186.45,362.3,111
pareto_10_200505_254m_111n,2011-11-01,employment thousands SA,50.0,59.7,109.6,185.85000000000002,362.3,111
pareto_10_200505_254m_111n,2011-12-01,employment thousands SA,50.6,59.7,109.1,186.25,362.1,111
pareto_10_200505_254m_111n,2012-01-01,employment thousands SA,51.0,60.0,110.0,187.9,361.6,111
pareto_10_200505_254m_111n,2012-02-01,employment thousands SA,51.0,59.900000000000006,109.6,188.5,361.9,111
pareto_10_200505_254m_111n,2012-03-01,employment thousands SA,51.0,60.05,110.1,189.0,366.4,111
pareto_10_200505_254m_111n,2012-04-01,employment thousands SA,50.7,60.05,110.2,189.75,366.0,111
pareto_10_200505_254m_111n,2012-05-01,employment thousands SA,50.7,59.9,110.7,190.35000000000002,367.0,111
pareto_10_200505_254m_111n,2012-06-01,employment thousands SA,50.6,59.85,111.1,191.35,367.2,111
pareto_10_200505_254m_111n,2012-07-01,employment thousands SA,50.6,59.849999999999994,111.2,190.64999999999998,366.1,111
pareto_10_200505_254m_111n,2012-08-01,employment thousands SA,50.9,59.95,111.1,191.25,367.0,111
pareto_10_200505_254m_111n,2012-09-01,employment thousands SA,50.6,59.95,111.5,191.05,367.8,111
pareto_10_200505_254m_111n,2012-10-01,employment thousands SA,50.9,59.85,111.4,191.4,368.3,111
pareto_10_200505_254m_111n,2012-11-01,employment thousands SA,50.8,59.8,111.8,191.39999999999998,368.4,111
pareto_10_200505_254m_111n,2012-12-01,employment thousands SA,51.0,59.8,111.9,190.75,368.9,111
pareto_10_200505_254m_111n,2013-01-01,employment thousands SA,51.3,59.9,113.1,192.0,366.3,111
pareto_10_200505_254m_111n,2013-02-01,employment thousands SA,51.6,59.85,113.5,192.9,368.9,111
pareto_10_200505_254m_111n,2013-03-01,employment thousands SA,51.5,59.75,113.1,193.5,368.7,111
pareto_10_200505_254m_111n,2013-04-01,employment thousands SA,51.6,59.900000000000006,113.7,193.5,368.8,111
pareto_10_200505_254m_111n,2013-05-01,employment thousands SA,51.4,60.05,113.6,193.7,369.0,111
pareto_10_200505_254m_111n,2013-06-01,employment thousands SA,51.5,60.05,113.8,194.25,368.8,111
pareto_10_200505_254m_111n,2013-07-01,employment thousands SA,51.9,60.150000000000006,113.7,194.35,369.1,111
pareto_10_200505_254m_111n,2013-08-01,employment thousands SA,51.7,60.1,113.9,195.05,370.2,111
pareto_10_200505_254m_111n,2013-09-01,employment thousands SA,51.8,60.2,113.1,195.45,369.9,111
pareto_10_200505_254m_111n,2013-10-01,employment thousands SA,51.6,60.5,113.6,195.55,372.5,111
pareto_10_200505_254m_111n,2013-11-01,employment thousands SA,51.7,60.45,113.2,195.65,372.1,111
pareto_10_200505_254m_111n,2013-12-01,employment thousands SA,51.4,60.7,113.1,196.25,372.5,111
pareto_10_200505_254m_111n,2014-01-01,employment thousands SA,51.4,60.55,112.9,196.2,373.4,111
pareto_10_200505_254m_111n,2014-02-01,employment thousands SA,51.5,60.650000000000006,113.3,196.8,373.0,111
pareto_10_200505_254m_111n,2014-03-01,employment thousands SA,51.7,60.75,113.1,197.1,373.9,111
pareto_10_200505_254m_111n,2014-04-01,employment thousands SA,51.8,60.9,113.4,197.3,374.5,111
pareto_10_200505_254m_111n,2014-05-01,employment thousands SA,51.9,61.150000000000006,113.6,197.60000000000002,375.5,111
pareto_10_200505_254m_111n,2014-06-01,employment thousands SA,52.1,61.05,113.9,197.8,375.4,111
pareto_10_200505_254m_111n,2014-07-01,employment thousands SA,51.5,61.150000000000006,113.6,197.89999999999998,376.8,111
pareto_10_200505_254m_111n,2014-08-01,employment thousands SA,52.3,61.25,114.2,197.85,378.1,111
pareto_10_200505_254m_111n,2014-09-01,employment thousands SA,52.1,61.25,113.9,198.45,377.7,111
pareto_10_200505_254m_111n,2014-10-01,employment thousands SA,52.4,61.2,114.0,199.05,378.7,111
pareto_10_200505_254m_111n,2014-11-01,employment thousands SA,52.0,61.25,113.8,199.3,378.6,111
pareto_10_200505_254m_111n,2014-12-01,employment thousands SA,52.3,61.3,113.7,199.75,378.8,111
pareto_10_200505_254m_111n,2015-01-01,employment thousands SA,52.3,61.7,113.7,199.25,378.4,111
pareto_10_200505_254m_111n,2015-02-01,employment thousands SA,52.3,61.65,114.2,198.95,378.8,111
pareto_10_200505_254m_111n,2015-03-01,employment thousands SA,52.2,61.45,114.0,198.95,378.9,111
pareto_10_200505_254m_111n,2015-04-01,employment thousands SA,52.1,61.45,114.5,198.85,379.2,111
pareto_10_200505_254m_111n,2015-05-01,employment thousands SA,52.4,61.45,114.3,199.2,380.0,111
pareto_10_200505_254m_111n,2015-06-01,employment thousands SA,52.4,61.55,114.2,200.3,380.5,111
pareto_10_200505_254m_111n,2015-07-01,employment thousands SA,52.1,61.7,114.1,199.3,380.7,111
pareto_10_200505_254m_111n,2015-08-01,employment thousands SA,52.3,61.7,114.0,200.0,381.2,111
pareto_10_200505_254m_111n,2015-09-01,employment thousands SA,52.4,61.900000000000006,114.0,199.85,381.7,111
pareto_10_200505_254m_111n,2015-10-01,employment thousands SA,52.5,61.85,114.9,200.0,382.9,111
pareto_10_200505_254m_111n,2015-11-01,employment thousands SA,53.0,61.900000000000006,114.5,200.05,384.9,111
pareto_10_200505_254m_111n,2015-12-01,employment thousands SA,52.7,61.900000000000006,114.1,199.65,383.4,111
pareto_10_200505_254m_111n,2016-01-01,employment thousands SA,52.9,62.0,113.1,200.25,384.3,111
