candidate_id,date,variable,p10,p25,median,p75,p90,n
pareto_34_200907_204m_165n,2009-07-01,ZHVI all-homes SA,107589.20108703157,124774.01214759483,149664.48121574146,184640.80555587835,230637.56351460455,165
pareto_34_200907_204m_165n,2009-08-01,ZHVI all-homes SA,107164.5670230889,124077.3382926272,149460.76210295456,184169.72177288707,226850.2385163221,165
pareto_34_200907_204m_165n,2009-09-01,ZHVI all-homes SA,106452.45801850395,122822.9048492217,149074.8317307425,184163.9356201261,222823.2570025171,165
pareto_34_200907_204m_165n,2009-10-01,ZHVI all-homes SA,105729.34599141157,123175.24488104063,148904.98813542575,183901.92749992956,220222.20769513756,165
pareto_34_200907_204m_165n,2009-11-01,ZHVI all-homes SA,105043.74935313038,123533.5152198979,148506.1679340387,183464.0772671924,220426.8954402508,165
pareto_34_200907_204m_165n,2009-12-01,ZHVI all-homes SA,104769.50295525166,123792.16006301611,148471.20328308412,181961.99956362206,221233.53259503626,165
pareto_34_200907_204m_165n,2010-01-01,ZHVI all-homes SA,104896.91557144391,124208.35102740063,148393.1334657656,179989.73583319248,221501.5201061742,165
pareto_34_200907_204m_165n,2010-02-01,ZHVI all-homes SA,105140.48681181682,125230.07708541008,148683.08613331962,178185.7795079311,221046.6971451561,165
pareto_34_200907_204m_165n,2010-03-01,ZHVI all-homes SA,105401.19092892396,125363.93774526753,149074.48513591805,176653.3076418574,221801.01103338815,165
pareto_34_200907_204m_165n,2010-04-01,ZHVI all-homes SA,105492.16896524529,125113.71587519672,149227.27002210633,175632.48063074404,221272.37846719046,165
pareto_34_200907_204m_165n,2010-05-01,ZHVI all-homes SA,105621.72831913107,125150.84379052742,149211.0491758131,176757.60899171667,220366.9556341858,165
pareto_34_200907_204m_165n,2010-06-01,ZHVI all-homes SA,105748.1032326716,125178.57306100614,149133.1362785401,176685.84603132043,219819.0530064123,165
pareto_34_200907_204m_165n,2010-07-01,ZHVI all-homes SA,105791.26801166969,124897.99126431071,148893.17620011538,176305.5544908595,219152.05983108137,165
pareto_34_200907_204m_165n,2010-08-01,ZHVI all-homes SA,105693.55418108901,124538.50372342637,148434.38406880482,175008.24491714,218022.1849297588,165
pareto_34_200907_204m_165n,2010-09-01,ZHVI all-homes SA,105600.16630373399,124006.79348325693,147832.34434698758,174275.4185922219,216559.79669560015,165
pareto_34_200907_204m_165n,2010-10-01,ZHVI all-homes SA,105658.39483500925,123555.65898695828,147498.53517237373,174427.47285251308,215522.84891802538,165
pareto_34_200907_204m_165n,2010-11-01,ZHVI all-homes SA,105587.4825248546,123132.29604060714,147064.8722744947,174453.72756304624,214492.790568039,165
pareto_34_200907_204m_165n,2010-12-01,ZHVI all-homes SA,105561.64433998938,122731.62115393602,145480.94228867255,174475.19281582095,213233.08580655616,165
pareto_34_200907_204m_165n,2011-01-01,ZHVI all-homes SA,105458.06330011557,122058.32739911145,144680.46557432684,174289.5441541731,212176.85358955566,165
pareto_34_200907_204m_165n,2011-02-01,ZHVI all-homes SA,105090.6977509615,120951.50397141954,143565.56223402257,174061.66478024263,210531.05712359212,165
pareto_34_200907_204m_165n,2011-03-01,ZHVI all-homes SA,104652.55585566207,120240.63163637927,142885.40265943846,173695.47354729392,209022.28668337932,165
pareto_34_200907_204m_165n,2011-04-01,ZHVI all-homes SA,104133.11402273033,119944.87865779591,142523.0210316444,173206.94918509523,207335.19419437594,165
pareto_34_200907_204m_165n,2011-05-01,ZHVI all-homes SA,103653.77932395201,119689.52086949487,141804.46801281048,172699.06971824772,207289.39498935326,165
pareto_34_200907_204m_165n,2011-06-01,ZHVI all-homes SA,103297.89713174148,119569.37740903215,139799.2286373485,172220.15694094764,205747.93183323267,165
pareto_34_200907_204m_165n,2011-07-01,ZHVI all-homes SA,102790.31988390777,118852.24526803762,138802.55480015578,171983.2910816269,205171.49454329122,165
pareto_34_200907_204m_165n,2011-08-01,ZHVI all-homes SA,102287.15740646319,118546.41880799644,138619.7150979439,171790.33218257874,205349.30667905696,165
pareto_34_200907_204m_165n,2011-09-01,ZHVI all-homes SA,101860.74890152014,118104.71312823729,138472.50420216616,171431.15830680283,204529.14461334416,165
pareto_34_200907_204m_165n,2011-10-01,ZHVI all-homes SA,101183.42398708509,117996.03159801284,138296.58530601693,170248.51481053713,203047.1968355103,165
pareto_34_200907_204m_165n,2011-11-01,ZHVI all-homes SA,100619.20930348898,117553.76345895894,138138.92096879138,169874.49329559106,200663.8376529781,165
pareto_34_200907_204m_165n,2011-12-01,ZHVI all-homes SA,100167.21512853327,117117.23098913835,138047.68167570783,169353.08041457814,199475.9958012937,165
pareto_34_200907_204m_165n,2012-01-01,ZHVI all-homes SA,99749.28763671189,117118.01286212943,137695.53187647404,169338.3926625447,199156.9704049592,165
