candidate_id,date,variable,p10,p25,median,p75,p90,n
start_2010,2010-01-01,ZHVI all-homes SA,103566.50682737285,124208.35102740063,148956.8739835625,181794.2219236601,223294.31939326227,169
start_2010,2010-02-01,ZHVI all-homes SA,103852.5026721976,125230.07708541008,150013.33498758465,180270.32420936864,222118.9173853056,169
start_2010,2010-03-01,ZHVI all-homes SA,104314.05332284799,125363.93774526753,150065.94868590793,178680.83652981604,222521.96453191296,169
start_2010,2010-04-01,ZHVI all-homes SA,104580.01265284492,125113.71587519672,149961.75017100188,177541.55373858727,221965.15383883956,169
start_2010,2010-05-01,ZHVI all-homes SA,104731.95061821485,125150.84379052742,150622.72994856507,176773.50008569294,221350.08645390582,169
start_2010,2010-06-01,ZHVI all-homes SA,104815.31826344751,125178.57306100614,151216.26630078035,177882.51748985096,220963.59688360023,169
start_2010,2010-07-01,ZHVI all-homes SA,104780.7543286908,124897.99126431071,150190.32641242733,177110.44838060523,220180.93877070668,169
start_2010,2010-08-01,ZHVI all-homes SA,104686.65637064626,124538.50372342637,148918.13120840286,176928.7059457675,218885.29592619895,169
start_2010,2010-09-01,ZHVI all-homes SA,104534.21681504672,124006.79348325693,148422.5087391001,176618.22576466482,217398.40222576715,169
start_2010,2010-10-01,ZHVI all-homes SA,104504.37823477967,123555.65898695828,148830.39499659263,176487.9359613442,216188.6923439699,169
start_2010,2010-11-01,ZHVI all-homes SA,104330.89465185313,123132.29604060714,147629.73112821524,176963.9229812688,214958.0381749245,169
start_2010,2010-12-01,ZHVI all-homes SA,104178.87448610897,122731.62115393602,146321.2344341129,176575.0062695524,213672.46619324843,169
start_2010,2011-01-01,ZHVI all-homes SA,103935.48277726004,122058.32739911145,145068.97660560242,175704.38116323936,212683.52261259142,169
start_2010,2011-02-01,ZHVI all-homes SA,103458.93710187692,120951.50397141954,144496.51212747235,175169.75328600899,210943.8745680839,169
start_2010,2011-03-01,ZHVI all-homes SA,102925.64168728938,120240.63163637927,143924.81617221565,174858.82427471108,209781.46292120812,169
start_2010,2011-04-01,ZHVI all-homes SA,102319.45089544692,119944.87865779591,142524.25826624155,174087.82920859742,207787.93789559795,169
start_2010,2011-05-01,ZHVI all-homes SA,101661.94096137666,119689.52086949487,141811.97932844775,173315.56598122144,207562.59343122895,169
start_2010,2011-06-01,ZHVI all-homes SA,101095.90353034355,119569.37740903215,140879.4829710737,172541.4467920136,206471.23100316513,169
start_2010,2011-07-01,ZHVI all-homes SA,100689.4844125761,118852.24526803762,139443.57404026153,172100.36673354325,205421.14896573118,169
start_2010,2011-08-01,ZHVI all-homes SA,100316.68922132139,118546.41880799644,139601.54991906497,172025.93391920844,205756.48893430788,169
start_2010,2011-09-01,ZHVI all-homes SA,100032.03761705807,118104.71312823729,138835.70286499066,171564.71921055744,205250.90870864707,169
start_2010,2011-10-01,ZHVI all-homes SA,99814.31613916812,117996.03159801284,138490.15931068323,171556.35136635785,204234.84202984633,169
start_2010,2011-11-01,ZHVI all-homes SA,99645.01841785453,117553.76345895894,138481.95624886904,171153.89898791703,202061.6459779564,169
start_2010,2011-12-01,ZHVI all-homes SA,99418.35068909056,117117.23098913835,138233.2806916786,171037.3159053118,200644.84407125774,169
start_2010,2012-01-01,ZHVI all-homes SA,99144.93310658756,117118.01286212943,137878.82163400724,170437.53705096294,200377.5748913764,169
start_2010,2012-02-01,ZHVI all-homes SA,99046.32137854137,117700.69337800272,137975.57352664365,170688.93897679122,200751.12364101442,169
start_2010,2012-03-01,ZHVI all-homes SA,98764.45511798383,117760.15436866575,138242.99760575025,171841.2947083392,201206.2011948197,169
start_2010,2012-04-01,ZHVI all-homes SA,98589.87561598133,118005.21481703816,138158.1784430846,172565.22274783583,201524.5017244001,169
start_2010,2012-05-01,ZHVI all-homes SA,98589.77370121508,118580.59845438047,139199.3400139267,172561.28585853172,200660.27703288407,169
start_2010,2012-06-01,ZHVI all-homes SA,99199.19086424126,118591.77971078591,140018.73594596767,172635.24106793883,199844.01711998004,169
start_2010,2012-07-01,ZHVI all-homes SA,100156.1622679692,119091.22985999218,140148.4957553458,172947.47208223722,199897.6193711661,169
start_2010,2012-08-01,ZHVI all-homes SA,99943.3585280673,119483.74169655544,140556.27398858356,172996.5980781714,201767.31646373426,169
start_2010,2012-09-01,ZHVI all-homes SA,99651.7735079103,120058.4024077168,140388.48108539477,172535.53317040962,202566.0426607987,169
start_2010,2012-10-01,ZHVI all-homes SA,99668.83497410259,120572.10962809535,140467.37505280695,171928.87818781953,202682.84298785304,169
start_2010,2012-11-01,ZHVI all-homes SA,99516.52115745391,121392.71597600337,141181.88510691863,174175.80139586245,204113.45148951543,169
start_2010,2012-12-01,ZHVI all-homes SA,99106.05670251792,121565.99160637938,142421.04991941736,176247.0464773682,205852.87449575565,169
start_2010,2013-01-01,ZHVI all-homes SA,99228.71903805605,121599.33789684468,143471.3191115485,176466.4939826663,208762.3785885152,169
start_2010,2013-02-01,ZHVI all-homes SA,99807.96558706602,121330.8051722125,143065.23351537983,176779.58266525905,210995.43585440022,169
start_2010,2013-03-01,ZHVI all-homes SA,100694.65764838339,121876.04744757475,143033.63713934284,177728.36509468112,212065.22428667874,169
start_2010,2013-04-01,ZHVI all-homes SA,101381.36512513795,122071.56879402103,144328.1714218078,178267.30983266386,212698.01199353274,169
start_2010,2013-05-01,ZHVI all-homes SA,101789.79775574771,122419.80043302255,145160.66046101807,178463.75361265484,213151.98363263733,169
start_2010,2013-06-01,ZHVI all-homes SA,101708.53911582977,122802.16422199701,145917.78222276038,178879.2845436991,213978.58997754642,169
start_2010,2013-07-01,ZHVI all-homes SA,101989.04969290622,123103.0652201192,146407.22521515403,179439.27507851456,214916.7347467977,169
start_2010,2013-08-01,ZHVI all-homes SA,102345.81809532896,123853.06645312886,146907.16798974943,180086.61346673255,215704.04014336687,169
start_2010,2013-09-01,ZHVI all-homes SA,102803.25122490115,124710.08805736357,147260.40644434033,181762.08483172357,216402.7066868451,169
start_2010,2013-10-01,ZHVI all-homes SA,102730.48008810231,125007.52213115264,147312.74838433284,182259.33243867275,218161.97640126577,169
start_2010,2013-11-01,ZHVI all-homes SA,102376.645517985,124688.19249978272,147567.49870015643,183615.05908061145,221248.3646320655,169
start_2010,2013-12-01,ZHVI all-homes SA,102005.01458157304,124442.83523143624,147271.9042050097,185575.91380061154,223709.3241861941,169
start_2010,2014-01-01,ZHVI all-homes SA,102025.8186171221,124259.90670417318,147023.53826161884,186756.57099902726,224926.7836118149,169
start_2010,2014-02-01,ZHVI all-homes SA,102294.3163400585,124409.16283602045,147824.2226183972,187389.50463955125,225327.21109070635,169
start_2010,2014-03-01,ZHVI all-homes SA,102022.61110390717,124725.16148936353,148744.06041670684,187901.0714488,226451.91010297253,169
start_2010,2014-04-01,ZHVI all-homes SA,101471.06802445385,125302.91560239841,149637.6508126716,189302.41843177762,228123.26347820164,169
start_2010,2014-05-01,ZHVI all-homes SA,101684.37440746192,125663.28201570544,150739.56124023572,191299.51602553282,229676.86863787705,169
start_2010,2014-06-01,ZHVI all-homes SA,102809.96083509526,126161.56382216168,151056.44758660844,192384.3991759989,230651.9469150864,169
start_2010,2014-07-01,ZHVI all-homes SA,104157.10847733509,126351.370695026,151599.66168678852,193259.10335941403,231380.16205969785,169
start_2010,2014-08-01,ZHVI all-homes SA,104510.98351493673,126617.69926298689,152403.86225053642,194099.70141454542,232392.721232659,169
start_2010,2014-09-01,ZHVI all-homes SA,104638.19795844765,126850.10108741494,152649.63699273762,195092.44745726453,232901.99136444362,169
start_2010,2014-10-01,ZHVI all-homes SA,104522.77789058468,126752.06818205815,152931.2767024052,195702.84308631663,234275.0753824339,169
start_2010,2014-11-01,ZHVI all-homes SA,104483.11181160316,126797.11337654958,152961.11837912383,196637.21565104567,235802.52731342363,169
start_2010,2014-12-01,ZHVI all-homes SA,104654.58215301334,127040.92571764917,153163.83278933025,197497.49233573614,237821.7028984971,169
start_2010,2015-01-01,ZHVI all-homes SA,104763.03725553607,127297.65970734636,153563.07943947733,198624.28738073664,239628.31400565983,169
start_2010,2015-02-01,ZHVI all-homes SA,104957.40314745576,127965.49493262517,153932.02035284074,199784.6873178707,241006.6930215462,169
start_2010,2015-03-01,ZHVI all-homes SA,105316.86514962013,128625.46929018265,154544.37913191537,200759.28903820677,241814.12933458702,169
start_2010,2015-04-01,ZHVI all-homes SA,106107.1770127554,129148.56413657853,155280.1289121715,201364.95726290203,242637.77028673564,169
start_2010,2015-05-01,ZHVI all-homes SA,106904.9260958235,129647.71745806695,155227.66069809205,201502.3557354609,243817.61677186066,169
start_2010,2015-06-01,ZHVI all-homes SA,107216.5081580942,130319.89796735498,156801.48907994965,201731.92542940134,244886.4064329894,169
start_2010,2015-07-01,ZHVI all-homes SA,107453.36529043104,130937.12473979437,157636.9344123427,202784.0725221132,245633.73371927172,169
start_2010,2015-08-01,ZHVI all-homes SA,107414.45154564345,131345.05883514354,157868.7385283044,204757.78484466943,246632.9467879723,169
start_2010,2015-09-01,ZHVI all-homes SA,108017.86798330164,131600.38703868425,158684.31366473265,206234.6229560664,248048.99900728386,169
start_2010,2015-10-01,ZHVI all-homes SA,108612.05596782477,132011.33834723968,159676.67653527643,206960.42693485055,250066.54843960024,169
start_2010,2015-11-01,ZHVI all-homes SA,108563.9910391795,132353.78734159004,160511.50293447936,207563.58933991927,251781.84627896888,169
