NT,NT_over_N_plus_T,N_complete_msas,T_months,end_date,start_date
0,0.0,0,318,2026-06-01,2000-01-01
0,0.0,0,306,2026-06-01,2001-01-01
0,0.0,0,294,2026-06-01,2002-01-01
0,0.0,0,282,2026-06-01,2003-01-01
26460,71.90217391304348,98,270,2026-06-01,2004-01-01
27864,76.1311475409836,108,258,2026-06-01,2005-01-01
30012,81.55434782608695,122,246,2026-06-01,2006-01-01
28860,81.98863636363636,130,222,2026-06-01,2008-01-01
33462,91.17711171662125,169,198,2026-06-01,2010-01-01
30450,87.24928366762178,175,174,2026-06-01,2012-01-01
26358,80.11550151975683,191,138,2026-06-01,2015-01-01
