NT,NT_over_N_plus_T,N_complete_msas,T_months,end_date,start_date
26460,71.90217391304348,98,270,2026-06-01,2004-01-01
26334,72.14794520547945,99,266,2026-06-01,2004-05-01
26826,73.4958904109589,102,263,2026-06-01,2004-08-01
26986,73.93424657534247,103,262,2026-06-01,2004-09-01
27144,74.36712328767123,104,261,2026-06-01,2004-10-01
27560,75.30054644808743,106,260,2026-06-01,2004-11-01
27713,75.71857923497268,107,259,2026-06-01,2004-12-01
27864,76.1311475409836,108,258,2026-06-01,2005-01-01
28270,77.02997275204359,110,257,2026-06-01,2005-02-01
28194,77.24383561643836,111,254,2026-06-01,2005-05-01
28589,78.1120218579235,113,253,2026-06-01,2005-06-01
29232,79.43478260869566,116,252,2026-06-01,2005-07-01
29618,80.26558265582656,118,251,2026-06-01,2005-08-01
30000,81.08108108108108,120,250,2026-06-01,2005-09-01
30129,81.42972972972973,121,249,2026-06-01,2005-10-01
30134,81.6639566395664,122,247,2026-06-01,2005-12-01
29520,81.32231404958678,123,240,2026-06-01,2006-07-01
29875,82.07417582417582,125,239,2026-06-01,2006-08-01
29988,82.38461538461539,126,238,2026-06-01,2006-09-01
29972,82.56749311294766,127,236,2026-06-01,2006-11-01
29184,81.97752808988764,128,228,2026-06-01,2007-07-01
29283,82.25561797752809,129,227,2026-06-01,2007-08-01
28990,82.12464589235128,130,223,2026-06-01,2007-12-01
28951,82.2471590909091,131,221,2026-06-01,2008-02-01
29260,82.88951841359773,133,220,2026-06-01,2008-03-01
29212,82.98863636363636,134,218,2026-06-01,2008-05-01
29729,83.98022598870057,137,217,2026-06-01,2008-06-01
30024,84.57464788732395,139,216,2026-06-01,2008-07-01
29680,84.31818181818181,140,212,2026-06-01,2008-11-01
29962,84.87818696883852,142,211,2026-06-01,2008-12-01
33600,90.8108108108108,160,210,2026-06-01,2009-01-01
33858,91.26145552560646,162,209,2026-06-01,2009-02-01
33904,91.38544474393531,163,208,2026-06-01,2009-03-01
33660,91.21951219512195,165,204,2026-06-01,2009-07-01
33532,91.1195652173913,166,202,2026-06-01,2009-09-01
33400,91.00817438692098,167,200,2026-06-01,2009-11-01
33432,91.09536784741144,168,199,2026-06-01,2009-12-01
33462,91.17711171662125,169,198,2026-06-01,2010-01-01
33490,91.2534059945504,170,197,2026-06-01,2010-02-01
32661,90.22375690607734,171,191,2026-06-01,2010-08-01
32680,90.27624309392266,172,190,2026-06-01,2010-09-01
31659,88.92977528089888,173,183,2026-06-01,2011-04-01
31668,88.95505617977528,174,182,2026-06-01,2011-05-01
30450,87.24928366762178,175,174,2026-06-01,2012-01-01
30448,87.243553008596,176,173,2026-06-01,2012-02-01
29913,86.45375722543352,177,169,2026-06-01,2012-06-01
29548,85.8953488372093,178,166,2026-06-01,2012-09-01
28350,83.6283185840708,189,150,2026-06-01,2014-01-01
27930,82.87833827893175,190,147,2026-06-01,2014-04-01
27122,81.44744744744744,191,142,2026-06-01,2014-09-01
24192,76.0754716981132,192,126,2026-06-01,2016-01-01
24250,76.01880877742947,194,125,2026-06-01,2016-02-01
19890,66.96969696969697,195,102,2026-06-01,2018-01-01
17052,60.254416961130744,196,87,2026-06-01,2019-04-01
