cbsa_code,complete_months,first_complete_date
10180,210,2009-01-01
10420,270,2004-01-01
10500,269,2004-01-01
10540,150,2014-01-01
10740,270,2004-01-01
10780,265,2004-01-01
11020,270,2004-01-01
11100,210,2009-01-01
11180,208,2009-03-01
11260,268,2004-01-01
11460,270,2004-01-01
11540,254,2005-05-01
11700,270,2004-01-01
12620,270,2004-01-01
12700,270,2004-01-01
12940,270,2004-01-01
12980,270,2004-01-01
13020,270,2004-01-01
13220,150,2014-01-01
13380,270,2004-01-01
13460,267,2004-01-01
13740,210,2009-01-01
13780,270,2004-01-01
13820,270,2004-01-01
13900,210,2009-01-01
14010,150,2014-01-01
14020,270,2004-01-01
14260,267,2004-01-01
14500,270,2004-01-01
14540,270,2004-01-01
15500,125,2016-02-01
16180,270,2004-01-01
16220,190,2010-09-01
16300,270,2004-01-01
16540,150,2014-01-01
16620,270,2004-01-01
16820,268,2004-01-01
16940,269,2004-01-01
17020,270,2004-01-01
17420,270,2004-01-01
17660,228,2007-07-01
17820,270,2004-01-01
17860,251,2005-08-01
17900,269,2004-01-01
18020,269,2004-01-01
18140,270,2004-01-01
18580,260,2004-11-01
18700,269,2004-01-01
19140,132,2004-01-01
19460,239,2006-08-01
19500,269,2004-01-01
20020,270,2004-01-01
20100,204,2009-07-01
20220,209,2009-02-01
20740,210,2009-01-01
20940,269,2004-01-01
21060,268,2004-01-01
21300,270,2004-01-01
21340,270,2004-01-01
21420,126,2016-01-01
21500,270,2004-01-01
21780,270,2004-01-01
22140,200,2009-11-01
22180,270,2004-01-01
22380,270,2004-01-01
22420,269,2004-01-01
22500,250,2005-09-01
22540,212,2008-11-01
23060,270,2004-01-01
23420,270,2004-01-01
23460,270,2004-01-01
23540,270,2004-01-01
23580,270,2004-01-01
23900,150,2014-01-01
24020,269,2004-01-01
24140,132,2004-01-01
24260,150,2014-01-01
24300,270,2004-01-01
24500,228,2007-06-01
24540,270,2004-01-01
24580,269,2004-01-01
24780,221,2008-02-01
25220,150,2014-01-01
25500,202,2009-09-01
25620,174,2012-01-01
25980,266,2004-01-01
26140,150,2014-01-01
26300,270,2004-01-01
26620,265,2004-01-01
26820,270,2004-01-01
26980,210,2009-01-01
27060,270,2004-01-01
27100,269,2004-01-01
27140,270,2004-01-01
27180,270,2004-01-01
27260,270,2004-01-01
27340,251,2005-08-01
27620,81,2008-04-01
27740,270,2004-01-01
27780,259,2004-12-01
27860,270,2004-01-01
28100,207,2009-01-01
28740,270,2004-01-01
28940,270,2004-01-01
29020,210,2009-01-01
29180,270,2004-01-01
29340,125,2016-02-01
29540,270,2004-01-01
29700,210,2009-01-01
29740,270,2004-01-01
29940,263,2004-08-01
30020,267,2004-03-01
30140,254,2005-04-01
30620,268,2004-01-01
30700,270,2004-01-01
30980,269,2004-01-01
31180,268,2004-01-01
31340,270,2004-01-01
31540,270,2004-01-01
31740,210,2009-01-01
31860,210,2009-01-01
31900,128,2004-01-01
32780,270,2004-01-01
32900,269,2004-01-01
33220,150,2014-01-01
33260,210,2009-01-01
33540,257,2005-02-01
33660,270,2004-01-01
33700,270,2004-01-01
33740,268,2004-01-01
33780,270,2004-01-01
33860,270,2004-01-01
34060,267,2004-01-01
34100,129,2004-01-01
34620,209,2009-02-01
34900,132,2004-01-01
35300,270,2004-01-01
35660,270,2004-01-01
36100,270,2004-01-01
36220,210,2009-01-01
36260,270,2004-01-01
36420,270,2004-01-01
36980,268,2004-01-01
37900,270,2004-01-01
38300,270,2004-01-01
38340,270,2004-01-01
38540,210,2009-01-01
38940,270,2004-01-01
39380,270,2004-01-01
39460,270,2004-01-01
39660,217,2008-06-01
39740,270,2004-01-01
39820,270,2004-01-01
39900,270,2004-01-01
40060,269,2004-01-01
40220,122,2004-11-01
40340,270,2004-01-01
40380,270,2004-01-01
40420,270,2004-01-01
40580,132,2004-01-01
40660,268,2004-01-01
40980,270,2004-01-01
41060,253,2005-06-01
41100,211,2008-12-01
41420,270,2004-01-01
41500,270,2004-01-01
41540,270,2004-01-01
41660,142,2014-09-01
41780,119,2004-01-01
42140,270,2004-01-01
42340,270,2004-01-01
43100,220,2008-03-01
43900,270,2004-01-01
44100,240,2006-07-01
44140,270,2004-01-01
44180,227,2007-08-01
44220,270,2004-01-01
44300,252,2005-07-01
44940,216,2008-07-01
45060,270,2004-01-01
45220,270,2004-01-01
45460,210,2009-01-01
45780,270,2004-01-01
45820,270,2004-01-01
46060,269,2004-01-01
46140,270,2004-01-01
46220,270,2004-01-01
46300,102,2018-01-01
46340,210,2009-01-01
46520,150,2014-01-01
46660,267,2004-01-01
46700,270,2004-01-01
47220,270,2004-01-01
47300,270,2004-01-01
47380,210,2009-01-01
47460,150,2014-01-01
47580,270,2004-01-01
48140,210,2009-01-01
48620,270,2004-01-01
48660,210,2009-01-01
48700,267,2004-01-01
48900,270,2004-01-01
49340,270,2004-01-01
49420,270,2004-01-01
49700,132,2004-01-01
49740,269,2004-01-01
