date,median,n_available,p10,p25,p75,p90,variable
2004-01-01,129119.85138807014,138,98139.61703864677,106789.88576589344,173179.6232814219,221613.9409336233,ZHVI all-homes SA
2004-02-01,129169.40258176315,137,98414.27801224386,107177.24304530815,172531.091133072,224342.48157203197,ZHVI all-homes SA
2004-03-01,129731.72068319286,138,98544.61327233394,107374.86687757581,172861.80175232587,226198.2576053524,ZHVI all-homes SA
2004-04-01,130474.9128554553,138,98784.11111374234,107661.2142265614,173740.30187164253,228685.829914796,ZHVI all-homes SA
2004-05-01,131805.1577156204,139,99173.74507705224,107881.88176787202,175173.23910535758,232122.41873419422,ZHVI all-homes SA
2004-06-01,131761.70968543141,139,99593.72253702565,108227.25957398201,175421.51789009426,235945.14899215935,ZHVI all-homes SA
2004-07-01,132625.74470349425,137,99991.63837801375,108392.34850900566,175914.96845310563,239526.58084834233,ZHVI all-homes SA
2004-08-01,134564.42096147512,137,100457.27966209983,109443.28470856154,177902.51412001133,244005.13740606327,ZHVI all-homes SA
2004-09-01,135364.07312857342,138,100726.41813228588,109974.54491501943,179175.87397683703,248182.31643094646,ZHVI all-homes SA
2004-10-01,136553.63418130553,139,101074.44986187096,110667.33578965011,181142.49635044835,250216.70697342348,ZHVI all-homes SA
2004-11-01,136648.57123174262,142,101432.89757491119,111219.02086660544,182803.5985493322,253093.36485077458,ZHVI all-homes SA
2004-12-01,137389.32394680785,142,101749.86965669424,111691.05432180408,184241.41297439596,256167.4150202986,ZHVI all-homes SA
2005-01-01,137615.55323782185,142,102049.973234272,111929.20121179645,185547.5831146889,258288.22575009277,ZHVI all-homes SA
2005-02-01,138040.10968780273,143,102567.07370203282,112084.02519667984,188981.44635687867,260143.17420070863,ZHVI all-homes SA
2005-03-01,139459.09462593016,143,102832.62393366959,112486.64256817741,190419.13816000157,263483.69258325256,ZHVI all-homes SA
2005-04-01,141728.44218592477,144,103197.86899014465,113219.83388358633,191801.62720319684,267400.699424872,ZHVI all-homes SA
2005-05-01,143126.7723339445,144,103723.53366046393,114129.42043293882,193853.29186046738,272382.88912077947,ZHVI all-homes SA
2005-06-01,145336.97944015762,143,104237.17638191831,114909.22600261279,200576.45834770333,277772.7340796136,ZHVI all-homes SA
2005-07-01,147233.6422075096,146,104627.61075386073,115623.00527198633,203998.83302809516,277578.1375904102,ZHVI all-homes SA
2005-08-01,148708.7597973732,148,105152.39182126865,115875.75606954486,204202.43194572962,279493.6459539504,ZHVI all-homes SA
2005-09-01,150849.47413871982,148,105952.99203102727,116652.92984666985,206523.04943003133,284971.54697915533,ZHVI all-homes SA
2005-10-01,149470.3001250801,150,106530.63464621993,115442.17025777782,206422.10925977046,287806.72944766947,ZHVI all-homes SA
2005-11-01,150370.2657653828,150,107164.84606051416,115532.59253550277,208660.5032775336,293505.94616997015,ZHVI all-homes SA
2005-12-01,151205.52121933535,151,107338.5305957677,116132.66879571899,209253.91982216632,298490.19727621047,ZHVI all-homes SA
