date,median,n_available,p10,p25,p75,p90,variable
2004-01-01,92.9,138,43.43000000000001,57.949999999999996,167.725,331.95,employment thousands SA
2004-02-01,93.3,137,43.18000000000001,57.8,169.1,333.4800000000001,employment thousands SA
2004-03-01,93.25,138,42.81,57.52499999999999,168.4,333.4599999999999,employment thousands SA
2004-04-01,93.45,138,42.64,57.775000000000006,168.3,334.09999999999997,employment thousands SA
2004-05-01,93.2,139,42.6,57.95,167.8,332.24000000000007,employment thousands SA
2004-06-01,93.2,139,42.540000000000006,57.9,168.4,333.98,employment thousands SA
2004-07-01,93.3,137,42.480000000000004,57.3,167.4,330.78,employment thousands SA
2004-08-01,93.4,137,42.72,59.2,168.8,337.6600000000001,employment thousands SA
2004-09-01,93.65,138,43.849999999999994,58.675000000000004,168.82500000000002,336.18999999999994,employment thousands SA
2004-10-01,93.8,139,42.580000000000005,57.35,169.0,335.52000000000004,employment thousands SA
2004-11-01,93.80000000000001,142,42.85000000000001,58.175,169.27499999999998,333.17999999999995,employment thousands SA
2004-12-01,94.1,142,43.91,58.900000000000006,169.625,333.50000000000006,employment thousands SA
2005-01-01,94.0,142,43.190000000000005,57.725,170.14999999999998,334.78,employment thousands SA
2005-02-01,92.2,143,43.32,57.05,168.5,335.34000000000003,employment thousands SA
2005-03-01,92.0,143,43.16,57.15,168.7,335.59999999999997,employment thousands SA
2005-04-01,91.4,144,43.72,56.349999999999994,169.29999999999998,336.58000000000004,employment thousands SA
2005-05-01,91.55000000000001,144,43.65,56.425,168.45,332.57000000000016,employment thousands SA
2005-06-01,93.0,143,44.120000000000005,57.349999999999994,169.1,336.82,employment thousands SA
2005-07-01,92.95,146,43.4,57.65,169.275,337.35,employment thousands SA
2005-08-01,92.6,148,43.37,57.25,168.925,337.49,employment thousands SA
2005-09-01,92.6,148,43.47,57.849999999999994,170.75,337.37,employment thousands SA
2005-10-01,92.44999999999999,150,43.76,58.05,170.375,338.03999999999996,employment thousands SA
2005-11-01,92.55,150,44.010000000000005,58.099999999999994,170.3,338.15999999999997,employment thousands SA
2005-12-01,92.1,151,44.4,57.900000000000006,170.8,337.5,employment thousands SA
2006-01-01,91.7,151,44.3,58.05,171.60000000000002,337.0,employment thousands SA
2006-02-01,91.5,151,44.4,58.25,171.85,337.0,employment thousands SA
2006-03-01,91.6,151,44.5,58.45,172.15,337.6,employment thousands SA
2006-04-01,92.95,150,45.21999999999999,58.650000000000006,172.55,338.63999999999993,employment thousands SA
2006-05-01,91.9,149,44.379999999999995,58.8,173.2,339.82000000000016,employment thousands SA
2006-06-01,92.19999999999999,150,44.830000000000005,58.849999999999994,173.0,339.06999999999994,employment thousands SA
2006-07-01,92.7,151,44.8,59.05,172.65,338.2,employment thousands SA
2006-08-01,90.94999999999999,152,44.56,58.3,172.89999999999998,337.87000000000006,employment thousands SA
2006-09-01,91.4,152,44.4,58.24999999999999,173.90000000000003,337.9100000000001,employment thousands SA
2006-10-01,91.8,152,44.56,58.224999999999994,173.25,337.2200000000001,employment thousands SA
2006-11-01,92.1,153,44.64,58.5,173.6,336.34000000000003,employment thousands SA
2006-12-01,92.4,153,44.800000000000004,58.4,173.4,336.0200000000001,employment thousands SA
2007-01-01,91.5,153,45.18,58.3,174.8,336.4200000000001,employment thousands SA
2007-02-01,91.5,153,45.019999999999996,58.5,174.3,335.82000000000016,employment thousands SA
2007-03-01,91.2,153,45.34,59.1,174.7,336.0000000000001,employment thousands SA
2007-04-01,91.1,153,45.32,58.6,174.5,336.2200000000001,employment thousands SA
2007-05-01,90.7,153,45.4,58.7,174.5,337.22000000000014,employment thousands SA
2007-06-01,90.8,154,45.230000000000004,58.625,174.60000000000002,338.39000000000016,employment thousands SA
2007-07-01,89.7,155,45.16,58.55,174.85,336.3399999999999,employment thousands SA
2007-08-01,90.35,156,45.15,58.575,175.20000000000002,334.7,employment thousands SA
2007-09-01,92.6,155,45.14,58.4,175.6,335.5799999999999,employment thousands SA
2007-10-01,91.8,155,45.16,58.7,175.9,336.3599999999999,employment thousands SA
2007-11-01,92.19999999999999,154,45.21,58.525,176.7,338.1000000000002,employment thousands SA
2007-12-01,91.7,155,45.44,58.65,176.25,336.91999999999996,employment thousands SA
2008-01-01,91.4,155,45.739999999999995,58.85,177.10000000000002,337.41999999999996,employment thousands SA
2008-02-01,88.7,155,45.62,58.8,176.45,337.5999999999999,employment thousands SA
2008-03-01,88.19999999999999,158,45.91,58.449999999999996,175.075,333.4100000000001,employment thousands SA
2008-04-01,86.30000000000001,158,45.64,58.39999999999999,175.02499999999998,332.5000000000001,employment thousands SA
2008-05-01,88.2,157,46.22,58.8,174.7,333.12000000000006,employment thousands SA
2008-06-01,87.1,159,46.2,58.65,174.5,330.8600000000002,employment thousands SA
2008-07-01,86.30000000000001,160,45.379999999999995,58.27499999999999,174.25,329.41999999999996,employment thousands SA
2008-08-01,86.4,161,45.5,58.1,173.8,328.3,employment thousands SA
2008-09-01,86.4,161,45.4,58.0,173.4,328.3,employment thousands SA
2008-10-01,85.1,161,45.2,57.2,172.8,326.1,employment thousands SA
2008-11-01,82.8,161,45.2,56.6,171.4,318.5,employment thousands SA
2008-12-01,81.8,163,45.0,56.2,171.1,321.34000000000003,employment thousands SA
2009-01-01,79.4,181,44.5,55.7,155.6,304.8,employment thousands SA
2009-02-01,77.6,183,44.5,55.5,153.9,299.78000000000014,employment thousands SA
2009-03-01,76.7,184,44.12,55.3,152.675,295.55000000000024,employment thousands SA
2009-04-01,76.2,185,43.08,55.0,151.8,292.67999999999995,employment thousands SA
2009-05-01,76.4,184,42.91,54.699999999999996,151.725,289.5700000000003,employment thousands SA
2009-06-01,76.0,184,42.4,54.2,151.75,288.0800000000002,employment thousands SA
2009-07-01,75.4,186,42.75,54.35000000000001,150.875,284.70000000000005,employment thousands SA
2009-08-01,75.30000000000001,186,42.599999999999994,54.325,149.29999999999998,284.35,employment thousands SA
2009-09-01,75.3,187,42.519999999999996,54.5,148.60000000000002,283.24,employment thousands SA
2009-10-01,75.15,186,42.25,54.650000000000006,149.325,283.65,employment thousands SA
2009-11-01,74.9,187,43.480000000000004,54.5,148.7,283.22,employment thousands SA
2009-12-01,75.0,187,42.260000000000005,54.35,149.05,281.66,employment thousands SA
2010-01-01,74.7,187,42.34,54.5,149.35000000000002,281.70000000000005,employment thousands SA
2010-02-01,74.8,188,42.32,54.3,148.6,281.65,employment thousands SA
2010-03-01,74.6,188,42.39,54.27499999999999,149.0,283.2,employment thousands SA
2010-04-01,74.80000000000001,188,42.28,54.550000000000004,149.20000000000002,282.82,employment thousands SA
2010-05-01,75.35,188,42.550000000000004,54.77499999999999,149.9,284.45000000000005,employment thousands SA
2010-06-01,74.6,188,42.480000000000004,54.699999999999996,149.75,284.31000000000006,employment thousands SA
2010-07-01,75.0,187,42.94,55.05,149.55,283.02000000000004,employment thousands SA
2010-08-01,74.75,188,42.209999999999994,54.675,150.45000000000002,283.23,employment thousands SA
2010-09-01,74.1,189,42.22,54.5,149.5,283.0,employment thousands SA
2010-10-01,74.5,189,42.279999999999994,54.3,150.4,283.28000000000003,employment thousands SA
2010-11-01,74.2,189,42.22,54.3,150.4,283.74,employment thousands SA
2010-12-01,74.2,189,41.78,54.4,150.3,284.72,employment thousands SA
2011-01-01,75.0,189,42.17999999999999,54.4,149.7,284.90000000000003,employment thousands SA
2011-02-01,75.0,188,42.209999999999994,54.62499999999999,150.47500000000002,284.40999999999997,employment thousands SA
2011-03-01,74.9,187,42.36,54.65,150.6,284.62,employment thousands SA
2011-04-01,75.1,188,42.4,54.475,149.6,285.27,employment thousands SA
2011-05-01,74.9,189,42.160000000000004,54.7,148.6,284.88,employment thousands SA
2011-06-01,75.0,189,42.06,54.9,147.3,285.54,employment thousands SA
2011-07-01,75.1,189,42.540000000000006,55.3,149.5,287.70000000000005,employment thousands SA
2011-08-01,75.2,189,42.279999999999994,55.5,150.7,287.32,employment thousands SA
2011-09-01,75.9,189,42.6,55.1,151.1,286.50000000000006,employment thousands SA
2011-10-01,75.2,189,42.4,55.2,150.9,284.74000000000007,employment thousands SA
2011-11-01,75.2,189,42.32,55.1,150.4,285.70000000000005,employment thousands SA
2011-12-01,75.1,189,42.839999999999996,54.8,151.2,286.68000000000006,employment thousands SA
