first_date,msa_count,series
2000-01-01,118,ZHVI
2000-05-01,1,ZHVI
2000-08-01,1,ZHVI
2000-12-01,1,ZHVI
2001-01-01,4,ZHVI
2001-05-01,1,ZHVI
2001-06-01,1,ZHVI
2001-10-01,1,ZHVI
2001-12-01,1,ZHVI
2002-04-01,6,ZHVI
2002-05-01,2,ZHVI
2002-06-01,1,ZHVI
2002-08-01,1,ZHVI
2003-01-01,1,ZHVI
2003-03-01,1,ZHVI
2003-04-01,1,ZHVI
2003-05-01,1,ZHVI
2003-07-01,1,ZHVI
2003-08-01,2,ZHVI
2003-09-01,1,ZHVI
2004-01-01,2,ZHVI
2004-05-01,1,ZHVI
2004-08-01,1,ZHVI
2004-11-01,2,ZHVI
2004-12-01,1,ZHVI
2005-02-01,1,ZHVI
2005-04-01,1,ZHVI
2005-05-01,2,ZHVI
2005-06-01,1,ZHVI
2005-07-01,1,ZHVI
2005-08-01,2,ZHVI
2005-09-01,1,ZHVI
2006-07-01,1,ZHVI
2006-08-01,1,ZHVI
2007-06-01,1,ZHVI
2007-07-01,1,ZHVI
2007-08-01,2,ZHVI
2008-01-01,1,ZHVI
2008-02-01,1,ZHVI
2008-03-01,1,ZHVI
2008-04-01,1,ZHVI
2008-06-01,1,ZHVI
2008-07-01,1,ZHVI
2008-11-01,1,ZHVI
2008-12-01,2,ZHVI
2009-01-01,17,ZHVI
2009-02-01,2,ZHVI
2009-03-01,1,ZHVI
2009-07-01,1,ZHVI
2009-09-01,1,ZHVI
2009-11-01,1,ZHVI
2010-09-01,1,ZHVI
2012-01-01,1,ZHVI
2014-09-01,1,ZHVI
2016-02-01,2,ZHVI
2004-01-01,191,permits SA
2009-01-01,2,permits SA
2014-01-01,11,permits SA
2016-01-01,1,permits SA
2018-01-01,1,permits SA
1990-01-01,205,employment SA
2000-01-01,1,employment SA
