cbsa_code,msa_title,date,variable,value,diagnostic,threshold,source_file,candidate_panels_affected
10180,"Abilene, TX",2026-06-01,employment,81.3,BLS preliminary observation,preliminary_flag==1,BLS CES,
10420,"Akron, OH",2008-06-01,permits units SA,-0.806348903752198,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
10420,"Akron, OH",2019-06-01,permits units SA,-5.33613318991828,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
10420,"Akron, OH",2026-06-01,employment,338.2,BLS preliminary observation,preliminary_flag==1,BLS CES,
10500,"Albany, GA",2008-06-01,permits units SA,-0.596893527392317,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
10500,"Albany, GA",2026-06-01,employment,59.3,BLS preliminary observation,preliminary_flag==1,BLS CES,
10540,"Albany, OR",2026-06-01,employment,47.1,BLS preliminary observation,preliminary_flag==1,BLS CES,
10740,"Albuquerque, NM",2026-06-01,employment,417.5,BLS preliminary observation,preliminary_flag==1,BLS CES,
10780,"Alexandria, LA",2026-06-01,employment,62.3,BLS preliminary observation,preliminary_flag==1,BLS CES,
11020,"Altoona, PA",2004-06-01,permits units SA,-0.61175890076295,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2004-08-01,permits units SA,-0.489380783250771,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2004-10-01,permits units SA,-0.45358778308921,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2005-10-01,permits units SA,-0.116113093745574,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2005-12-01,permits units SA,-0.145176187625431,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2006-06-01,permits units SA,-0.473635132840921,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2006-08-01,permits units SA,-0.295446620007644,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2006-10-01,permits units SA,-0.359219735983912,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2007-10-01,permits units SA,-0.156269106728004,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2007-12-01,permits units SA,-0.134132363715759,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2008-02-01,permits units SA,-0.0148207855070604,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2008-04-01,permits units SA,-0.0437906954024078,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2008-06-01,permits units SA,-0.421323589091712,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2008-08-01,permits units SA,-0.103454063723012,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2008-10-01,permits units SA,-0.32185566621786,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2008-12-01,permits units SA,-0.0505500842641273,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
11020,"Altoona, PA",2010-02-01,permits units SA,-0.203220531507511,negative_seasonally_adjusted_permit_value,X-13 additive SA value < 0,processed permits SA,
