scope,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
all_matched_observations,ZHVI all-homes SA,49661,206,270,206959.3408816437,107261.69219714169,49348.99715611694,81385.4400455738,100621.14668941493,111992.17140913727,135642.68744315061,175987.57821416573,243293.66824832256,339224.6636434497,413706.5387426554,611692.6294293285,893691.3277472038,0,0
all_matched_observations,permits units SA,49661,206,270,101038.37795151593,100973.02876465271,-90.125404575521,-0.14594091056956257,4.21891125190139,11.2786196879011,47.4602574847743,2025.58693700584,202103.0,202405.0,202506.0,202604.0,202606.0,0,0
all_matched_observations,employment thousands SA,49661,206,270,141.9113308229798,158.5337700985573,16.6,27.5,37.8,43.2,56.1,81.2,166.4,319.4,419.7,939.5,1221.9,0,0
all_vintage:at_least_120m,ZHVI all-homes SA,24250,194,125,249632.35307464912,121213.4191337879,76816.6438767935,95789.99384669955,116927.11947956451,136269.45858214857,167054.79597138305,218798.09537086816,294608.1984089582,403953.353587672,489978.04036733153,695411.8951748594,893691.3277472038,0,0
all_vintage:at_least_120m,permits units SA,24250,194,125,100430.09114817722,101108.44994131161,-78.5609617717921,0.967589251191951,8.430070214316782,15.58614049921775,56.550338075743724,1122.05635120214,202311.0,202506.0,202512.0,202605.0,202606.0,0,0
all_vintage:at_least_120m,employment thousands SA,24250,194,125,144.34007422680412,164.17022026085738,19.2,26.149,36.7,42.8,56.3,83.2,169.4,327.4,434.3,1058.031999999995,1221.9,0,0
all_vintage:at_least_180m,ZHVI all-homes SA,31668,174,182,221446.92554350526,111917.86174539497,49348.99715611694,81987.3190442216,103709.33793889332,117791.19751076598,144738.5739815547,192107.18516460643,263802.38522638613,366090.6812436399,443173.0262854736,614051.211232428,870668.4947126737,0,0
all_vintage:at_least_180m,permits units SA,31668,174,182,101179.46619292701,101050.69563741739,-90.125404575521,-0.057139687703779425,6.4005293799482725,14.301511202985582,57.757753968330526,102554.47608268443,202209.0,202412.0,202509.0,202605.0,202606.0,0,0
all_vintage:at_least_180m,employment thousands SA,31668,174,182,149.02555260831124,164.74520496770725,19.2,30.799999999999997,38.6,46.9,58.5,88.4,173.7,329.3599999999999,430.19999999999993,1030.7329999999997,1221.9,0,0
all_vintage:at_least_240m,ZHVI all-homes SA,29520,123,240,216705.21645655236,112025.79363414785,70773.62398823531,87590.17595994608,105923.32956623191,116222.13739381831,140016.57876129425,185029.5539125629,256023.57568244252,363493.3904909477,438431.39364447136,626670.8088416797,870668.4947126737,0,0
all_vintage:at_least_240m,permits units SA,29520,123,240,101126.2928951,100982.24835325686,-90.125404575521,-0.1290952979136627,5.149997161340649,13.70581165034565,65.5303642019458,102451.97608268443,202106.25,202406.1,202506.05,202604.0,202606.0,0,0
all_vintage:at_least_240m,employment thousands SA,29520,123,240,174.32290311653117,181.67477071201367,27.3,33.9,41.1,51.1,62.2,110.8,200.1,373.9,513.9,1116.9720000000016,1221.9,0,0
all_vintage:longest_feasible_common_window,ZHVI all-homes SA,26460,98,270,214545.14760028478,112706.27429920538,70773.62398823531,84187.94328400063,104373.12401285187,114534.73375581409,136704.30774196313,182800.90726148442,254462.52382958744,365634.964845175,438766.0516378496,622354.5687812195,870668.4947126737,0,0
all_vintage:longest_feasible_common_window,permits units SA,26460,98,270,101094.42434571606,100952.10620929186,-90.125404575521,-0.08228537056677623,4.840906354946867,13.826959373673379,70.1277262576963,102400.47608268443,202011.0,202403.09999999998,202505.0,202604.0,202606.0,0,0
all_vintage:longest_feasible_common_window,employment thousands SA,26460,98,270,184.40889266817837,188.44650107656983,27.3,32.8,39.6,53.6,67.1,126.7,213.3,378.6,519.3,1159.346,1221.9,0,0
all_vintage:pareto_01_200401_270m_98n,ZHVI all-homes SA,26460,98,270,214545.14760028478,112706.27429920538,70773.62398823531,84187.94328400063,104373.12401285187,114534.73375581409,136704.30774196313,182800.90726148442,254462.52382958744,365634.964845175,438766.0516378496,622354.5687812195,870668.4947126737,0,0
all_vintage:pareto_01_200401_270m_98n,permits units SA,26460,98,270,101094.42434571606,100952.10620929186,-90.125404575521,-0.08228537056677623,4.840906354946867,13.826959373673379,70.1277262576963,102400.47608268443,202011.0,202403.09999999998,202505.0,202604.0,202606.0,0,0
all_vintage:pareto_01_200401_270m_98n,employment thousands SA,26460,98,270,184.40889266817837,188.44650107656983,27.3,32.8,39.6,53.6,67.1,126.7,213.3,378.6,519.3,1159.346,1221.9,0,0
all_vintage:pareto_02_200405_266m_99n,ZHVI all-homes SA,26334,99,266,217369.44996028295,115320.59437392087,70773.62398823531,84501.28172885247,105155.62348829716,115110.399358354,137624.91006627903,185078.5583352395,258125.69757265228,372440.94123974675,444392.03713622014,649143.9259708523,870668.4947126737,0,0
all_vintage:pareto_02_200405_266m_99n,permits units SA,26334,99,266,101099.0819143001,100955.56729161207,-90.125404575521,-0.08161658607323609,4.99246681323733,14.12504238445069,71.65255519799825,102401.47608268443,202012.0,202404.0,202505.0,202604.0,202606.0,0,0
all_vintage:pareto_02_200405_266m_99n,employment thousands SA,26334,99,266,183.6367053998633,187.92887974334573,27.3,32.8,39.66500000000001,53.89999999999999,67.8,125.6,211.0,377.6700000000001,518.4,1158.667,1221.9,0,0
all_vintage:pareto_03_200408_263m_102n,ZHVI all-homes SA,26826,102,263,218846.67216771672,114884.18767554748,70773.62398823531,84921.39876650293,106005.1888613985,115811.69600686264,138889.63014146147,186960.99427920248,259810.3570438723,374547.4467692841,442665.87372175127,642507.609381039,870668.4947126737,0,0
all_vintage:pareto_03_200408_263m_102n,permits units SA,26826,102,263,100721.04048876006,100957.31342850806,-90.125404575521,-0.0793183606850814,5.1224866579156245,14.166020965384948,70.39495153131185,1487.93165432374,202101.0,202404.0,202505.0,202604.0,202606.0,0,0
all_vintage:pareto_03_200408_263m_102n,employment thousands SA,26826,102,263,185.86105643778424,191.73111967503334,27.3,32.9,40.0,52.7,66.0,123.9,213.77500000000003,392.5,561.45,1153.975,1221.9,0,0
all_vintage:pareto_04_200409_262m_103n,ZHVI all-homes SA,26986,103,262,218702.04301440163,114584.92533765125,70773.62398823531,85028.61280368417,106203.5576452244,115969.80088800419,139009.1105206294,186925.20702800385,259784.68348138497,373660.92664667673,442204.72180507414,641295.9941364939,870668.4947126737,0,0
all_vintage:pareto_04_200409_262m_103n,permits units SA,26986,103,262,101104.74605601004,100958.18868845962,-90.125404575521,-0.0602225722007463,5.3147480121087725,14.52640479136235,71.5886318295752,102402.47608268443,202101.0,202404.0,202505.0,202604.0,202606.0,0,0
all_vintage:pareto_04_200409_262m_103n,employment thousands SA,26986,103,262,184.63525531757207,191.2785036815526,27.3,32.9,40.3,52.3,64.9,122.1,211.1,390.8,557.075,1152.9,1221.9,0,0
all_vintage:pareto_05_200410_261m_104n,ZHVI all-homes SA,27144,104,261,218759.70699861256,114227.76799671749,70773.62398823531,85268.31802062181,106469.68452705423,116173.47008558846,139477.81098654505,186960.99427920248,259815.66188538005,372707.65799119306,441449.73499229987,640583.0252736516,870668.4947126737,0,0
all_vintage:pareto_05_200410_261m_104n,permits units SA,27144,104,261,100719.4536959616,100960.16059309624,-90.125404575521,-0.05899989945826858,5.368685386234739,14.50770207595974,70.1030230837932,1468.58480910401,202101.0,202404.0,202505.0,202604.0,202606.0,0,0
all_vintage:pareto_05_200410_261m_104n,employment thousands SA,27144,104,261,183.43058871205423,190.8273505436625,27.3,33.0,40.3,52.3,64.0,120.6,208.925,388.87000000000006,550.8,1150.6259999999995,1221.9,0,0
all_vintage:pareto_06_200411_260m_106n,ZHVI all-homes SA,27560,106,260,217572.4853536011,113814.20515214957,70773.62398823531,85589.34740696597,105554.45027612415,115716.83965039317,138781.52983646205,185924.21154575516,258459.38140819885,370842.8330234253,439826.7004650827,638644.1979715205,870668.4947126737,0,0
all_vintage:pareto_06_200411_260m_106n,permits units SA,27560,106,260,101105.68488136369,100961.45632504385,-90.125404575521,-0.07107199533224282,5.077449004964437,14.12419819416411,70.74924341998306,102402.97608268443,202101.25,202404.09999999998,202505.05000000002,202604.0,202606.0,0,0
all_vintage:pareto_06_200411_260m_106n,employment thousands SA,27560,106,260,182.2806748911466,189.48820878763684,27.3,33.159000000000006,40.5,52.1,63.5,120.6,206.125,383.9100000000002,541.9249999999996,1146.864,1221.9,0,0
all_vintage:pareto_07_200412_259m_107n,ZHVI all-homes SA,27713,107,259,216817.00663412278,113788.08555090241,70773.62398823531,85698.34461764898,105323.91088604237,115143.96824206118,137894.66274358265,185147.27581646093,257884.83304020585,369821.9288237479,439136.4603010174,638395.3216483154,870668.4947126737,0,0
all_vintage:pareto_07_200412_259m_107n,permits units SA,27713,107,259,100717.35188288294,100963.51616135523,-90.125404575521,-0.11530089836720973,4.488845343090128,13.23512209195708,69.1052603925455,1455.09702002221,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
all_vintage:pareto_07_200412_259m_107n,employment thousands SA,27713,107,259,181.14209576732944,189.03906309422953,27.3,33.2,40.7,52.0,62.9,118.2,204.5,381.9799999999999,537.9399999999998,1145.7520000000004,1221.9,0,0
all_vintage:pareto_08_200501_258m_108n,ZHVI all-homes SA,27864,108,258,216287.2349668554,113682.68998156098,70773.62398823531,85776.62756313609,104903.88591974952,114601.6870225141,137517.89350811995,184803.45790425193,256897.2654694664,369156.40519131836,438605.9955780271,638329.6668089139,870668.4947126737,0,0
all_vintage:pareto_08_200501_258m_108n,permits units SA,27864,108,258,101106.77613663048,100964.64980832001,-90.125404575521,-0.08923591572155537,4.694965077944632,13.32337603118551,68.56347154593607,102403.47608268443,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
all_vintage:pareto_08_200501_258m_108n,employment thousands SA,27864,108,258,179.8912539477462,188.68258313444343,27.3,33.3,40.0,51.0,62.5,116.2,202.9,380.2400000000001,536.0,1144.974,1221.9,0,0
all_vintage:pareto_09_200502_257m_110n,ZHVI all-homes SA,28270,110,257,216643.80138932008,114344.5533331387,70773.62398823531,86051.39517998887,104022.93166535918,114192.62124801916,137292.14172158611,184992.4739224601,257389.34621957064,370197.4967889329,441518.6265669486,637768.7368500447,870668.4947126737,0,0
all_vintage:pareto_09_200502_257m_110n,permits units SA,28270,110,257,100715.2385448354,100966.8980186926,-90.125404575521,-0.08231847598750587,4.816954373688624,13.37741319231417,66.552529158455,1441.85591205231,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
all_vintage:pareto_09_200502_257m_110n,employment thousands SA,28270,110,257,177.7831057658295,187.67288503472807,27.3,33.4,40.3,51.3,62.1,112.6,200.975,377.7100000000002,531.5199999999998,1141.0300000000038,1221.9,0,0
all_vintage:pareto_10_200505_254m_111n,ZHVI all-homes SA,28194,111,254,217085.01897569056,114203.70728027725,70773.62398823531,86441.68319934703,104372.50488002275,114625.56319557477,137906.50269045238,185371.4680795526,257924.32145131545,370131.76812237565,441563.494916931,637977.1029527645,870668.4947126737,0,0
all_vintage:pareto_10_200505_254m_111n,permits units SA,28194,111,254,101110.22783303361,100969.96601032138,-90.125404575521,-0.06905178526672782,4.985318409337558,13.757240100053362,66.68760901914148,102404.47608268443,202103.0,202405.0,202506.0,202604.0,202606.0,0,0
all_vintage:pareto_10_200505_254m_111n,employment thousands SA,28194,111,254,177.40114208696886,187.03890306470174,27.3,33.4,40.3,51.39999999999999,62.3,114.0,199.6,376.77000000000004,528.7399999999994,1137.707,1221.9,0,0
all_vintage:pareto_11_200506_253m_113n,ZHVI all-homes SA,28589,113,253,217302.62551283423,113582.49069864006,70773.62398823531,86751.3563146103,104774.68440364646,115006.83820497875,138797.87428345912,185789.12661694558,258127.80041394252,368044.0804592335,440061.0519243585,636525.6157519438,870668.4947126737,0,0
