cbsa_code,msa_title,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
10180,"Abilene, TX",ZHVI all-homes SA,210,1,210,150089.0990880632,36330.64146488138,107975.80126230145,108361.01418389019,109854.05845685085,111828.62763473616,114130.39873103822,138544.86429727005,189725.15142677727,205425.6624638865,206627.8494798194,217060.41201236116,219823.08893102405,0,0
10180,"Abilene, TX",permits units SA,210,1,210,101115.34210478367,101295.61085143173,6.3000457454505,14.922028968809329,22.51854151976091,27.512913625311562,41.087357550114525,101069.28086193188,202201.75,202409.09999999998,202507.55,202603.91,202606.0,0,0
10180,"Abilene, TX",employment thousands SA,210,1,210,70.88,5.080733850471813,65.1,65.309,65.4,65.7,66.82499999999999,68.6,74.1,79.8,80.4,81.1,81.3,0,0
10420,"Akron, OH",ZHVI all-homes SA,270,1,270,152827.4659143464,38198.61231349112,114409.22370683734,114798.61484608165,115615.47146435684,119568.6787714664,126687.50097081273,135760.74325653043,169891.2553576711,220915.5573181398,234655.79073052615,243434.67032753705,245311.66111953312,0,0
10420,"Akron, OH",permits units SA,270,1,270,101061.0387303404,101171.03633897111,-5.33613318991828,22.380565332756294,36.976361700987816,41.964360490634405,56.25023760579163,101439.5626818832,202010.75,202403.1,202504.55,202603.31,202606.0,0,0
10420,"Akron, OH",employment thousands SA,270,1,270,332.4511111111111,9.094619240660373,288.0,312.342,315.645,318.69,325.42499999999995,336.9,339.5,340.30000000000007,341.055,342.331,342.7,0,0
10500,"Albany, GA",ZHVI all-homes SA,269,1,269,118931.90467733513,23779.41918508011,93668.4663976408,93894.999329885,96120.90422116927,97733.36480377428,100027.13754413293,111100.64244437813,123069.16845816444,165339.74186221894,169053.17922070716,170894.59172582586,171590.413804254,0,0
10500,"Albany, GA",permits units SA,269,1,269,100660.25227880204,101200.31121280375,-0.596893527392317,4.888307644228029,8.696369855900365,12.2135047889551,18.2744705338024,250.430596107477,202011.0,202403.2,202504.6,202603.32,202606.0,0,0
10500,"Albany, GA",employment thousands SA,269,1,269,61.82565055762081,1.573252419652311,55.7,58.80800000000001,59.7,60.2,60.7,61.5,62.9,64.32000000000001,64.6,64.832,64.9,0,0
10540,"Albany, OR",ZHVI all-homes SA,150,1,150,298095.87860702036,91872.01972374164,161026.5846496323,162293.2195644863,167347.1456265137,173057.81966198742,210807.7736537541,283331.19908626995,397796.38814708224,412953.3208094169,414501.0322847904,417044.1200675386,417529.9196980035,0,0
10540,"Albany, OR",permits units SA,150,1,150,101165.53862562204,101467.77741501344,7.39955686708454,10.221113146256691,15.142047790951992,18.89927706439522,26.08098537449755,101067.82899168215,202304.75,202503.1,202510.55,202604.51,202606.0,0,0
10540,"Albany, OR",employment thousands SA,150,1,150,45.635999999999996,2.260078991314212,40.4,40.449,41.4,41.7,44.025,46.6,47.6,47.9,48.1,48.2,48.2,0,0
10740,"Albuquerque, NM",ZHVI all-homes SA,270,1,270,218710.0455596521,63085.41113538521,149096.78267226802,150654.94209549317,157990.5349572596,167524.9407280403,173610.6645857435,191425.3989859317,239842.3405822877,339442.87281346554,349928.8990484298,353581.6658519964,354146.417204339,0,0
