year,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
2004,ZHVI all-homes SA,1664,143,12,155925.75571879937,71279.87972623986,75259.16352983448,78226.20809251623,96466.05780506511,99489.84318709446,108610.62019788432,132638.69895286713,176935.22327133946,238922.54000080694,279236.1750779911,484100.75442679855,568449.3627869446,0,0
2004,permits units SA,1664,143,12,100782.15310417509,100719.52140142847,-22.2714070164313,-0.4739855763231924,1.3820703680419424,5.801282740651915,34.849871954615594,100986.82791230554,201506.0,201508.0,201509.0,201509.0,201509.0,0,0
2004,employment thousands SA,1664,143,12,151.70594951923078,161.86058307394217,16.6,31.863,39.6,42.6,57.975,93.3,169.0,339.06000000000034,402.68499999999995,936.1109999999999,1167.6,0,0
2005,ZHVI all-homes SA,1752,151,12,172765.6313011308,87280.76906226802,79200.10221610287,83525.76984933417,100072.34583097932,104048.74224361949,114480.6167391172,146230.2367579719,199465.8433397884,280232.5206300549,314496.72660464153,584104.9049590763,698407.3577725199,0,0
2005,permits units SA,1752,151,12,100462.34396399178,100743.44201832356,-15.5080243241457,-0.13035400974670389,1.4389938935698416,7.07654045182827,38.41356167759238,883.4694838506196,201512.0,201602.0,201603.0,201603.0,201603.0,0,0
2005,employment thousands SA,1752,151,12,150.6518835616438,160.854568178269,17.6,32.6,40.1,43.4,57.5,92.2,169.7,337.46000000000004,417.3599999999999,940.4350000000001,1166.2,0,0
2006,ZHVI all-homes SA,1815,153,12,185837.33562168968,96638.84171716812,83464.33445549845,86451.82591798839,104286.92298185822,109220.29110370853,119979.26907852336,155227.01345977804,220938.69428375445,310736.1148869304,337283.5631435525,644491.625408273,721642.8646421131,0,0
2006,permits units SA,1815,153,12,100776.94860395572,100766.32480679265,-11.1547871734087,-0.4855272726558542,1.2916329046535202,6.071988162867988,35.725458350572296,1231.57693639893,201606.0,201608.0,201609.0,201609.0,201609.0,0,0
2006,employment thousands SA,1815,153,12,151.53741046831956,160.73912128091104,17.7,32.9,42.1,44.5,58.5,91.9,173.0,338.56000000000006,426.04999999999995,949.2719999999999,1174.4,0,0
2007,ZHVI all-homes SA,1849,156,12,187518.94821861034,90250.76053309927,87225.48106092364,89816.37141620806,104942.85587306332,111362.19187039783,124319.5889585452,160442.65026116822,229037.10052641868,304017.10864825913,344448.16612894577,614634.6997687869,697158.668385249,0,0
2007,permits units SA,1849,156,12,100695.63434680195,100792.52995810885,-4.42787465149549,-0.011777740295004018,1.8322668500126205,6.946777591885418,40.3830407291924,1253.93785163472,201612.0,201702.0,201703.0,201703.0,201703.0,0,0
2007,employment thousands SA,1849,156,12,152.0031368307193,161.41502975244222,18.1,33.096000000000004,40.879999999999995,45.080000000000005,58.5,91.5,174.9,340.47999999999996,434.17999999999995,960.808,1181.8,0,0
2008,ZHVI all-homes SA,1909,163,12,177981.98694451645,74076.25872150331,78553.23945835115,88535.96745933234,97650.94849784796,110876.53622912259,127282.15529701962,158067.68544878194,209130.7805995162,270065.91800232127,308226.7453320873,481044.1393366374,590269.2689842236,0,0
2008,permits units SA,1909,163,12,100621.01389001076,100812.55768074728,-13.9192999786068,-0.463963184501282,0.9627001184388048,6.283681968105706,38.6198433289769,1258.59759348666,201706.0,201708.0,201709.0,201709.0,201709.0,0,0
2008,employment thousands SA,1909,163,12,149.0732844421163,159.37286416130655,18.6,32.2,40.24,45.39999999999999,58.2,86.4,174.7,331.0400000000001,421.3599999999966,957.172,1183.4,0,0
2009,ZHVI all-homes SA,2220,188,12,160954.97906225218,57434.42813207973,68289.45547389243,78867.07213083057,91297.77546119234,107056.7449728538,122345.22200538508,148325.18578349997,184192.6869966865,235612.52262908715,268918.4127590755,375629.5951647764,506489.2940228731,0,0
2009,permits units SA,2220,188,12,100818.92644864357,100840.46529603025,-3.35310759028944,-0.061245697897719185,1.923620099868803,7.129508345796489,38.203615179081375,1463.3602594213799,201712.0,201802.0,201803.0,201803.0,201803.0,0,0
2009,employment thousands SA,2220,188,12,132.41945945945946,145.30166776385533,18.8,30.676000000000002,37.7,42.690000000000005,54.8,75.95,151.525,289.82000000000033,376.5349999999998,913.3199999999999,1166.0,0,0
2010,ZHVI all-homes SA,2258,189,12,156043.89755142637,53535.823588202074,58272.4168069872,77405.913738191,88628.30385350151,103894.71002860318,123128.14681362172,146051.70123595052,175729.79365949065,220417.5506614069,261844.7036020413,374374.85682550934,421810.6145111459,0,0
2010,permits units SA,2258,189,12,100844.93164218446,100862.86894917488,-65.3049756942702,-0.7439447508755606,1.7428517470787783,7.082363826390996,36.356282787690674,1453.774556674215,201806.0,201808.0,201809.0,201809.0,201809.0,0,0
2010,employment thousands SA,2258,189,12,130.44681133746678,143.96423204129704,19.6,29.0,37.385,42.2,54.4,74.7,150.275,283.8,369.015,914.443,1166.1,0,0
