start_date,end_date,T_months,N_complete_msas,NT,NT_over_N_plus_T,number_excluded_for_ZHVI,number_excluded_for_permits_SA,number_excluded_for_employment_SA,number_excluded_for_geographic_ambiguity,number_containing_preliminary_BLS_observations,number_affected_by_X13_warnings,complete_cbsa_codes
2004-01-01,2026-06-01,270,98,26460,71.90217391304348,96,25,0,679,98,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;30700;31340;31540;32780;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420
2004-05-01,2026-06-01,266,99,26334,72.14794520547945,94,25,0,679,99,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;30700;31340;31540;32780;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420
2004-08-01,2026-06-01,263,102,26826,73.4958904109589,91,25,0,679,102,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420
2004-09-01,2026-06-01,262,103,26986,73.93424657534247,90,25,0,679,103,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2004-10-01,2026-06-01,261,104,27144,74.36712328767123,89,25,0,679,104,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2004-11-01,2026-06-01,260,106,27560,75.30054644808743,86,25,0,679,106,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2004-12-01,2026-06-01,259,107,27713,75.71857923497268,85,25,0,679,107,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-01-01,2026-06-01,258,108,27864,76.1311475409836,84,25,0,679,108,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-02-01,2026-06-01,257,110,28270,77.02997275204359,82,25,0,679,110,0,10420;10500;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-05-01,2026-06-01,254,111,28194,77.24383561643836,80,25,0,679,111,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
