start_date,end_date,T_months,N_complete_msas,NT,NT_over_N_plus_T,number_excluded_for_ZHVI,number_excluded_for_permits_SA,number_excluded_for_employment_SA,number_excluded_for_geographic_ambiguity,number_containing_preliminary_BLS_observations,number_affected_by_X13_warnings,complete_cbsa_codes
2004-01-01,2026-05-01,269,98,26362,71.83106267029973,96,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;30700;31340;31540;32780;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420
2004-05-01,2026-05-01,265,99,26235,72.07417582417582,94,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;30700;31340;31540;32780;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420
2004-08-01,2026-05-01,262,102,26724,73.41758241758242,91,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420
2004-09-01,2026-05-01,261,103,26883,73.8543956043956,90,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2004-10-01,2026-05-01,260,104,27040,74.28571428571429,89,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2004-11-01,2026-05-01,259,106,27454,75.21643835616439,86,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2004-12-01,2026-05-01,258,107,27606,75.63287671232877,85,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-01-01,2026-05-01,257,108,27756,76.04383561643836,84,25,0,679,0,0,10420;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-02-01,2026-05-01,256,110,28160,76.93989071038251,82,25,0,679,0,0,10420;10500;10740;11020;11460;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-05-01,2026-05-01,253,111,28083,77.1510989010989,80,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
