panel_type,candidate_id,start_date,end_date,N,T,NT,NT_over_N_plus_T,preliminary_bls_count,negative_permit_count,negative_permit_share,x13_warning_msa_count,missing_primary_values,pareto_dominated,highlight
all_vintage,at_least_120m,2016-02-01,2026-06-01,194,125,24250,76.01880877742947,194,137,0.005649484536082474,0,0,1,
all_vintage,at_least_180m,2011-05-01,2026-06-01,174,182,31668,88.95505617977528,174,334,0.010546924340027788,0,0,1,largest N with T >= 180
all_vintage,at_least_240m,2006-07-01,2026-06-01,123,240,29520,81.32231404958678,123,345,0.011686991869918699,0,0,1,
all_vintage,longest_feasible_common_window,2004-01-01,2026-06-01,98,270,26460,71.90217391304348,98,308,0.01164021164021164,0,0,1,maximum T
all_vintage,pareto_01_200401_270m_98n,2004-01-01,2026-06-01,98,270,26460,71.90217391304348,98,308,0.01164021164021164,0,0,0,
all_vintage,pareto_02_200405_266m_99n,2004-05-01,2026-06-01,99,266,26334,72.14794520547945,99,304,0.011544011544011544,0,0,0,
all_vintage,pareto_03_200408_263m_102n,2004-08-01,2026-06-01,102,263,26826,73.4958904109589,102,306,0.011406844106463879,0,0,0,longest panel with N >= 100
all_vintage,pareto_04_200409_262m_103n,2004-09-01,2026-06-01,103,262,26986,73.93424657534247,103,298,0.01104276291410361,0,0,0,
all_vintage,pareto_05_200410_261m_104n,2004-10-01,2026-06-01,104,261,27144,74.36712328767123,104,298,0.01097848511641615,0,0,0,
all_vintage,pareto_06_200411_260m_106n,2004-11-01,2026-06-01,106,260,27560,75.30054644808743,106,310,0.011248185776487663,0,0,0,
all_vintage,pareto_07_200412_259m_107n,2004-12-01,2026-06-01,107,259,27713,75.71857923497268,107,329,0.01187168476888103,0,0,0,
all_vintage,pareto_08_200501_258m_108n,2005-01-01,2026-06-01,108,258,27864,76.1311475409836,108,324,0.011627906976744186,0,0,0,
all_vintage,pareto_09_200502_257m_110n,2005-02-01,2026-06-01,110,257,28270,77.02997275204359,110,326,0.011531659002476123,0,0,0,
all_vintage,pareto_10_200505_254m_111n,2005-05-01,2026-06-01,111,254,28194,77.24383561643836,111,318,0.011278995530964035,0,0,0,
all_vintage,pareto_11_200506_253m_113n,2005-06-01,2026-06-01,113,253,28589,78.1120218579235,113,352,0.012312427856868027,0,0,0,
all_vintage,pareto_12_200507_252m_116n,2005-07-01,2026-06-01,116,252,29232,79.43478260869566,116,356,0.012178434592227696,0,0,0,
all_vintage,pareto_13_200508_251m_118n,2005-08-01,2026-06-01,118,251,29618,80.26558265582656,118,356,0.012019717739212642,0,0,0,
all_vintage,pareto_14_200509_250m_120n,2005-09-01,2026-06-01,120,250,30000,81.08108108108108,120,356,0.011866666666666666,0,0,0,
all_vintage,pareto_15_200510_249m_121n,2005-10-01,2026-06-01,121,249,30129,81.42972972972973,121,356,0.011815858475223207,0,0,0,
