row_type,date,cbsa_code,bls_series_id,employment_thousands_sa,preliminary_count,latest_fully_final_month
observation,2026-06-01,10180,SMS48101800000000001,81.3,,2026-05-01
observation,2026-06-01,10420,SMS39104200000000001,338.2,,2026-05-01
observation,2026-06-01,10500,SMS13105000000000001,59.3,,2026-05-01
observation,2026-06-01,10540,SMS41105400000000001,47.1,,2026-05-01
observation,2026-06-01,10740,SMS35107400000000001,417.5,,2026-05-01
observation,2026-06-01,10780,SMS22107800000000001,62.3,,2026-05-01
observation,2026-06-01,11020,SMS42110200000000001,61.6,,2026-05-01
observation,2026-06-01,11100,SMS48111000000000001,131.3,,2026-05-01
observation,2026-06-01,11180,SMS19111800000000001,61.7,,2026-05-01
observation,2026-06-01,11260,SMS02112600000000001,182.1,,2026-05-01
observation,2026-06-01,11460,SMS26114600000000001,232.2,,2026-05-01
observation,2026-06-01,11540,SMS55115400000000001,128.4,,2026-05-01
observation,2026-06-01,11700,SMS37117000000000001,187.8,,2026-05-01
observation,2026-06-01,12620,SMS23126200000000001,75.3,,2026-05-01
observation,2026-06-01,12700,SMS25127000000000001,99.2,,2026-05-01
observation,2026-06-01,12940,SMS22129400000000001,437.8,,2026-05-01
observation,2026-06-01,12980,SMS26129800000000001,59.1,,2026-05-01
observation,2026-06-01,13020,SMS26130200000000001,35.5,,2026-05-01
observation,2026-06-01,13220,SMS54132200000000001,43.5,,2026-05-01
observation,2026-06-01,13380,SMS53133800000000001,96.2,,2026-05-01
observation,2026-06-01,13460,SMS41134600000000001,110.6,,2026-05-01
observation,2026-06-01,13740,SMS30137400000000001,95.0,,2026-05-01
observation,2026-06-01,13780,SMS36137800000000001,101.3,,2026-05-01
observation,2026-06-01,13820,SMS01138200000000001,570.4,,2026-05-01
observation,2026-06-01,13900,SMS38139000000000001,73.9,,2026-05-01
observation,2026-06-01,14010,SMS17140100000000001,92.2,,2026-05-01
observation,2026-06-01,14020,SMS18140200000000001,79.2,,2026-05-01
observation,2026-06-01,14260,SMS16142600000000001,415.9,,2026-05-01
observation,2026-06-01,14500,SMS08145000000000001,203.9,,2026-05-01
observation,2026-06-01,14540,SMS21145400000000001,84.6,,2026-05-01
observation,2026-06-01,15500,SMS37155000000000001,68.4,,2026-05-01
observation,2026-06-01,16180,SMS32161800000000001,32.5,,2026-05-01
observation,2026-06-01,16220,SMS56162200000000001,40.5,,2026-05-01
observation,2026-06-01,16300,SMS19163000000000001,137.1,,2026-05-01
observation,2026-06-01,16540,SMS42165400000000001,64.3,,2026-05-01
observation,2026-06-01,16620,SMS54166200000000001,105.1,,2026-05-01
observation,2026-06-01,16820,SMS51168200000000001,127.4,,2026-05-01
observation,2026-06-01,16940,SMS56169400000000001,48.6,,2026-05-01
observation,2026-06-01,17020,SMS06170200000000001,77.5,,2026-05-01
observation,2026-06-01,17420,SMS47174200000000001,46.0,,2026-05-01
observation,2026-06-01,17660,SMS16176600000000001,76.8,,2026-05-01
observation,2026-06-01,17820,SMS08178200000000001,330.2,,2026-05-01
observation,2026-06-01,17860,SMS29178600000000001,119.6,,2026-05-01
observation,2026-06-01,17900,SMS45179000000000001,436.2,,2026-05-01
observation,2026-06-01,18020,SMS18180200000000001,51.0,,2026-05-01
observation,2026-06-01,18140,SMS39181400000000001,1191.5,,2026-05-01
observation,2026-06-01,18580,SMS48185800000000001,202.8,,2026-05-01
observation,2026-06-01,18700,SMS41187000000000001,44.3,,2026-05-01
observation,2026-06-01,19140,SMS13191400000000001,66.3,,2026-05-01
observation,2026-06-01,19460,SMS01194600000000001,63.8,,2026-05-01
observation,2026-06-01,19500,SMS17195000000000001,47.3,,2026-05-01
observation,2026-06-01,20020,SMS01200200000000001,63.8,,2026-05-01
observation,2026-06-01,20100,SMS10201000000000001,73.4,,2026-05-01
observation,2026-06-01,20220,SMS19202200000000001,58.8,,2026-05-01
observation,2026-06-01,20740,SMS55207400000000001,90.3,,2026-05-01
observation,2026-06-01,20940,SMS06209400000000001,61.0,,2026-05-01
observation,2026-06-01,21060,SMS21210600000000001,52.5,,2026-05-01
observation,2026-06-01,21300,SMS36213000000000001,34.7,,2026-05-01
observation,2026-06-01,21340,SMS48213400000000001,365.3,,2026-05-01
observation,2026-06-01,21420,SMS40214200000000001,24.4,,2026-05-01
observation,2026-06-01,21500,SMS42215000000000001,126.8,,2026-05-01
observation,2026-06-01,21780,SMS18217800000000001,139.4,,2026-05-01
observation,2026-06-01,22140,SMS35221400000000001,49.1,,2026-05-01
observation,2026-06-01,22180,SMS37221800000000001,134.0,,2026-05-01
observation,2026-06-01,22380,SMS04223800000000001,70.1,,2026-05-01
observation,2026-06-01,22420,SMS26224200000000001,144.1,,2026-05-01
observation,2026-06-01,22500,SMS45225000000000001,96.2,,2026-05-01
observation,2026-06-01,22540,SMS55225400000000001,46.7,,2026-05-01
observation,2026-06-01,23060,SMS18230600000000001,239.4,,2026-05-01
observation,2026-06-01,23420,SMS06234200000000001,450.9,,2026-05-01
observation,2026-06-01,23460,SMS01234600000000001,35.1,,2026-05-01
observation,2026-06-01,23540,SMS12235400000000001,166.5,,2026-05-01
observation,2026-06-01,23580,SMS13235800000000001,109.3,,2026-05-01
observation,2026-06-01,23900,SMS42239000000000001,33.9,,2026-05-01
observation,2026-06-01,24020,SMS36240200000000001,52.7,,2026-05-01
observation,2026-06-01,24140,SMS37241400000000001,41.0,,2026-05-01
observation,2026-06-01,24260,SMS31242600000000001,40.8,,2026-05-01
observation,2026-06-01,24300,SMS08243000000000001,68.2,,2026-05-01
observation,2026-06-01,24500,SMS30245000000000001,36.4,,2026-05-01
observation,2026-06-01,24540,SMS08245400000000001,122.9,,2026-05-01
observation,2026-06-01,24580,SMS55245800000000001,183.1,,2026-05-01
observation,2026-06-01,24780,SMS37247800000000001,85.7,,2026-05-01
observation,2026-06-01,25220,SMS22252200000000001,49.7,,2026-05-01
observation,2026-06-01,25500,SMS51255000000000001,73.0,,2026-05-01
observation,2026-06-01,25620,SMS28256200000000001,67.7,,2026-05-01
observation,2026-06-01,25980,SMS13259800000000001,21.8,,2026-05-01
observation,2026-06-01,26140,SMS12261400000000001,36.9,,2026-05-01
observation,2026-06-01,26300,SMS05263000000000001,40.6,,2026-05-01
observation,2026-06-01,26620,SMS01266200000000001,295.9,,2026-05-01
observation,2026-06-01,26820,SMS16268200000000001,83.0,,2026-05-01
observation,2026-06-01,26980,SMS19269800000000001,104.2,,2026-05-01
observation,2026-06-01,27060,SMS36270600000000001,52.1,,2026-05-01
observation,2026-06-01,27100,SMS26271000000000001,58.9,,2026-05-01
observation,2026-06-01,27140,SMS28271400000000001,300.4,,2026-05-01
observation,2026-06-01,27180,SMS47271800000000001,89.8,,2026-05-01
observation,2026-06-01,27260,SMS12272600000000001,805.1,,2026-05-01
observation,2026-06-01,27340,SMS37273400000000001,54.5,,2026-05-01
observation,2026-06-01,27620,SMS29276200000000001,83.8,,2026-05-01
observation,2026-06-01,27740,SMS47277400000000001,87.3,,2026-05-01
observation,2026-06-01,27780,SMS42277800000000001,50.2,,2026-05-01
observation,2026-06-01,27860,SMS05278600000000001,64.7,,2026-05-01
observation,2026-06-01,28100,SMS17281000000000001,42.5,,2026-05-01
observation,2026-06-01,28740,SMS36287400000000001,61.7,,2026-05-01
observation,2026-06-01,28940,SMS47289400000000001,457.0,,2026-05-01
observation,2026-06-01,29020,SMS18290200000000001,35.7,,2026-05-01
observation,2026-06-01,29180,SMS22291800000000001,189.4,,2026-05-01
observation,2026-06-01,29340,SMS22293400000000001,106.5,,2026-05-01
observation,2026-06-01,29540,SMS42295400000000001,271.1,,2026-05-01
observation,2026-06-01,29700,SMS48297000000000001,116.4,,2026-05-01
observation,2026-06-01,29740,SMS35297400000000001,84.1,,2026-05-01
observation,2026-06-01,29940,SMS20299400000000001,54.7,,2026-05-01
observation,2026-06-01,30020,SMS40300200000000001,43.8,,2026-05-01
observation,2026-06-01,30140,SMS42301400000000001,58.4,,2026-05-01
observation,2026-06-01,30620,SMS39306200000000001,52.1,,2026-05-01
observation,2026-06-01,30700,SMS31307000000000001,199.1,,2026-05-01
observation,2026-06-01,30980,SMS48309800000000001,123.1,,2026-05-01
observation,2026-06-01,31180,SMS48311800000000001,176.8,,2026-05-01
observation,2026-06-01,31340,SMS51313400000000001,104.9,,2026-05-01
observation,2026-06-01,31540,SMS55315400000000001,429.0,,2026-05-01
observation,2026-06-01,31740,SMS20317400000000001,55.5,,2026-05-01
observation,2026-06-01,31860,SMS27318600000000001,58.9,,2026-05-01
observation,2026-06-01,31900,SMS39319000000000001,50.9,,2026-05-01
observation,2026-06-01,32780,SMS41327800000000001,90.8,,2026-05-01
observation,2026-06-01,32900,SMS06329000000000001,78.2,,2026-05-01
observation,2026-06-01,33220,SMS26332200000000001,39.6,,2026-05-01
observation,2026-06-01,33260,SMS48332600000000001,128.6,,2026-05-01
observation,2026-06-01,33540,SMS30335400000000001,69.3,,2026-05-01
observation,2026-06-01,33660,SMS01336600000000001,189.1,,2026-05-01
observation,2026-06-01,33700,SMS06337000000000001,191.8,,2026-05-01
observation,2026-06-01,33740,SMS22337400000000001,93.1,,2026-05-01
observation,2026-06-01,33780,SMS26337800000000001,43.5,,2026-05-01
observation,2026-06-01,33860,SMS01338600000000001,184.5,,2026-05-01
observation,2026-06-01,34060,SMS54340600000000001,74.0,,2026-05-01
observation,2026-06-01,34100,SMS47341000000000001,49.5,,2026-05-01
observation,2026-06-01,34620,SMS18346200000000001,48.5,,2026-05-01
observation,2026-06-01,34900,SMS06349000000000001,75.6,,2026-05-01
observation,2026-06-01,35300,SMS09353000000000001,290.1,,2026-05-01
observation,2026-06-01,35660,SMS26356600000000001,64.2,,2026-05-01
observation,2026-06-01,36100,SMS12361000000000001,126.6,,2026-05-01
