Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202406,101,10180,2,Abilene  TX ,24,24,6706,10,20,3105,0,0,0,0,0,0,23,23,6615,10,20,3105,0,0,0,0,0,0
202406,101,45020,5,Sweetwater  TX ,2,2,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,104,10580,2,Albany-Schenectady-Troy  NY ,93,93,33591,1,2,350,1,3,524,3,22,2209,47,47,17828,1,2,350,0,0,0,1,12,1220
202406,104,11220,5,Amsterdam  NY ,5,5,1907,0,0,0,0,0,0,0,0,0,1,1,450,0,0,0,0,0,0,0,0,0
202406,104,24020,2,Glens Falls  NY ,21,21,7123,2,4,674,0,0,0,0,0,0,20,20,6832,2,4,674,0,0,0,0,0,0
202406,104,24100,5,Gloversville  NY ,6,6,2388,0,0,0,0,0,0,1,5,1333,2,2,1050,0,0,0,0,0,0,0,0,0
202406,104,26460,5,Hudson  NY ,11,11,6957,0,0,0,0,0,0,0,0,0,4,4,3115,0,0,0,0,0,0,0,0,0
202406,105,10740,2,Albuquerque  NM ,216,216,43530,0,0,0,0,0,0,2,44,1800,191,191,36109,0,0,0,0,0,0,2,44,1800
202406,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,105,31060,5,Los Alamos  NM ,3,3,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,105,42140,2,Santa Fe  NM ,48,48,16762,0,0,0,0,0,0,0,0,0,48,48,16762,0,0,0,0,0,0,0,0,0
202406,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,125,125,32371,1,2,337,1,3,535,8,45,2000,82,82,22012,1,2,337,1,3,535,8,45,2000
202406,106,20700,5,East Stroudsburg  PA ,29,29,10404,0,0,0,0,0,0,0,0,0,16,16,6075,0,0,0,0,0,0,0,0,0
202406,107,11020,2,Altoona  PA ,6,6,1818,0,0,0,1,3,285,0,0,0,4,4,1080,0,0,0,0,0,0,0,0,0
202406,107,26500,5,Huntingdon  PA ,8,8,2077,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0
202406,108,11100,2,Amarillo  TX ,37,37,10547,0,0,0,2,6,876,0,0,0,34,34,9778,0,0,0,2,6,876,0,0,0
202406,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,118,11540,2,Appleton  WI ,63,63,33925,2,4,982,0,0,0,0,0,0,56,56,31150,1,2,625,0,0,0,0,0,0
202406,118,36780,2,Oshkosh-Neenah  WI ,13,13,5028,1,2,360,0,0,0,1,40,5500,10,10,3997,1,2,360,0,0,0,1,40,5500
202406,120,11700,2,Asheville  NC ,278,278,102266,0,0,0,0,0,0,2,160,31054,228,228,89239,0,0,0,0,0,0,1,153,29450
202406,120,14820,5,Brevard  NC ,18,18,10635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,120,48200,5,Waynesville  NC ,30,30,9246,0,0,0,0,0,0,0,0,0,30,30,9246,0,0,0,0,0,0,0,0,0
202406,122,12020,2,Athens-Clarke County  GA ,65,65,21382,0,0,0,0,0,0,11,305,35458,28,28,10819,0,0,0,0,0,0,11,305,35458
202406,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,2088,2088,598979,9,18,3370,12,44,8444,57,427,67414,1917,1917,551326,9,18,3370,11,41,7855,54,390,60521
202406,122,15660,5,Calhoun  GA ,27,27,5660,0,0,0,9,36,2871,0,0,0,16,16,2610,0,0,0,9,36,2871,0,0,0
202406,122,16340,5,Cedartown  GA ,7,7,2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,122,18460,5,Cornelia  GA ,35,35,8742,0,0,0,0,0,0,1,5,1476,17,17,2949,0,0,0,0,0,0,0,0,0
202406,122,23580,2,Gainesville  GA ,81,81,18357,3,6,510,0,0,0,15,456,65245,22,22,5072,3,6,510,0,0,0,14,451,64843
202406,122,27600,5,Jefferson  GA ,147,147,46083,0,0,0,0,0,0,1,5,1068,119,119,38208,0,0,0,0,0,0,0,0,0
202406,122,29300,5,LaGrange  GA-AL ,39,39,12693,0,0,0,0,0,0,0,0,0,32,32,11286,0,0,0,0,0,0,0,0,0
202406,122,40660,2,Rome  GA ,41,41,6681,0,0,0,0,0,0,0,0,0,41,41,6681,0,0,0,0,0,0,0,0,0
202406,122,45580,5,Thomaston  GA ,11,11,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,132,12940,2,Baton Rouge  LA ,284,284,68023,0,0,0,0,0,0,1,18,1841,50,50,9462,0,0,0,0,0,0,0,0,0
202406,132,25220,2,Hammond  LA ,62,62,10961,0,0,0,0,0,0,1,34,3237,0,0,0,0,0,0,0,0,0,0,0,0
202406,142,13820,2,Birmingham  AL ,277,277,79685,1,2,1182,0,0,0,2,22,3484,212,212,59016,0,0,0,0,0,0,0,0,0
202406,142,18980,5,Cullman  AL ,5,5,3070,0,0,0,0,0,0,0,0,0,4,4,2930,0,0,0,0,0,0,0,0,0
202406,142,45180,5,Talladega-Sylacauga  AL ,29,29,3848,0,0,0,0,0,0,0,0,0,29,29,3848,0,0,0,0,0,0,0,0,0
202406,144,13260,5,Bedford  IN ,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
