Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200803,102,18700, ,Corvallis  OR ,5,5,1744,0,0,0,0,0,0,0,0,0,5,5,1744,0,0,0,0,0,0,0,0,0
200803,104,10580, ,Albany-Schenectady-Troy  NY ,43,43,13453,2,4,600,0,0,0,0,0,0,30,30,10188,2,4,600,0,0,0,0,0,0
200803,104,24020, ,Glens Falls  NY ,14,14,2914,0,0,0,1,3,77,1,5,313,4,4,815,0,0,0,0,0,0,0,0,0
200803,112,11180, ,Ames  IA ,9,9,3007,0,0,0,0,0,0,0,0,0,9,9,3007,0,0,0,0,0,0,0,0,0
200803,118,11540, ,Appleton  WI ,22,22,5485,0,0,0,0,0,0,1,16,640,22,22,5485,0,0,0,0,0,0,1,16,640
200803,118,36780, ,Oshkosh-Neenah  WI ,21,21,5315,1,2,210,0,0,0,0,0,0,21,21,5315,1,2,210,0,0,0,0,0,0
200803,120,11700, ,Asheville  NC ,132,132,30452,0,0,0,1,3,500,2,12,1618,35,35,8638,0,0,0,0,0,0,0,0,0
200803,122,12060,C,Atlanta-Sandy Springs-Marietta  GA ,1555,1555,248263,3,6,678,4,13,1368,13,250,26487,1307,1307,207787,3,6,678,4,13,1368,7,136,15463
200803,122,23580, ,Gainesville  GA ,35,35,4955,0,0,0,0,0,0,0,0,0,35,35,4955,0,0,0,0,0,0,0,0,0
200803,132,12940, ,Baton Rouge  LA ,217,217,28262,0,0,0,0,0,0,12,170,15296,78,78,10271,0,0,0,0,0,0,0,0,0
200803,140,13460,C,Bend  OR ,62,62,15829,0,0,0,3,10,1513,0,0,0,62,62,15829,0,0,0,3,10,1513,0,0,0
200803,142,13820,C,Birmingham-Hoover  AL ,251,251,42651,0,0,0,0,0,0,7,104,5820,186,186,31589,0,0,0,0,0,0,4,40,1200
200803,148,14460,C,Boston-Cambridge-Quincy  MA-NH ,255,255,57319,11,22,2609,8,26,3297,26,540,41480,147,147,36456,6,12,1672,7,23,3068,13,433,30362
200803,148,31700, ,Manchester-Nashua  NH ,36,36,6275,1,2,177,0,0,0,1,5,493,19,19,3329,0,0,0,0,0,0,0,0,0
200803,148,49340, ,Worcester  MA ,37,37,7681,1,2,235,1,3,207,0,0,0,17,17,3913,1,2,235,0,0,0,0,0,0
200803,154,15180, ,Brownsville-Harlingen  TX ,106,106,12346,4,8,545,0,0,0,0,0,0,106,106,12346,4,8,545,0,0,0,0,0,0
200803,160,15380, ,Buffalo-Niagara Falls  NY ,48,48,10795,0,0,0,0,0,0,0,0,0,45,45,10188,0,0,0,0,0,0,0,0,0
200803,172,16740,C,Charlotte-Gastonia-Concord  NC-SC ,662,662,131588,2,4,369,0,0,0,16,168,16668,662,662,131588,2,4,369,0,0,0,16,168,16668
200803,174,16860, ,Chattanooga  TN-GA ,121,121,18106,1,2,93,0,0,0,1,15,1465,94,94,14282,0,0,0,0,0,0,0,0,0
200803,174,17420, ,Cleveland  TN ,26,26,3713,1,2,70,2,8,460,0,0,0,26,26,3713,1,2,70,2,8,460,0,0,0
200803,176,16980,C,Chicago-Naperville-Joliet  IL-IN-WI ,718,718,174326,8,16,1716,13,40,4460,24,650,49295,531,531,131150,5,10,930,12,37,4014,16,597,44284
200803,176,28100, ,Kankakee-Bradley  IL ,3,3,458,0,0,0,0,0,0,0,0,0,3,3,458,0,0,0,0,0,0,0,0,0
200803,176,33140, ,Michigan City-La Porte  IN ,9,9,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,178,17140,C,Cincinnati-Middletown  OH-KY-IN ,339,339,64560,5,10,2057,2,7,830,9,56,4578,268,268,51001,4,8,1949,1,4,609,4,29,3059
200803,184,10420, ,Akron  OH ,59,59,11800,0,0,0,1,3,69,0,0,0,52,52,11103,0,0,0,0,0,0,0,0,0
200803,184,17460,C,Cleveland-Elyria-Mentor  OH ,198,198,36051,0,0,0,0,0,0,1,5,219,137,137,24359,0,0,0,0,0,0,0,0,0
200803,192,17900,C,Columbia  SC ,299,299,37119,0,0,0,2,6,525,3,55,3001,102,102,13481,0,0,0,0,0,0,0,0,0
200803,194,12220,C,Auburn-Opelika  AL ,77,77,14009,0,0,0,0,0,0,1,15,1266,43,43,8043,0,0,0,0,0,0,0,0,0
200803,194,17980, ,Columbus  GA-AL ,53,53,8074,0,0,0,0,0,0,2,20,1543,25,25,5113,0,0,0,0,0,0,0,0,0
200803,198,18140,C,Columbus  OH ,170,170,35870,1,2,490,1,3,81,2,151,4559,133,133,27832,1,2,490,0,0,0,1,144,4310
200803,204,18580, ,Corpus Christi  TX ,95,95,10993,0,0,0,0,0,0,9,216,6276,93,93,10768,0,0,0,0,0,0,9,216,6276
200803,206,19100,C,Dallas-Fort Worth-Arlington  TX ,1612,1612,343830,22,44,3926,2,8,4012,33,1640,155467,1461,1461,311045,20,40,3624,2,8,4012,30,1585,152110
200803,212,19380, ,Dayton  OH ,70,70,13435,0,0,0,0,0,0,1,5,745,64,64,12427,0,0,0,0,0,0,0,0,0
200803,212,44220, ,Springfield  OH ,7,7,1247,0,0,0,0,0,0,0,0,0,7,7,1247,0,0,0,0,0,0,0,0,0
200803,216,14500, ,Boulder  CO ,15,15,5544,0,0,0,0,0,0,2,10,824,6,6,3372,0,0,0,0,0,0,0,0,0
200803,216,19740,C,Denver-Aurora  CO ,394,394,92638,0,0,0,0,0,0,4,337,36139,346,346,83094,0,0,0,0,0,0,3,331,35617
