Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9902,0040,9999,,Abilene  TX MSA ,20,20,2421,0,0,0,1,3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,0120,9999,,Albany  GA MSA ,76,76,6315,0,0,0,1,4,254,1,5,278,31,31,3437,0,0,0,1,4,254,0,0,0
9902,0160,9999,,Albany-Schenectady-Troy  NY MSA ,84,84,11689,1,2,36,0,0,0,2,11,437,73,73,10624,0,0,0,0,0,0,0,0,0
9902,0200,9999,,Albuquerque  NM MSA ,148,148,13903,0,0,0,2,8,433,0,0,0,51,51,7840,0,0,0,2,8,433,0,0,0
9902,0220,9999,,Alexandria  LA MSA ,28,28,3087,0,0,0,0,0,0,0,0,0,6,6,1015,0,0,0,0,0,0,0,0,0
9902,0240,9999,,Allentown-Bethlehem-Easton  PA MSA ,148,148,15694,0,0,0,4,15,964,0,0,0,138,138,14434,0,0,0,3,12,879,0,0,0
9902,0280,9999,,Altoona  PA MSA ,3,3,248,0,0,0,0,0,0,0,0,0,3,3,248,0,0,0,0,0,0,0,0,0
9902,0320,9999,,Amarillo  TX MSA ,40,40,5338,0,0,0,0,0,0,0,0,0,40,40,5338,0,0,0,0,0,0,0,0,0
9902,0380,9999,,Anchorage  AK MSA ,30,30,4001,0,0,0,0,0,0,3,174,10203,30,30,4001,0,0,0,0,0,0,3,174,10203
9902,0450,9999,,Anniston  AL MSA ,15,15,1232,0,0,0,0,0,0,1,7,321,7,7,461,0,0,0,0,0,0,0,0,0
9902,0460,9999,,Appleton-Oshkosh-Neenah  WI MSA ,96,96,13336,7,14,935,0,0,0,0,0,0,90,90,12383,7,14,935,0,0,0,0,0,0
9902,0480,9999,,Asheville  NC MSA ,86,86,11697,1,2,132,0,0,0,2,12,450,86,86,11697,1,2,132,0,0,0,2,12,450
9902,0500,9999,,Athens  GA MSA ,81,81,9022,3,6,192,0,0,0,11,352,13636,68,68,7705,3,6,192,0,0,0,11,352,13636
9902,0520,9999,,Atlanta  GA MSA ,4014,4014,451915,9,18,899,3,9,150,32,682,39320,3899,3899,440267,8,16,797,3,9,150,32,682,39320
9902,0600,9999,,Augusta-Aiken  GA-SC MSA ,223,223,20441,0,0,0,0,0,0,0,0,0,214,214,19683,0,0,0,0,0,0,0,0,0
9902,0640,9999,,Austin-San Marcos  TX MSA ,615,615,64100,4,8,539,3,12,682,31,530,26019,614,614,64000,4,8,539,3,12,682,31,530,26019
9902,0680,9999,,Bakersfield  CA MSA ,191,191,20866,0,0,0,0,0,0,4,44,2567,76,76,9239,0,0,0,0,0,0,3,37,2277
9902,0730,9999,,Bangor  ME MSA ,4,4,408,0,0,0,0,0,0,0,0,0,1,1,150,0,0,0,0,0,0,0,0,0
9902,0740,9999,,Barnstable-Yarmouth  MA MSA ,81,81,12847,0,0,0,2,6,854,2,12,594,81,81,12847,0,0,0,2,6,854,2,12,594
9902,0760,9999,,Baton Rouge  LA MSA ,103,103,7868,0,0,0,0,0,0,0,0,0,103,103,7868,0,0,0,0,0,0,0,0,0
9902,0840,9999,,Beaumont-Port Arthur  TX MSA ,35,35,4515,0,0,0,0,0,0,0,0,0,35,35,4515,0,0,0,0,0,0,0,0,0
9902,0860,9999,,Bellingham  WA MSA ,71,71,9655,1,2,208,2,8,470,2,11,550,35,35,5052,0,0,0,1,4,240,0,0,0
9902,0870,9999,,Benton Harbor  MI MSA ,5,5,607,0,0,0,0,0,0,0,0,0,1,1,196,0,0,0,0,0,0,0,0,0
9902,0880,9999,,Billings  MT MSA ,19,19,2214,1,2,131,1,4,200,0,0,0,19,19,2214,1,2,131,1,4,200,0,0,0
9902,0920,9999,,Biloxi-Gulfport-Pascagoula  MS MSA ,183,183,16516,2,4,110,0,0,0,0,0,0,176,176,15920,2,4,110,0,0,0,0,0,0
9902,0960,9999,,Binghamton  NY MSA ,4,4,566,0,0,0,0,0,0,1,42,800,3,3,385,0,0,0,0,0,0,1,42,800
9902,1000,9999,,Birmingham  AL MSA ,313,313,38861,0,0,0,0,0,0,2,10,228,215,215,28975,0,0,0,0,0,0,0,0,0
9902,1010,9999,,Bismarck  ND MSA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,1020,9999,,Bloomington  IN MSA ,39,39,4831,4,8,586,2,8,549,0,0,0,39,39,4831,4,8,586,2,8,549,0,0,0
9902,1040,9999,,Bloomington-Normal  IL MSA ,57,57,6055,0,0,0,0,0,0,0,0,0,57,57,6055,0,0,0,0,0,0,0,0,0
9902,1080,9999,,Boise City  ID MSA ,312,312,39941,2,4,285,0,0,0,1,7,537,190,190,26662,2,4,285,0,0,0,0,0,0
