agency,dataset,official_source_page,url,local_path,status,size,sha256,seasonal_adjustment_status,error
U.S. Bureau of Labor Statistics,LAUS smoothed seasonally adjusted metro Table 1,https://www.bls.gov/lau/metrossa.htm,https://www.bls.gov/web/metro/ssamatab1.txt,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\bls_laus\ssamatab1.txt,accepted-existing,29196525,83424ee6ed54ad7b9b58e1e67879233f714c9967ab180f948378eecff6bb5b2b,official smoothed seasonally adjusted; no local adjustment,
U.S. Bureau of Labor Statistics,CES/SAE area metadata,https://www.bls.gov/sae/,https://download.bls.gov/pub/time.series/SM/sm.area,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\bls_ces\sm.area,accepted-existing,12644,357930421d05d7883c8ddb7657d0046e55e10e48840de2cb63e106d2d66e5649,metadata-defined,
U.S. Bureau of Labor Statistics,CES/SAE seasonal metadata,https://www.bls.gov/sae/,https://download.bls.gov/pub/time.series/SM/sm.seasonal,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\bls_ces\sm.seasonal,accepted-existing,79,801baddf3511b8d9b03c0dbd1a9d9365c668b911a2228c6c594ea8a684ace5d7,metadata-defined,
U.S. Bureau of Labor Statistics,CES/SAE industry metadata,https://www.bls.gov/sae/,https://download.bls.gov/pub/time.series/SM/sm.industry,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\bls_ces\sm.industry,accepted-existing,14684,63562d3efc25f54bc6163fc4282df1abb7c0653d24add398a685f3b4e836dbb9,metadata-defined,
U.S. Bureau of Labor Statistics,CES/SAE data-type metadata,https://www.bls.gov/sae/,https://download.bls.gov/pub/time.series/SM/sm.data_type,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\bls_ces\sm.data_type,missing-local-cache,,,metadata-defined,missing D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\raw\bls_ces\sm.data_type
U.S. Bureau of Labor Statistics,CES/SAE series metadata,https://www.bls.gov/sae/,https://download.bls.gov/pub/time.series/SM/sm.series,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\bls_ces\sm.series,accepted-existing,1880196,ec75c6c5e296bd392a492225f3d4b1ef0c6166db7589d8a914f9a0a51bfaf46f,metadata-defined,
U.S. Bureau of Labor Statistics,CES/SAE total-private current data,https://www.bls.gov/sae/,https://download.bls.gov/pub/time.series/SM/sm.data.56.TotalPrivate.Current,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\bls_ces\sm.data.56.TotalPrivate.Current,missing-local-cache,,,metadata-defined,missing D:\Programming\Dynamic Paper-dlrhcs_replication\data\zillow\raw\bls_ces\sm.data.56.TotalPrivate.Current
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2401c.txt,copied-from-repo-official-cache,88064,1385ea3bcded8385effae59f91b9fcddd4a88b0f3397a6c29bffda9825c4c05f,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2402c.txt,copied-from-repo-official-cache,88477,02f7ac54bc504acf3185b7e1784f94b404f9fc9d963665df554cdffab859ec16,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2403c.txt,copied-from-repo-official-cache,89053,5f9a3754b29e0df40fa6eaeeaff4893b28c3b8969e748bde14e956f00393c586,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2404c.txt,copied-from-repo-official-cache,89418,7bc4adf5095353d8ac5994be7a08d83061444dd4d4ec7b5aaf7f435b33e793b7,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2405c.txt,copied-from-repo-official-cache,89672,b8228b4bc8b427ef1bf8350522ad948544832f01ae94ffbc2d85e9fc98df7426,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2406c.txt,copied-from-repo-official-cache,89202,5918292ac2f765e6a3100fec03ed9baf6accccb80d61eed25bc949780afb50f4,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2407c.txt,copied-from-repo-official-cache,89578,19bbc79b72f2300d4acf432e2f2fea39dad32cec23ed44bae4aa3cc60c2913c6,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2408c.txt,copied-from-repo-official-cache,89853,d14b174a813fcfb07a18b446076acfb7450eb98cc584b8ad2662544b4b93b820,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2409c.txt,copied-from-repo-official-cache,89179,c3e27d984981f2346b6326652c69299849f929f8c1c3a83fa636ce351204d62f,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2410c.txt,copied-from-repo-official-cache,89577,71a68a933b2f4a97e58c9c32b613f8e64bd9b6662ccbb3f5107cc8b6c1e04920,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2411c.txt,copied-from-repo-official-cache,88723,5867fdf0d5f5e6f02f6da2e2c8ef57d2b40f75c023b51c66b86019e357da0faf,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2412c.txt,copied-from-repo-official-cache,88445,73fca0e560cd4c3a2295fedd9e3daeeaaefc4d5d15d907c8fad7aac8b8316113,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2501c.txt,copied-from-repo-official-cache,88260,c7f4441804672361c3be38e2f1eb2beb2dc3cf1b8db0fc430b17e9ae263e23a8,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2502c.txt,copied-from-repo-official-cache,88318,5540c5a89383a8e7c8e200540a186ab6fab3c8943304e408b272688e18439be2,not seasonally adjusted,
