variable,cbsa_code,area_title,x13_mode,x13_spec_id,x13_status,returncode,reused_existing_x13_output,n_observed,segment_start,segment_end,x13_transformation,x13_x11_mode,warning_or_error,warning_excerpt,outlier_excerpt,model_diagnostics_excerpt
ces_hours,10180,"Abilene, TX",additive_level,ces_hours_additive_level_10180_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,10180,"Abilene, TX",log_additive,ces_hours_log_additive_10180_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,10380,,,,segment_too_short,,,21,,,,,,,,
ces_hours,10420,"Akron, OH",additive_level,ces_hours_additive_level_10420_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,10420,"Akron, OH",log_additive,ces_hours_log_additive_10420_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,10500,"Albany, GA",additive_level,ces_hours_additive_level_10500_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,10500,"Albany, GA",log_additive,ces_hours_log_additive_10500_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,10500,,,,segment_too_short,,,6,,,,,,,,
ces_hours,10540,,,,segment_too_short,,,72,,,,,,,,
ces_hours,10580,"Albany-Schenectady-Troy, NY",additive_level,ces_hours_additive_level_10580_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,10580,"Albany-Schenectady-Troy, NY",log_additive,ces_hours_log_additive_10580_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,10740,"Albuquerque, NM",additive_level,ces_hours_additive_level_10740_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,10740,"Albuquerque, NM",log_additive,ces_hours_log_additive_10740_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,10780,"Alexandria, LA",additive_level,ces_hours_additive_level_10780_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,10780,"Alexandria, LA",log_additive,ces_hours_log_additive_10780_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,10780,,,,segment_too_short,,,6,,,,,,,,
ces_hours,10900,"Allentown-Bethlehem-Easton, PA-NJ",additive_level,ces_hours_additive_level_10900_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,10900,"Allentown-Bethlehem-Easton, PA-NJ",log_additive,ces_hours_log_additive_10900_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,11020,"Altoona, PA",additive_level,ces_hours_additive_level_11020_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,11020,"Altoona, PA",log_additive,ces_hours_log_additive_11020_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,11100,"Amarillo, TX",additive_level,ces_hours_additive_level_11100_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,11100,"Amarillo, TX",log_additive,ces_hours_log_additive_11100_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,log,add,0,,,"
"
ces_hours,11180,"Ames, IA",additive_level,ces_hours_additive_level_11180_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,11180,"Ames, IA",log_additive,ces_hours_log_additive_11180_200701_201612,failed:0,0,0,120,2007-01-01,2016-12-01,log,add,1,"  Storing any program error messages into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.err
 ERROR: Additive seasonal adjustment will not be performed when
  Program error(s) halt execution for D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.spc
 Check error file D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.err",,"
 X-13ARIMA-SEATS Seasonal Adjustment Program
 Version Number 1.1 Build 62
 Execution began  Jul 29, 2026  08.54.55 

  Reading input spec file from D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.spc
  Storing any program output into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.out
  Storing any program error messages into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.err
 
  
 ERROR: Additive seasonal adjustment will not be performed when
        preadjustment factors are derived from a REGARIMA model 
        for transformed data.
  
        Check the values for the power or function arguments of the 
        transform spec and mode of the x11 spec.
  Program error(s) halt execution for D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.spc

 Check error file D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11180_200701_201612.err

"
ces_hours,11180,,,,segment_too_short,,,6,,,,,,,,
ces_hours,11200,,,,segment_too_short,,,72,,,,,,,,
ces_hours,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",additive_level,ces_hours_additive_level_11244_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",log_additive,ces_hours_log_additive_11244_200701_201612,failed:0,0,0,120,2007-01-01,2016-12-01,log,add,1,"  Storing any program error messages into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.err
 ERROR: Additive seasonal adjustment will not be performed when
  Program error(s) halt execution for D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.spc
 Check error file D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.err",,"
 X-13ARIMA-SEATS Seasonal Adjustment Program
 Version Number 1.1 Build 62
 Execution began  Jul 29, 2026  08.54.55 

  Reading input spec file from D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.spc
  Storing any program output into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.out
  Storing any program error messages into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.err
 
  
 ERROR: Additive seasonal adjustment will not be performed when
        preadjustment factors are derived from a REGARIMA model 
        for transformed data.
  
        Check the values for the power or function arguments of the 
        transform spec and mode of the x11 spec.
  Program error(s) halt execution for D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.spc

 Check error file D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11244_200701_201612.err

"
ces_hours,11244,,,,segment_too_short,,,6,,,,,,,,
ces_hours,11260,"Anchorage, AK",additive_level,ces_hours_additive_level_11260_200701_201612,ok,0,1,120,2007-01-01,2016-12-01,none,add,0,,,"
"
ces_hours,11260,"Anchorage, AK",log_additive,ces_hours_log_additive_11260_200701_201612,failed:0,0,0,120,2007-01-01,2016-12-01,log,add,1,"  Storing any program error messages into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.err
 ERROR: Additive seasonal adjustment will not be performed when
  Program error(s) halt execution for D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.spc
 Check error file D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.err",,"
 X-13ARIMA-SEATS Seasonal Adjustment Program
 Version Number 1.1 Build 62
 Execution began  Jul 29, 2026  08.54.55 

  Reading input spec file from D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.spc
  Storing any program output into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.out
  Storing any program error messages into D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.err
 
  
 ERROR: Additive seasonal adjustment will not be performed when
        preadjustment factors are derived from a REGARIMA model 
        for transformed data.
  
        Check the values for the power or function arguments of the 
        transform spec and mode of the x11 spec.
  Program error(s) halt execution for D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.spc

 Check error file D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\x13_work\ces_hours_log_additive_11260_200701_201612.err

"
ces_hours,11260,,,,segment_too_short,,,6,,,,,,,,
