DGP,N,T,q_T,r_N,h_N,J_min,realized_J,retained_nonvalidation,retained_total
DGP 1,50,50,2,0,3,10,10,0.815466,0.7339194
DGP 1,100,100,2,0,4,10,10,0.8127820333333333,0.73150383
DGP 1,200,200,2,0,5,10,10,0.8113803888888889,0.73024235
DGP 1,400,400,2,0,7,10,10,0.8106968527777778,0.7296271674999999
DGP 2,50,50,2,0,3,10,10,0.815466,0.7339194
DGP 2,100,100,2,2,4,10,21,0.5143971243845035,0.48990300476190474
DGP 2,200,200,2,2,5,10,23,0.5411746469652358,0.5176454
DGP 2,400,400,2,2,7,10,26,0.5795820188795359,0.5572904028846153
DGP 3,50,50,2,0,3,10,10,0.815466,0.7339194
DGP 3,100,100,2,2,4,10,21,0.5143971243845035,0.48990300476190474
DGP 3,200,200,2,2,5,10,23,0.5411746469652358,0.5176454
DGP 3,400,400,2,2,7,10,26,0.5795820188795359,0.5572904028846153
