DGP,N,T,mean(a_it),sd(a_it),min(a_it),max(a_it),max |a_it|,mean(beta_it),sd(beta_it),min(beta_it),max(beta_it),mean PR2,sd PR2,c_xi,R
DGP 1,50,50,0.4659804995696026,0.10139566507643491,0.033405629593999515,0.8500000000000001,0.8500000000000001,0.598317979686643,0.31340397294051753,-0.7376186215956789,3.0850911620439287,0.5002883484643731,0.05252339857686656,1.570419464452937,1000
DGP 1,100,100,0.44875432167546875,0.0992130884748591,0.035501355488860166,0.8500000000000001,0.8500000000000001,0.5999233307628672,0.3199222119140161,-0.8058502433660467,3.301970039978244,0.5021365311065822,0.041475974552211976,1.4794878703246752,1000
DGP 1,200,200,0.43088137296597995,0.09582644267686857,0.03431337677855462,0.8500000000000001,0.8500000000000001,0.5992682239848205,0.3199745367867896,-0.8856055511104057,3.463627876056188,0.5053742245023475,0.032549151179546626,1.3708695709735643,1000
DGP 1,400,400,0.41157001017865763,0.09189681539601677,0.02887845174381186,0.8500000000000001,0.8500000000000001,0.5995553969571457,0.32129375345280087,-0.9849831150794347,3.781304651597029,0.4984245952481782,0.02578762491943318,1.3201603709609826,1000
DGP 2,50,50,0.4659804995696026,0.10139566507643491,0.033405629593999515,0.8500000000000001,0.8500000000000001,0.598317979686643,0.31340397294051753,-0.7376186215956789,3.0850911620439287,0.5013311294726295,0.052640506805627194,1.5617644988155799,1000
DGP 2,100,100,0.44875432167546875,0.0992130884748591,0.035501355488860166,0.8500000000000001,0.8500000000000001,0.5999233307628672,0.3199222119140161,-0.8058502433660467,3.301970039978244,0.5019694427601995,0.04164079696140784,1.4798112003393171,1000
DGP 2,200,200,0.43088137296597995,0.09582644267686857,0.03431337677855462,0.8500000000000001,0.8500000000000001,0.5992682239848205,0.3199745367867896,-0.8856055511104057,3.463627876056188,0.5003324991847186,0.03254160328088611,1.3966406856868798,1000
DGP 2,400,400,0.41157001017865763,0.09189681539601677,0.02887845174381186,0.8500000000000001,0.8500000000000001,0.5995553969571457,0.32129375345280087,-0.9849831150794347,3.781304651597029,0.49969451592870623,0.025766026996304453,1.314634010850423,1000
DGP 3,50,50,0.4659804995696026,0.10139566507643491,0.033405629593999515,0.8500000000000001,0.8500000000000001,0.598317979686643,0.31340397294051753,-0.7376186215956789,3.0850911620439287,0.5046238734893826,0.04974388391053537,1.8265477165662256,1000
DGP 3,100,100,0.44875432167546875,0.0992130884748591,0.035501355488860166,0.8500000000000001,0.8500000000000001,0.5999233307628672,0.3199222119140161,-0.8058502433660467,3.301970039978244,0.505230082876117,0.039470541515074585,1.7062251391537906,1000
DGP 3,200,200,0.43088137296597995,0.09582644267686857,0.03431337677855462,0.8500000000000001,0.8500000000000001,0.5992682239848205,0.3199745367867896,-0.8856055511104057,3.463627876056188,0.500176552394163,0.03157537818218949,1.618839683270802,1000
DGP 3,400,400,0.41157001017865763,0.09189681539601677,0.02887845174381186,0.8500000000000001,0.8500000000000001,0.5995553969571457,0.32129375345280087,-0.9849831150794347,3.781304651597029,0.501587467388721,0.02529218665489296,1.496865647175562,1000
