DGP,target,T,N,true_value,mean_estimate,bias,rmse,se_type,mean_se,empirical_size,size_mcse,coverage,coverage_mcse,replications
DGP 1,lag entry,100,100,0.44779930015238545,0.44792098196009056,0.00012168180770504966,0.13153911971038196,diagonal/white,0.1378603198473358,0.052,0.007021111023192838,0.948,0.007021111023192843,1000
DGP 1,lag group mean,100,100,0.44769264558248334,0.44942416784455297,0.001731522262069629,0.09844241062415598,diagonal/white,0.1021888842737705,0.047,0.006692607862410586,0.953,0.00669260786241059,1000
DGP 1,lag full mean,100,100,0.44769918240444706,0.4499781824871454,0.0022790000826983124,0.09761407987940299,diagonal/white,0.1017968707086337,0.049,0.006826346021115542,0.951,0.006826346021115546,1000
DGP 1,lag contrast,100,100,-1.3073643927447185e-05,-0.0011080265850804416,-0.001094952941152995,0.017595929496378872,diagonal/white,0.019012551068678215,0.029,0.005306505441436953,0.971,0.005306505441436956,1000
DGP 1,covariate entry,100,100,0.6015941343065296,0.5871857687937401,-0.014408365512789572,0.24666208401036632,diagonal/white,0.25569392430286003,0.05,0.006892024376045111,0.95,0.006892024376045114,1000
DGP 1,covariate group mean,100,100,0.5982737136410287,0.5871829779281819,-0.011090735712846782,0.16172156571566682,diagonal/white,0.16651134160948972,0.04,0.0061967733539318665,0.96,0.00619677335393187,1000
DGP 1,covariate full mean,100,100,0.598269695515884,0.5868746516000649,-0.011395043915819194,0.16040267437986078,diagonal/white,0.16518299958212004,0.041,0.006270486424512854,0.959,0.006270486424512857,1000
DGP 1,covariate contrast,100,100,8.036250289153558e-06,0.0006166503925671737,0.0006086141422780209,0.03919565732198212,diagonal/white,0.041076537229017995,0.033,0.005648982209212559,0.967,0.005648982209212561,1000
DGP 2,lag entry,100,100,0.44779930015238545,0.4445229335496019,-0.0032763666027835754,0.14638870252953348,spatial-kernel,0.14180133833114444,0.069,0.008014923580421713,0.931,0.008014923580421711,1000
DGP 2,lag group mean,100,100,0.44769264558248334,0.4459974041824823,-0.0016952414000010857,0.11659359421833211,spatial-kernel,0.10873421056967238,0.07,0.008068457101577725,0.93,0.008068457101577721,1000
DGP 2,lag full mean,100,100,0.44769918240444706,0.4465232950334416,-0.001175887371005447,0.11585234185975528,spatial-kernel,0.10837209049152295,0.065,0.007795832219846705,0.935,0.0077958322198467015,1000
DGP 2,lag contrast,100,100,-1.3073643927447185e-05,-0.0010517800915000462,-0.001038706447572599,0.01968265352188383,spatial-kernel,0.020188296321463104,0.038,0.006046155803483731,0.962,0.006046155803483734,1000
DGP 2,covariate entry,100,100,0.6015941343065296,0.5930017298157777,-0.008592404490751921,0.24180016317453829,spatial-kernel,0.2548502881953322,0.043,0.006414904519944158,0.957,0.006414904519944161,1000
DGP 2,covariate group mean,100,100,0.5982737136410287,0.5875062627768475,-0.010767450864181051,0.1588342988862171,spatial-kernel,0.16429080699245346,0.052,0.007021111023192838,0.948,0.007021111023192843,1000
DGP 2,covariate full mean,100,100,0.598269695515884,0.5875468909581606,-0.010722804557723474,0.15802516964406993,spatial-kernel,0.16303849365031636,0.051,0.00695693898205238,0.949,0.006956938982052382,1000
DGP 2,covariate contrast,100,100,8.036250289153558e-06,-8.125818997059931e-05,-8.929444025975269e-05,0.03762051071397367,spatial-kernel,0.040606795673781095,0.04,0.0061967733539318665,0.96,0.00619677335393187,1000
DGP 2,lag entry,200,200,0.42894640082629587,0.4267560329786374,-0.0021903678476584286,0.08866242035140431,spatial-kernel,0.08789632690031433,0.061,0.0075682891065286355,0.939,0.007568289106528638,1000
DGP 2,lag group mean,200,200,0.4295052554312577,0.4307553057939889,0.0012500503627311866,0.07210730118883207,spatial-kernel,0.06899385849705954,0.066,0.007851369307324678,0.934,0.007851369307324675,1000
DGP 2,lag full mean,200,200,0.4294448168875235,0.43038742107808803,0.000942604190564498,0.07195739426088474,spatial-kernel,0.06879590442598771,0.068,0.007960904471226871,0.932,0.00796090447122687,1000
DGP 2,lag contrast,200,200,0.00012087708746849275,0.0007357701680561378,0.0006148930805876451,0.008776948853250211,spatial-kernel,0.008557390085314654,0.044,0.006485676526007136,0.956,0.006485676526007139,1000
DGP 2,covariate entry,200,200,0.6054241197077019,0.602515692894034,-0.0029084268136680513,0.14138459068665213,spatial-kernel,0.1447118585775441,0.048,0.006759881655768835,0.952,0.006759881655768837,1000
DGP 2,covariate group mean,200,200,0.6028931064001848,0.5984686360616576,-0.004424470338527288,0.09494383784878217,spatial-kernel,0.09691127200372267,0.041,0.006270486424512854,0.959,0.006270486424512857,1000
DGP 2,covariate full mean,200,200,0.6023591524602204,0.5981173612034738,-0.004241791256746676,0.0947758447379393,spatial-kernel,0.09654641618408905,0.043,0.006414904519944158,0.957,0.006414904519944161,1000
DGP 2,covariate contrast,200,200,0.0010679078799287855,0.000702550079503506,-0.0003653578004252794,0.01528903562984339,spatial-kernel,0.01571703252210998,0.032,0.005565608681896348,0.968,0.005565608681896351,1000
