table_source_file,dgp_type,N,T,R_total,completed_R,select,fixed_ranks,mc_schema_version,q_T,r_N,h_N_realized,J_realized,retained_nonvalidation,retained_total,target_filter,git_commit,git_dirty,coefficient_summaries_available,PR2_realized_available,profile_timing_available,source_schema
grid_v3_dgp1_50_r0.jsonl,dgp1,50,50,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,0,,10,0.815466,0.7339194,,53b10f505714d614659634746b35a0912377d6db,False,True,True,True,grid_v3
grid_v3_dgp1_100_r0.jsonl,dgp1,100,100,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,0,,10,0.8127820333333333,0.73150383,,53b10f505714d614659634746b35a0912377d6db,True,True,True,True,grid_v3
grid_v3_dgp1_200_r0.jsonl,dgp1,200,200,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,0,,10,0.8113803888888889,0.73024235,,7656fb7ca2302f8e9fb9fb901992b223808653f4,True,True,True,True,grid_v3
grid_v3_dgp1_400_r0.jsonl,dgp1,400,400,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,0,,10,0.8106968527777778,0.7296271674999999,,1d1689650753c6712b179bbc973b2b9e41654b50,True,True,True,True,grid_v3
grid_v3_dgp2_50_r2.jsonl,dgp2,50,50,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,3,18,0.4685043918922216,0.44247659999999994,,3bde9e0414d2f8567752259444b465d0bf6c701d,False,True,True,True,grid_v3
grid_v3_dgp2_100_r2.jsonl,dgp2,100,100,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,4,21,0.5143971243845035,0.48990300476190474,,7656fb7ca2302f8e9fb9fb901992b223808653f4,False,True,True,True,grid_v3
grid_v3_dgp2_200_r2.jsonl,dgp2,200,200,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,5,23,0.5411746469652358,0.5176454,,090ba4ebb8c8d4e0a574318f82d684f2379eea46,False,True,True,True,grid_v3
grid_v3_dgp2_400_r2.jsonl,dgp2,400,400,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,7,26,0.5795820188795359,0.5572904028846153,,10a01a543ca20efeceb6d16596b1c8fa97b20d55,True,True,True,True,grid_v3
grid_v3_dgp3_50_r2.jsonl,dgp3,50,50,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,3,18,0.4685043918922216,0.44247659999999994,,9685d98ca2b1dfbf0696fa9bf2231676fda0958c,False,True,True,True,grid_v3
grid_v3_dgp3_100_r2.jsonl,dgp3,100,100,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,4,21,0.5143971243845035,0.48990300476190474,,bd5bdf4692a52c23a405764276127ff8ee9402e9,True,True,True,True,grid_v3
grid_v3_dgp3_200_r2.jsonl,dgp3,200,200,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,5,23,0.5411746469652358,0.5176454,,3bde9e0414d2f8567752259444b465d0bf6c701d,False,True,True,True,grid_v3
grid_v3_dgp3_400_r2.jsonl,dgp3,400,400,1000,1000,False,"(1,1,1)",coeff_signal_v1,2,2,7,26,0.5795820188795359,0.5572904028846153,,08f30793a1d16525e77b87adafca1264bb0bba9e,True,True,True,True,grid_v3
